id,rating,rating_count
48339,,
754767,,
205712,,
985,83,6
5489,,
43671,,
206599,,
66433,,
136847,,
55290,,
531515,,
60661,,
8436,,
754748,,
348532,,
57588,,
66574,,
41994,80,1
269907,,
246353,,
986026,,
55741,,
127468,,
592846,,
132349,,
754768,,
175650,,
540526,,
58589,,
34480,,
3382,,
506278,,
20422,,
754744,,
288348,,
51778,,
1104,95,11
153623,,
618950,,
181957,,
78207,,
31507,100,1
45601,100,1
80070,,
397,95,4
126834,,
111355,,
45573,,
51840,100,7
325605,,
295188,,
10293,88,5
5025,100,1
513168,,
965,82,9
45914,100,1
94820,,
1002691,,
125575,,
219729,,
203582,,
1,78,18
374915,,
618948,,
754747,,
22429,100,1
298892,,
335106,,
3527,80,5
761525,,
55951,,
118458,,
48209,,
462963,,
211376,,
888606,,
314600,,
186889,60,1
232365,,
60455,,
645347,,
79302,,
77158,70,2
618958,,
335589,,
205714,,
469473,,
540530,,
260494,,
476825,,
618957,,
1151,100,1
10971,80,2
707464,100,1
157129,,
455273,,
363392,,
360,60,1
42477,,
352987,,
64074,,
325604,,
470869,,
11340,,
33866,60,1
53232,80,1
608372,,
100768,,
271718,,
1366,100,1
84,90,6
328322,,
3214,87,3
166923,,
82031,,
14839,,
79977,80,2
102097,,
31292,93,3
356640,,
89460,,
196143,,
15883,80,2
212213,,
204412,,
6075,,
645346,,
9503,,
246398,,
2778,55,4
46394,100,1
113298,90,2
754766,,
105725,100,1
962,82,9
723357,,
1660,89,11
138861,,
37921,80,4
807984,100,1
66501,,
42933,,
171639,,
222898,,
403795,,
112011,80,1
48543,,
318914,,
193232,,
199457,,
501086,,
455313,,
2043,,
489,87,3
305679,,
64076,,
471912,,
6103,,
472141,,
319304,,
2474,60,1
540528,,
158469,,
529441,100,2
187812,,
9811,,
77940,,
319,80,2
187353,,
205715,,
170912,,
399849,,
