id,recording,isrc,source,edits_pending,created
269418,11177647,FRZ117201220,,0,2011-11-02 17:28:39.360844+01
269425,3062929,FRZ117401220,,0,2011-11-02 17:28:39.360844+01
269427,3062925,FRZ117407667,,0,2011-11-02 17:28:39.360844+01
102229,2908089,FRZ117300610,0,0,2011-05-16 18:08:20.288158+02
146195,3062917,FRZ117300640,0,0,2011-05-16 18:08:20.288158+02
218915,3062921,FRZ117100950,0,0,2011-05-16 18:08:20.288158+02
122189,3062923,FRZ117500930,0,0,2011-05-16 18:08:20.288158+02
122196,11292285,FRZ117100960,0,0,2011-05-16 18:08:20.288158+02
218917,11177646,FRZ117201540,0,0,2011-05-16 18:08:20.288158+02
102236,6946458,FRZ117300660,0,0,2011-05-16 18:08:20.288158+02
269420,3062916,FRZ117201530,,0,2011-11-02 17:28:39.360844+01
269424,11177649,FRZ117300650,,0,2011-11-02 17:28:39.360844+01
269472,3062924,FRZ117001450,,0,2011-11-02 21:40:21.683202+01
113243,4164535,USSM19602995,0,0,2011-05-16 18:08:20.288158+02
269416,8672665,FRZ117001420,,0,2011-11-02 17:28:39.360844+01
102186,11292275,FRZ117001440,0,0,2011-05-16 18:08:20.288158+02
269426,12152631,FRZ117401240,,0,2011-11-02 17:28:39.360844+01
