label,annotation
33,95174
33,95175
33,95177
25,96095
25,96096
25,96097
25,96102
3267,101736
5959,104310
33,107271
3284,104879
467,105770
467,105822
33,107104
41,109730
3267,113844
6847,113943
3284,117369
3284,117372
3267,122509
7656,125265
3267,125614
3284,134151
3284,134152
3032,139422
6847,105716
6847,150861
6847,150150
6847,150149
6847,113961
6847,107706
6847,105110
6847,150862
6847,105115
6847,150863
6847,113954
6847,109075
6847,150864
6847,113951
6847,150865
6847,150867
6847,150965
6847,113953
6847,105114
6847,151692
6847,151943
6847,152024
6847,152532
467,105808
467,152549
467,152599
6847,153160
25,160313
33,162797
33,162798
25,96098
25,96100
25,107256
25,193872
25,456843
25,456844
6847,463463
3284,465625
6847,467096
3267,468963
467,494829
467,495329
330,495847
330,495848
3267,496892
3032,499192
3267,513136
3267,517993
25,544422
25,544442
25,538214
25,544443
3598,555918
25,552303
25,552305
25,552306
25,552307
25,552308
25,552337
