release_group,tag,count,last_updated
736067,10,1,2011-05-16 17:44:23.970762+02
736067,11,1,2011-05-16 17:44:23.970762+02
372560,7,1,2011-05-16 17:44:23.970762+02
372560,271,1,2011-05-16 17:44:23.970762+02
553843,303,1,2012-02-22 00:38:11.513179+01
553843,609,3,2012-02-22 00:38:11.513179+01
553843,642,2,2012-02-22 00:38:11.513179+01
553843,1234,2,2012-02-22 00:38:11.513179+01
553843,4668,2,2012-02-22 00:38:11.513179+01
553843,5911,3,2012-02-22 00:38:11.513179+01
553843,41012,1,2012-02-22 00:38:11.513179+01
663961,150,1,2011-05-16 17:44:23.970762+02
172343,19,1,2011-05-16 17:44:23.970762+02
166313,7,2,2011-05-16 17:44:23.970762+02
166313,20,1,2011-05-16 17:44:23.970762+02
166313,25,1,2011-05-16 17:44:23.970762+02
166313,43,1,2011-05-16 17:44:23.970762+02
166313,150,1,2011-05-16 17:44:23.970762+02
166313,267,1,2011-05-16 17:44:23.970762+02
166313,271,1,2011-05-16 17:44:23.970762+02
166313,720,1,2011-05-16 17:44:23.970762+02
166313,767,1,2011-05-16 17:44:23.970762+02
166313,1164,1,2011-05-16 17:44:23.970762+02
166313,5930,1,2011-05-16 17:44:23.970762+02
166313,5933,1,2011-05-16 17:44:23.970762+02
44405,11,2,2012-10-23 11:49:26.708068+02
44405,26,2,2011-05-16 17:44:23.970762+02
44405,3771,1,2012-10-23 11:49:26.708068+02
