artist,annotation
146720,263
1965,109
446,210
1434,3383
310,3528
9235,3692
49352,3938
11783,4116
1434,5067
146720,5078
146720,5408
11783,5883
446,5903
49352,5920
2632,5949
2735,6884
1965,6994
2632,6978
9235,7335
1091,14317
31429,15309
985,16193
122653,24366
146720,29243
189237,35399
2735,35419
310,48551
38831,52118
1587,54206
1587,58940
1587,58942
1587,58943
1587,58944
11285,74853
1111,76372
1111,76613
182,87414
182,87452
182,87413
182,87453
182,87484
182,111915
182,111916
44563,114922
11285,116738
11285,116739
189237,320
189237,35398
189237,117846
189237,117891
11285,125218
11285,125219
1763,126106
1763,126107
1763,126108
1763,126140
1763,126141
2327,130731
2327,130732
2327,542040
2327,542052
1763,137753
2327,542067
11285,143922
2327,542076
11285,144866
1587,145444
1587,145445
73502,154002
2327,542077
11285,156978
11285,156987
11285,160779
35460,162280
35460,162261
2327,163287
2327,163509
2327,163510
2327,163450
2327,163508
2327,163511
2327,163512
2327,163514
2327,163520
2327,163883
2327,542080
2327,542081
10342,171810
2327,171887
2327,175164
1965,182885
2327,182960
73502,182421
2327,183730
1,455300
2327,542084
2327,542086
1434,462580
44563,466186
35460,470838
2327,474217
32474,512970
146720,519173
2327,539380
2327,539381
73502,547961
11285,547963
11285,547964
11285,547965
11285,547966
11285,547967
11285,547968
11285,547969
11285,547971
11285,547972
11285,547974
11285,547975
11285,548122
2327,539905
2327,539906
