id,name,artist_count,ref_count,created
455460,Sixx:A.M.,1,130,2011-05-16 18:32:11.963929+02
10342,Gabriel Fauré,1,6158,2011-05-16 18:32:11.963929+02
1092,Cracker,1,897,2011-05-16 18:32:11.963929+02
310,Bryan Ferry,1,1735,2011-05-16 18:32:11.963929+02
23642,Weta,1,70,2011-05-16 18:32:11.963929+02
1587,Deep Purple,1,10059,2011-05-16 18:32:11.963929+02
1120,Living Colour,1,1238,2011-05-16 18:32:11.963929+02
9973,The Hooters,1,1088,2011-05-16 18:32:11.963929+02
24245,Tomaso Giovanni Albinoni,1,3061,2011-05-16 18:32:11.963929+02
363984,These Four Walls,1,82,2011-05-16 18:32:11.963929+02
95306,The Georgia Satellites,1,380,2011-05-16 18:32:11.963929+02
32474,Johann Pachelbel,1,2100,2011-05-16 18:32:11.963929+02
9061,Split Enz,1,1298,2011-05-16 18:32:11.963929+02
182,Alice Cooper,1,5279,2011-05-16 18:32:11.963929+02
73502,Georg Friedrich Händel,1,47919,2011-05-16 18:32:11.963929+02
2017,Pat Benatar,1,2465,2011-05-16 18:32:11.963929+02
632902,Anna Larsson,1,166,2011-05-16 18:32:11.963929+02
37472,Christoph Willibald Gluck,1,3609,2011-05-16 18:32:11.963929+02
620257,We All Shoot Heroin,1,112,2011-05-16 18:32:11.963929+02
56851,Dragon,1,927,2011-05-16 18:32:11.963929+02
57154,Zed,1,131,2011-05-16 18:32:11.963929+02
346598,Ra,1,82,2011-05-16 18:32:11.963929+02
1091,Collective Soul,1,1117,2011-05-16 18:32:11.963929+02
420346,Елена Ваенга,1,146,2011-05-16 18:32:11.963929+02
126976,The Passage,1,447,2011-05-16 18:32:11.963929+02
299,Fleetwood Mac,1,7157,2011-05-16 18:32:11.963929+02
1133,The Cult,1,2298,2011-05-16 18:32:11.963929+02
49352,Cold Chisel,1,1468,2011-05-16 18:32:11.963929+02
438599,Airbourne,1,381,2011-05-16 18:32:11.963929+02
146720,The Killers,1,2067,2011-05-16 18:32:11.963929+02
44563,Luigi Boccherini,1,3424,2011-05-16 18:32:11.963929+02
446,Weezer,1,2460,2011-05-16 18:32:11.963929+02
570716,Feel So Bad,1,142,2011-05-16 18:32:11.963929+02
218850,Magna-Fi,1,56,2011-05-16 18:32:11.963929+02
11285,Wolfgang Amadeus Mozart,1,98664,2011-05-16 18:32:11.963929+02
31044,Jimmy Barnes,1,860,2011-05-16 18:32:11.963929+02
1763,3 Doors Down,1,1446,2011-05-16 18:32:11.963929+02
2327,Johann Sebastian Bach,1,145599,2011-05-16 18:32:11.963929+02
1111,Soundgarden,1,2494,2011-05-16 18:32:11.963929+02
189237,Kenny Wayne Shepherd,1,419,2011-05-16 18:32:11.963929+02
37430,The Vines,1,672,2011-05-16 18:32:11.963929+02
31429,Suzi Quatro,1,1994,2011-05-16 18:32:11.963929+02
1052069,The Jordan Luck Band,1,2,2012-09-17 07:07:18.850362+02
14549,Thin Lizzy,1,3468,2011-05-16 18:32:11.963929+02
1,Various Artists,1,239728,2011-05-16 18:32:11.963929+02
9235,The Living End,1,1158,2011-05-16 18:32:11.963929+02
1965,Placebo,1,3502,2011-05-16 18:32:11.963929+02
69475,Purple Schulz,1,362,2011-05-16 18:32:11.963929+02
11783,Queens of the Stone Age,1,2079,2011-05-16 18:32:11.963929+02
21724,Ted Nugent,1,1515,2011-05-16 18:32:11.963929+02
2632,Men at Work,1,1354,2011-05-16 18:32:11.963929+02
122653,Пётр Ильич Чайковский,1,29281,2011-05-16 18:32:11.963929+02
1436,Foreigner,1,3132,2011-05-16 18:32:11.963929+02
1051691,Billy Idol with Generation X,2,5,2012-09-16 16:42:40.759519+02
38831,Eskimo Joe,1,497,2011-05-16 18:32:11.963929+02
35460,The Angels,1,1284,2011-05-16 18:32:11.963929+02
1434,The Cars,1,1279,2011-05-16 18:32:11.963929+02
2735,ZZ Top,1,3219,2011-05-16 18:32:11.963929+02
