artist,tag,count,last_updated
985,7,1,2011-05-16 16:57:06.530063+02
985,88,1,2011-05-16 16:57:06.530063+02
985,171,1,2011-05-16 16:57:06.530063+02
985,237,2,2011-05-16 16:57:06.530063+02
985,1391,1,2011-05-16 16:57:06.530063+02
985,1753,1,2011-05-16 16:57:06.530063+02
985,4663,1,2011-05-16 16:57:06.530063+02
11783,7,3,2013-01-14 11:46:42.36535+01
11783,20,2,2012-08-11 07:18:20.586666+02
11783,93,5,2012-08-11 07:18:20.586666+02
11783,111,2,2011-10-13 17:04:06.815261+02
11783,271,2,2011-10-13 17:04:06.815261+02
11783,4662,1,2011-10-13 17:04:06.815261+02
11783,8363,1,2011-10-13 17:04:06.815261+02
189237,7,1,2011-05-16 16:57:06.530063+02
189237,712,1,2011-05-16 16:57:06.530063+02
35364,88,1,2013-07-04 02:00:12.281116+02
35364,1753,1,2013-07-04 02:00:12.281116+02
35364,4662,1,2013-07-04 02:00:12.281116+02
126976,237,1,2011-05-16 16:57:06.530063+02
126976,1753,1,2011-05-16 16:57:06.530063+02
126976,1974,1,2011-05-16 16:57:06.530063+02
37430,7,2,2012-01-12 20:39:11.082913+01
37430,20,2,2012-01-12 20:39:11.082913+01
37430,165,2,2012-01-12 20:39:11.082913+01
37430,284,1,2012-01-12 20:39:11.082913+01
37430,564,1,2012-01-12 20:39:11.082913+01
37430,783,1,2011-05-16 16:57:06.530063+02
37430,1078,1,2012-01-12 20:14:52.385404+01
37430,1122,1,2012-01-12 20:39:11.082913+01
37430,4662,1,2011-05-16 16:57:06.530063+02
11285,15,5,2013-10-12 20:01:32.387222+02
11285,69,3,2013-10-12 20:01:32.387222+02
11285,480,2,2013-10-12 20:01:32.387222+02
11285,638,5,2013-10-12 20:01:32.387222+02
11285,670,3,2013-10-12 20:01:32.387222+02
11285,1600,3,2013-10-12 20:01:32.387222+02
11285,2215,1,2013-10-12 20:01:32.387222+02
11285,3775,1,2013-10-12 20:01:32.387222+02
11285,4170,1,2013-10-12 20:01:32.387222+02
11285,42091,1,2013-10-12 20:01:32.387222+02
11285,56811,1,2013-10-12 20:01:32.387222+02
11285,59216,1,2013-10-12 20:01:32.387222+02
21724,7,1,2011-05-16 16:57:06.530063+02
21724,43,1,2011-05-16 16:57:06.530063+02
21724,92,1,2011-05-16 16:57:06.530063+02
21724,111,1,2011-05-16 16:57:06.530063+02
21724,271,1,2011-05-16 16:57:06.530063+02
21724,1150,1,2011-05-16 16:57:06.530063+02
21724,1413,1,2011-05-16 16:57:06.530063+02
31429,4663,1,2011-05-16 16:57:06.530063+02
32474,15,3,2011-05-16 16:57:06.530063+02
32474,69,2,2013-08-30 12:26:12.924579+02
32474,359,1,2011-05-16 16:57:06.530063+02
32474,670,1,2011-05-16 16:57:06.530063+02
32474,1600,1,2013-08-30 12:26:12.924579+02
1763,7,2,2012-08-07 17:11:32.445261+02
1763,20,3,2013-09-28 03:33:19.859508+02
1763,271,1,2011-05-16 16:57:06.530063+02
1763,720,1,2011-05-16 16:57:06.530063+02
1763,783,2,2012-08-07 17:11:32.445261+02
1763,1091,1,2013-09-28 03:33:19.859508+02
1763,6639,1,2013-09-28 03:33:19.859508+02
1763,61544,1,2013-09-28 03:33:19.859508+02
9061,1519,1,2011-05-16 16:57:06.530063+02
9061,2982,1,2011-05-16 16:57:06.530063+02
9061,4663,1,2011-05-16 16:57:06.530063+02
299,7,2,2011-05-16 16:57:06.530063+02
299,19,2,2011-05-16 16:57:06.530063+02
299,111,1,2011-05-16 16:57:06.530063+02
299,127,2,2011-05-16 16:57:06.530063+02
299,171,2,2011-05-16 16:57:06.530063+02
299,238,1,2013-01-31 00:09:24.463907+01
299,712,2,2012-08-07 16:40:09.028173+02
299,1056,1,2011-05-16 16:57:06.530063+02
299,1335,1,2012-08-07 16:40:09.028173+02
299,4663,1,2011-05-16 16:57:06.530063+02
299,41014,1,2012-08-07 16:40:09.028173+02
2632,7,1,2011-05-16 16:57:06.530063+02
2632,19,1,2011-05-16 16:57:06.530063+02
2632,165,2,2011-05-16 16:57:06.530063+02
2632,4663,1,2011-05-16 16:57:06.530063+02
10342,72,2,2011-05-16 16:57:06.530063+02
10342,359,1,2011-05-16 16:57:06.530063+02
10342,670,2,2013-01-30 23:24:43.087029+01
10342,1600,1,2011-05-16 16:57:06.530063+02
10342,24492,1,2012-11-24 22:07:24.863114+01
182,7,2,2012-08-07 08:58:27.770696+02
182,43,1,2012-03-30 08:06:16.515093+02
182,92,1,2012-03-30 08:06:16.515093+02
182,111,1,2012-03-30 08:06:16.515093+02
182,271,4,2012-10-31 19:20:13.210776+01
182,709,1,2012-08-07 08:58:27.770696+02
182,715,2,2012-08-07 08:58:27.770696+02
182,1122,2,2012-08-07 08:58:27.770696+02
182,1240,2,2012-03-30 08:06:16.515093+02
182,4663,1,2012-03-30 08:06:16.515093+02
182,41936,1,2012-03-30 08:06:16.515093+02
182,61320,1,2013-09-20 06:18:40.013609+02
122653,15,3,2013-04-26 15:01:09.428409+02
122653,442,2,2013-04-26 15:01:09.428409+02
122653,480,2,2013-04-26 15:01:09.428409+02
122653,670,2,2013-04-26 15:01:09.428409+02
122653,1284,1,2013-04-26 15:01:09.428409+02
122653,1600,1,2013-04-26 15:01:09.428409+02
122653,29017,1,2013-04-26 15:01:09.428409+02
1436,7,1,2011-05-16 16:57:06.530063+02
1436,37,1,2011-05-16 16:57:06.530063+02
1436,41,1,2011-05-16 16:57:06.530063+02
1436,4663,1,2011-05-16 16:57:06.530063+02
1436,21284,1,2011-05-16 16:57:06.530063+02
1092,111,1,2011-05-16 16:57:06.530063+02
1092,284,1,2011-05-16 16:57:06.530063+02
1092,4662,1,2011-05-16 16:57:06.530063+02
310,7,1,2012-11-26 20:12:47.587195+01
310,37,1,2012-11-26 20:12:47.587195+01
310,41,1,2012-11-26 20:12:47.587195+01
310,61,1,2012-11-26 20:12:47.587195+01
310,171,2,2012-11-26 20:12:47.587195+01
310,237,1,2012-11-26 20:12:47.587195+01
310,1391,1,2012-11-26 20:12:47.587195+01
310,3754,1,2012-11-26 20:12:47.587195+01
310,4663,1,2012-11-26 20:12:47.587195+01
310,21284,1,2012-11-26 20:12:47.587195+01
1133,7,1,2011-05-16 16:57:06.530063+02
1133,171,1,2011-05-16 16:57:06.530063+02
1133,192,2,2012-08-07 10:31:58.507599+02
1133,237,1,2011-05-30 21:47:14.628711+02
1133,271,2,2012-08-07 10:31:58.507599+02
1133,1753,1,2011-05-30 21:47:14.628711+02
1133,4662,1,2011-05-16 16:57:06.530063+02
73502,15,3,2013-04-19 21:01:51.785798+02
73502,69,5,2013-04-19 21:01:51.785798+02
73502,171,2,2013-04-19 21:01:51.785798+02
73502,480,2,2013-04-19 21:01:51.785798+02
73502,670,2,2013-04-19 21:01:51.785798+02
73502,1027,3,2013-04-19 21:01:51.785798+02
73502,1391,2,2013-04-19 21:01:51.785798+02
73502,1395,1,2013-04-19 21:01:51.785798+02
73502,1600,1,2013-04-19 21:01:51.785798+02
73502,8428,1,2013-04-19 21:01:51.785798+02
73502,8446,1,2013-04-19 21:01:51.785798+02
73502,21165,1,2013-04-19 21:01:51.785798+02
73502,56316,1,2013-04-19 21:01:51.785798+02
73502,58536,1,2013-05-20 13:15:34.129367+02
14549,271,1,2011-05-16 16:57:06.530063+02
14549,4663,1,2011-05-16 16:57:06.530063+02
1,7,2,2013-09-18 22:03:10.347486+02
1,15,6,2013-09-18 22:03:10.347486+02
1,19,4,2013-09-18 22:03:10.347486+02
1,27,1,2013-09-18 22:03:10.347486+02
1,48,1,2013-09-18 22:03:10.347486+02
1,49,1,2013-09-18 22:03:10.347486+02
1,57,2,2013-09-18 22:03:10.347486+02
1,62,1,2013-09-18 22:03:10.347486+02
1,71,3,2013-09-18 22:03:10.347486+02
1,75,2,2013-09-18 22:03:10.347486+02
1,92,1,2013-09-18 22:03:10.347486+02
1,100,1,2013-09-18 22:03:10.347486+02
1,127,3,2013-09-18 22:03:10.347486+02
1,156,1,2013-09-18 22:03:10.347486+02
1,159,2,2013-09-18 22:03:10.347486+02
1,197,1,2013-09-18 22:03:10.347486+02
1,206,1,2013-09-18 22:03:10.347486+02
1,235,1,2013-09-18 22:03:10.347486+02
1,260,2,2013-09-18 22:03:10.347486+02
1,267,2,2013-09-18 22:03:10.347486+02
1,276,1,2013-09-18 22:03:10.347486+02
1,374,1,2013-09-18 22:03:10.347486+02
1,399,1,2013-09-18 22:03:10.347486+02
1,447,1,2013-09-18 22:03:10.347486+02
1,480,1,2013-09-18 22:03:10.347486+02
1,516,1,2013-09-18 22:03:10.347486+02
1,537,1,2013-09-18 22:03:10.347486+02
1,618,1,2013-09-18 22:03:10.347486+02
1,665,1,2013-09-18 22:03:10.347486+02
1,675,2,2013-09-18 22:03:10.347486+02
1,686,1,2013-09-18 22:03:10.347486+02
1,712,1,2013-09-18 22:03:10.347486+02
