id,script,language,frequency
1,28,9,0
4,28,33,0
6,31,34,0
7,28,34,0
8,31,37,0
9,31,45,0
12,28,56,0
13,28,58,0
14,31,62,0
15,28,98,0
16,31,74,0
17,31,78,0
18,28,78,0
20,28,82,0
21,31,84,0
23,28,88,0
24,28,89,0
25,28,93,0
26,28,100,0
27,31,101,0
28,28,145,0
30,28,120,0
31,28,122,0
32,28,123,0
33,28,41,0
34,28,127,0
35,28,129,0
36,28,131,0
37,28,134,0
38,28,137,0
39,28,149,0
41,28,160,0
44,28,165,0
45,28,166,0
47,28,173,0
48,28,366,0
49,28,176,0
52,28,184,0
54,28,189,0
56,28,191,0
57,28,180,0
58,28,195,0
60,28,196,0
63,28,209,0
64,31,211,0
65,31,212,0
67,28,213,0
70,31,219,0
71,28,219,0
72,31,222,0
73,28,222,0
75,31,232,0
76,28,232,0
79,28,238,0
80,28,239,0
81,31,240,0
82,28,243,0
84,31,254,0
85,28,276,0
87,31,281,0
88,31,282,0
91,28,266,0
92,31,307,0
93,28,309,0
97,28,338,0
98,28,340,0
99,28,344,0
100,31,350,0
101,28,350,0
102,31,351,0
103,28,351,0
104,31,353,0
105,31,356,0
109,31,367,0
110,28,377,0
111,28,378,0
112,28,386,0
114,28,390,0
115,28,12,0
116,31,363,0
117,28,402,0
118,28,403,0
120,28,405,0
122,31,408,0
125,28,413,0
126,28,414,0
130,28,430,0
132,28,433,0
133,31,438,0
134,28,438,0
136,31,445,0
137,28,445,0
138,28,448,0
139,31,459,0
141,28,464,0
