id,name,realname,data_quality,profile
161,Todd Edwards,Todd Edwards,Correct,"His own releases were generally praised and played to enthusiast crowds all over the world: ""Prima Edizione"" (1999), the ""Full On"" and ""New Trends Sounds"" series contributed to his success. The album 'Odyssey', released in 2006, showed once again his musical genius."
189,Seba,Sebastian Ahrenberg,Correct,Drum 'n' Bass DJ and producer from Sweden. Label owner of [l=Secret Operations].
1570,Felix Da Housecat,Felix Stallings Jr.,Needs Vote,"Electronic artist, producer, and DJ from Chicago."
1812,Eric Kupper,Eric Stephen Kupper,Needs Vote,"A few years back Eric was bitten (hard!) by the DJ bug as well and became a resident at London's Pacha with Hed Kandi for four years, as well as DJing all around the globe as an independent DJ or as a Hed Kandi resident. Eric is now a resident DJ with Tokyo Disco, a new venture created by Mark Doyle, the former creator of Hed Kandi. With Tokyo Disco he presently enjoys a residency at Neighbourhood in London, Enclave in Chicago as well as numerous spots throughout the U.K. and the world."
1825,Joey Negro,David Russell Lee,Needs Vote,.
2323,DJ Hype,Kevin Elliot Ford,Needs Vote,""
2713,Yazoo,,Correct,""
2714,Erasure,"Andy Bell, Vincent Clarke",Needs Vote,"Formed in 1985, London, United Kingdom"
2851,Hive,Michael Petrie,Correct,"Hive a.k.a. Michael Petrie (born December, 1974) is a San Francisco-based DJ, producer and record label owner who has contributed to dozens of recordings in the drum and bass musical genre. His Violence Recordings label is regarded as the premiere drum-and-bass label in the United States. Hive is most likely best known for appearing on the Matrix soundtrack with his track ""Ultrasonic Sound""."
3612,DJ Wally,Keef DeStefano,Needs Vote,
4115,Everything But The Girl,"Ben Watt, Tracey Thorn",Correct,""
4690,Alison Limerick,,Correct,"British singer, born 1959 in Stepney, London, England."
4945,DJ Swamp,,Correct,
5160,Chris Liberator,Chris Knowles,Needs Vote,""
5649,L-Fudge,Elvin Rosario,Needs Vote,"Rapper from Washington Heights, NYC."
5743,World Of Apples,Ewan Pearson,Correct,
5797,ATB,André Tanneberger,Needs Vote,"Born on February 26, 1973 in Freiberg, Saxony, Germany."
5970,"Movement, The (3)","AJ Mora, Hazze, Richard Gonzalez",Correct,The Movement was born from the L.A. Rave scene and was comparable to [a=L.A. Style].
5999,Glory B,"Michael Peter, Martin Retschitzegger",Correct,
6952,Tom Morello,Thomas Baptist Morello,Correct,.
7620,Double You,,Correct,"William Naraine, the frontman of Double You, was born in London on 29th of December 1965. He has an Italian mother and an Indian Father. The other musicians in the group were Andrea De Antoni and Franco Amato."
7624,David Morales,David Morales,Correct,""
7698,Snap!,,Needs Vote,"From 2002 to 2006, Snap! was extensively remixed by a variety of electronic artists and released a couple of club singles which failed to relaunch their success story."
8024,Janet Jackson,Janet Damita Jo Jackson,Correct,""
8099,Ultra Naté,Ultra Naté Wyche,Correct,"Born November 2, 1968 in Havre de Grace (near Baltimore, MD)."
9838,Mix Master Mike,Michael Schwartz,Correct,""
9857,Daniel Miller,Daniel Miller,Correct,Founder of [l=Mute Records Ltd.]
10299,1.8.7.,Jordana LeSesne,Needs Vote,""
10360,Klaus Schulze,Klaus-Jürgen Schulze,Correct,"In the 1990's Schulze recorded several electronic interpretations of works by classical composers (most notably Wagner) as well as collaborating with opera singers and other classical music performers on his own albums. He also started collaborating with German ambient/techno artist Pete Namlook in the series ""The Dark Side Of The Moog"" on the latter's Fax label, and steered the Wahnfried project into a more modern techno- and trance-inspired direction."
11449,Neneh Cherry,Neneh Mariann Cherry née Neneh Mariann Karlsson,Needs Vote,(same father).
11617,Chris Cox,Chris Cox,Correct,"Dance music producer, remixer and DJ from USA and has worked on over 400 records."
11879,Lou Reed,Lewis Allen Reed,Needs Vote,"Born March 2, 1942, Freeport, NY, United States"
12206,Claudio Coccoluto,Claudio Coccoluto,Needs Vote,"Born: 17-08-1962 in Gaeta (Latina), Italy."
12343,Booker T,Gary Booker,Needs Vote,The Scientist.
13227,Robert Musso,Robert Musso,Correct,"Musician, producer and engineer whose vast discography can be found in the second URL provided below."
13407,Henry Cullen,Henry Cullen,Needs Vote,
14062,World Famous Martinez Orchestra,,Correct,Italian duo.
14216,Karizma,,Correct,
15885,Michael Jackson,Michael Joseph Jackson,Needs Vote,""
17110,"Neptunes, The",Chad Hugo,Needs Vote,""
17456,Nasenbluten,David Melo,Correct,T and Sound Base Music. Nasenbluten also remixed ‘Insurge’ which was released on Warner Music Australia.
18294,Nu-Birth,Julian Lee Jonah,Correct,
18712,Contriva,,Correct,"Band from Berlin, Germany, doing post-rock / leftfield / experimental electronic music."
18956,Stevie Wonder,Stevland Hardaway Morris,Needs Vote,""
19674,Alison Moyet,Genevieve Alison Moyet,Correct,B groups The Screaming Abdabs and The Vicars before finding fame as half of Yazoo (Yaz in the USA).
20337,Dr. Z-Vago,Angelo Goede,Needs Vote,Dutch Hardcore Techno producer. Double teams with producer Dione on a regular basis.
20400,"Masochist, The",Dov J. Elkabas,Correct,""
20662,François Kevorkian,François Kevorkian,Needs Vote,""
20917,Dice,Jani Niiranen,Correct,
21147,Pharoah Sanders,Farrell Sanders,Correct,"American jazz saxophonist, born 13th October 1940 in Little Rock, Arkansas (USA)."
21742,Jay-Z,Shawn Corey Carter,Needs Vote,""
22660,The Plastic Jam,"James (Jimmy) Joseph Low, Grant Bowden",Correct,
22757,Luther Vandross,Luther Ronzoni Vandross Jr.,Needs Vote,". In 1981, Luther released his debut solo album [r=205940]. Between 1982 and 1985, five albums were released, all selling over a million copies each. Over the years, he was awarded five platinum and one double platinum disc, as well as winning 8 Grammy awards. He died July 1, 2005 at the age of 54, two years after suffering a major stroke."
23701,Dakeyne,Paul Dakeyne,Needs Vote,
24394,"Destroyer, The",Pietro Paolo Salamone,Needs Vote,Hardcore/Gabber/Speedcore producer from Italy.
24804,New Class A,Plastic Jam,Correct,Also written as Nu Klass A.
26010,Mistura,David Russell Lee,Correct,
26695,Wawa,Wiktor Mysliwiec,Needs Vote,"On the weekdays they spend time working on their own productions and remixes, they also make music to computer games and commercials. And in the weekend nights they play as DJs."
26936,Apathy,Chad Bromley,Correct,.
27628,Ricky Dillard,Ricky Dillard,Correct,
27951,Perry Farrell,Peretz Bernstein,Correct,"Born: March 29, 1959, Queens, New York"
28164,Ralphi Rosario,Rafael Angel Rosario,Correct,"Ralphi Rosario started DJing in 1979. He virtually coined the phrase ""house music"" along with the crew of Chi-Town radio show Hot Mix Five. Through this channel, he was able to blast Chicago's airwaves with the new and exciting sounds of house music for most of the 1980s. 1987 saw the creation of his most well known release - [r=37457]."
28392,Disciples Of Annihilation,Nick Marchetti,Correct,""
28521,Darryl Pandy,Darryl Pandy,Correct,""
28802,"Rude Boy Farley Keith, The",Farley Keith Williams,Correct,DJ and producer.
29225,Fat Larry's Band,,Needs Vote,""
34220,Rhettmatic,Nazareth Nirza,Correct,.
34854,Nick Martinelli,Nicholas J. Martinelli,Correct,
35740,Jane's Addiction,,Needs Vote,"Eric Avery: bass
Stephen Perkins: drums"
36687,Eric Radcliffe,,Correct,""
37365,Vince Clarke,Vincent John Martin,Needs Vote,"Born: July 3, 1960, Woodford, London, England"
37606,Cat Stevens,"Steven Demetre Georgiou (July 21, 1947 - July 04, 1978), Yusuf Islam (July 04, 1978 - present)",Correct,"British singer/songwriter, born on July 21, 1947. His career was interrupted in 1968 because of his sickness (Tuberculosis). Steven became a Muslim in December 23, 1977, whereupon he changed his name into Yusuf Islam."
39334,Pete Werner,,Correct,
40135,Conny Plank,Konrad Plank,Needs Vote,.
42018,Maxine McClain,,Correct,
43786,Richard Williams,Richard Gene Williams,Correct,"d. November 4, 1985 - Jamaica, Queens, New York"
46506,Fernando,Daniel Furniss,Correct,""
48432,Isaac Hayes,Isaac Lee Hayes,Correct,.
50872,Tortured Soul,"John-Christian Urich, Ethan White, JKriv",Correct,"backing vocals), JKriv (bass, backing vocals)."
55439,1 Giant Leap,Jamie Catto,Correct,
56677,Ulali,,Correct,"Native American women's a cappella group, founded in 1987."
56678,Speech,Todd Thomas,Needs Vote,Wisconsin born rapper. Member of the Atlanta hip-hop collective Arrested Development.
56680,Eddi Reader,Sadenia Reader,Needs Vote,"Scottish singer songwriter, born 29 August 1959 in Glasgow."
56838,Dave Navarro,David Michael Navarro,Needs Vote,"American guitarist, born 7 June 1967 in Santa Monica, California, USA. He was married to [a=Carmen Electra] (divorced)."
56851,Sherree Ford-Payne,Sherree Brown,Correct,American vocalist and songwriter
63463,Darroll Gustamachio,,Needs Vote,", New York"
63590,Jim Robinson,Jim Robins,Correct,
64003,J. Mark Andrus,,Correct,
64774,Daddy Kev,Kevin Moo,Correct,""
66253,Spandau Ballet,,Correct,"One of the leaders of the ""new romantic"" movement and one of the top UK groups of the early 1980s. Line-up comprised Tony Hadley (b. June 2, 1960) - vocals; main songwriter Gary Kemp (b. October 16, 1960) - guitar; Martin Kemp (b. October 10, 1961) - bass; John Keeble - drums; and Steve Norman - rhythm guitar, percussion and sax."
66817,Celph Titled,,Needs Vote,"aka ""The Rubix Cuban"".. Tampa born MC / Producer and member of The Demigodz."
66852,"Prodigy, The",The Prodigy,Correct,""
69113,Duncan Bridgeman,Duncan Bridgeman,Needs Vote,
70293,Gy-ro,Henry Cullen,Correct,
70735,Ultravox,,Needs Vote,"In late 2008, it was announced that the classic 80s line-up would reunite for a UK tour in 2009 entitled 'Return To Eden, which was repeated in 2010. Due in part to the popularity of these tours, Ultravox have recently begun work on a new studio album."
72881,Midge Ure,James Ure,Needs Vote,"Scottish guitarist, singer, keyboard player, and songwriter born October 10, 1953 in Cambuslang, Lanarkshire, Scotland."
73328,Holly Valance,Holly Rachel Vukadinović,Needs Vote,"Born: May 11, 1983 in Melbourne, Victoria, Australia"
73465,Crawl Unit,Joe Colley,Correct,in October of 1996.
73538,Organum,David Philip Jackman,Correct,""
79791,DJ Ruboy,Rubén Moreno Abanades,Correct,Spanish makina and hardcore producer.
82375,David Jackman,,Needs Vote,""
82713,"Demigodz, The",,Needs Vote,
85728,Jason Corsaro,,Correct,"Grammy Award Winning music engineer and record producer, throughout his career he has worked on recordings that have generated a total sales of more than 100 million units. In 2006 Jason assumed the position of Chief Engineer at The Barber Shop Studios in Hopatcong, New Jersey, and he is Senior Technical Consultant to Dream Makers Music."
90037,Pharrell Williams,Pharrell Williams,Correct,""
90489,"Alternative Creators, The",M.Di Giacomo,Needs Vote,Italian (Hard) Trance project.
91380,Problem Kid,Mark Wilkinson,Correct,
92225,Esoteric (2),Seamus Ryan,Correct,Esoteric].
92422,Lurky,,Correct,
96598,Motive (2),,Correct,
96622,DSO,Daniel Sánchez Soliva,Correct,
