artist_id,name
161,Fully Loaded (2)
161,Sunshine Bros.
1812,Director's Cut (3)
1812,Kupper-Campbell Project
3612,DJ Wally
3612,&
3612,MC Panik
3612,DJs Wally
3612,&
3612,Swingsett
4690,Vibraphonic
5160,303 Pirates
5649,"Demigodz, The"
6952,Audioslave
6952,Beninya House
6952,Class Of '99
6952,Lock Up (3)
6952,Rage Against The Machine
6952,Shandi's Addiction
6952,Street Sweeper Social Club
7624,2 Puerto Ricans
7624,"2 Puerto Ricans, A Blackman And A Dominican"
7624,David Morales
7624,&
7624,Carla Bianco
7624,David Morales
7624,&
7624,The Bad Yard Club
7624,Moca
8024,Artists For Haiti
8024,J-Beat
8099,B-Crew
8099,"Moonwalkers, The"
8099,Stars On 54
8099,Ultra Devoted
8099,Underground Dance Artists United For Life
9857,Come
9857,Djxdj
9857,Duet Emmo
9857,Sunroof
10360,Ash Ra Tempel
10360,"Cosmic Jokers, The"
10360,"Dark Side Of The Moog, The"
10360,Din A Testbild
10360,Stomu Yamashta's Go
10360,Tangerine Dream
11449,cirKus
11449,Float Up CP
11449,God Mother
11449,&
11449,Country
11449,New Age Steppers
11449,"Raw Sex, Pure Energy"
11449,Rip Rig
11449,&
11449,Panic
11449,"Slits, The"
11617,Harris
11617,&
11617,Cox
11617,Pusaka
11617,"Sweat Boys, The"
11617,Thunderpuss
11879,"Amnesty Allstars, The"
11879,Artists United Against Apartheid
11879,"Beachnuts, The"
11879,"Jades, The (2)"
11879,Metal Machine Music Trio
11879,"Primitives, The (3)"
11879,"Roughnecks, The (3)"
11879,"Velvet Underground, The"
12206,"Dub Duo, The"
12206,"Heartists, The"
12206,U-N-I (You and I)
12206,World Famous Martinez Orchestra
13227,Machine Gun (3)
13407,Back To The Planet
13407,Bunnymad69
13407,Chris Liberator
13407,&
13407,D.A.V.E. The Drummer
13407,Creeper
13407,D.A.V.E. The Drummer
13407,&
13407,KN
13407,"Dam Busters, The"
13407,Dawn Patrol
13407,Digital Destroyer
13407,Dynamo City
13407,Goldfinger (8)
13407,Gy-ro
13407,Ha-Lo
13407,Hibee Nation
13407,"Innocent Party, The"
13407,Julian Liberator
13407,&
13407,Henry Cullen
13407,Julian Sandell
13407,&
13407,Henry Cullen
13407,Kektex
13407,Kris 'N' D.A.V.E.
13407,M.D.C.
13407,Magnum Force
13407,Mizbehavior
13407,Mutate To Survive
13407,Plan Z (2)
13407,Quantifier
13407,Rokhaus
13407,Rozzer's Dog
13407,S.H.L.A.G.
13407,Site Breakers
13407,Symetrix
13407,Temperature Drop
13407,Thera
13407,Three Stooges
13407,Time Stretch Armstrong
13407,Ultramagnetik
13407,Uridium
13407,Vibe Bar Rejects
13407,Waterland
13407,Weathermen
13407,Well Paid Scientists
13407,Winnebago Warriors
13407,X Meets Y
15885,All Star Choir
15885,Artists For Haiti
15885,"Jackson 5, The"
15885,"Jacksons, The"
15885,USA For Africa
15885,"Wiz Stars, The"
18956,Dionne
18956,&
18956,Friends
18956,USA For Africa
19674,Yazoo
20662,Cosmic Twins
20662,François K
20662,&
20662,Rob Rives
20662,Toroid
21147,"Alex Blake Quintet, The"
21147,Art Davis Quartet
21147,"Jazz Composer's Orchestra, The"
21147,Pharoah Sanders Quartet
21147,Pharoah Sanders Quintet
22757,Change
22757,Chic
22757,Luther
22757,Mascara
22757,Voices That Care
27951,All Star Tribute
27951,Jane's Addiction
27951,Perry Farrell's Satellite Party
27951,Porno For Pyros
27951,Psi Com
28164,2 Puerto Ricans
28164,Ralphi Rosario
28164,&
28164,Martin Fry
28164,"Ralphi Y Raul Presentan ""Hispaniks"""
28164,Rosabel
34854,Nick Martinelli
34854,&
34854,David Todd
36687,"Assembly, The"
37365,"Assembly, The"
37365,Clarke
37365,&
37365,"Ware Experiment, The"
37365,Clarke/Bell
37365,Depeche Mode
37365,Erasure
37365,Family Fantastic
37365,RadioActivators
37365,V
37365,&
37365,A
37365,VCMG
37365,West India Company
37365,Yazoo
40135,Les Vampyrettes
40135,Liliental
40135,Moebius
40135,&
40135,Plank
43786,Booker Ervin Quintet
43786,Charles Mingus And His Jazz Group
43786,Charles Mingus Sextet
43786,Duke Jordan Quintet
43786,Ernie Wilkins
