artist_id,name
161,Edwards
161,T Edwards
161,T. Edwards
161,Todd
161,Todd Edward
161,Todd Tell
161,Too Edvards
1570,"=^,,^="
1570,Da Housecat
1570,FDH...
1570,Fe
1570,Felix
1570,"Felix ""Da"" Housecat"
1570,Felix Da House Cat
1570,Felix Da House Catt
1570,Felix Da Housecatt
1570,Felix Da Housekat
1570,Felix Da Housekatt
1570,Felix Da' House Cat
1570,Felix Da' Housecat
1570,Felix Dahousecat
1570,Felix The House Cat
1570,Felix The Housecat
1570,Housecat
1570,Thee Artist Formerly Known As Felix Da Housecat
1812,"Barrow Gang, The"
1812,David Kupper
1812,E Kupper
1812,E. K.
1812,E. Kupper
1812,E.K.
1812,E.Kupper
1812,EK
1812,Eric
1812,Eric Cupper
1812,Eric Harper
1812,Eric Kuppa
1812,Eric Stephen Kupper
1812,Erick Kupper
1812,Erik Kupper
1812,F. Kupper
1812,"K-Skope Project, The"
1812,Kupper
1825,Dave Lee
1825,J Negro
1825,J. Negro
1825,JN
1825,Joe Negro
1825,Joey
1825,Joey Negoro
1825,JoeyNegro
1825,Joy Negro
1825,Negro
1825,Paul Babu
2323,D.J. Hype
2323,D.J.Hype
2323,DJ Hype Aka Ganja Cru
2323,DJ. Hype
2323,Hype
2713,Y.
2713,Yaz
2713,Yazz
2713,Yazzo
2851,DJ Hive
3612,DJ Wally aka Pish Posh
4115,E.B.T.G
4115,E.B.T.G.
4115,E.T.B.T.G
4115,EBTG
4115,ETGB
4115,Everthing But The Girl
4115,Everything But
4115,Everything But A Girl
4115,Everything But....
4115,EverythingButTheGirl
4690,A. Limerick
4690,A.Limerick
4690,A.T. Limerick
4690,Alison Lemerick
4690,Alison Limmerick
4690,Allison Limerick
4690,Limerick
4945,D. J. Swamp
4945,D.J. Swamp
4945,SWAMP
4945,"Swamp, The"
5160,C. Liberator
5160,C.Lib
5160,Chris
5160,Chris Lib
5160,Chris Librator
5160,Liberator
5649,El Fudge
5649,El-Fudge
5649,L Fudge
5649,L. Fudge
5649,Rosario
5797,A. Tanneberger
5797,A.T.B.
5797,"André ""ATB"" Tanneberger"
5797,André Tanneberger
5797,Andre Tanneberger
5797,atb*
5797,Feat.
5797,With
5999,Glory B.
6952,Morella
6952,Morello
6952,T. Morello
6952,Thomas Morello
6952,Tom
6952,Tom Morella
6952,Tom Morello The Nightwatchman
6952,Tony Morello
7620,D.Y
7620,D.Y.
7620,Double U
7620,Double You ?
7620,Double You And Friends
7620,Double You!
7620,Double You?
7620,DY
7620,"Rah Band, The"
7624,D
7624,D Morales
7624,D. Morales
7624,D.M.
7624,D.Morales
7624,Dave Morales
7624,David
7624,"David ""One Puerto Rican"" Morales"
7624,David Mirales
7624,David Morales Presents  Face The
7624,David Moralis
7624,David Morles
7624,Davis Morales
7624,Def
7624,DM
7624,Mo Mo
7624,Morales
7624,Morales D'
7624,Morales D.
7624,"Morales, The"
7624,Moreles
7698,Sanp
7698,Snad
7698,Snap
7698,Snap !
7698,SNAP!
8024,"J, Jackson"
8024,J. Jackson
8024,J.Jackson
8024,Jackson
8024,Jane Jackson
8024,Janet
8024,"Janet, Ms. Jackson If Your Nasty"
8024,Janet.
8024,Jonet Jachsw
8024,Miss Janet
8024,Sister Janet
8099,Danny Tenaglia
8099,Naté
8099,U Nate
8099,U. Naté
8099,U. Nate
8099,U. Wyche
8099,U.Nate
8099,Ultra
8099,Ultra Mate
8099,Ultra Nat
8099,Ultra Natè
8099,Ultra Naté Wyche
8099,Ultra Nate
8099,Ultra Nate Wyche
8099,Ultra Nate'
8099,Ultra-Nate
8099,Ultranaté
8099,Ultranate
8099,Ultrante
8099,Ultre Natt
8099,Wyche
9838,Mike
9838,Mix Master Mike (Beastie Boys DJ)
9838,Mix Master Mike the Serial Wax Killer
9838,Mix Mastermike
9838,Mixmaster Mike
9838,MixMasterMike
9838,MMM The Serial Wax Killer
9838,Slim
9857,A Certain Mr Daniel Miller
9857,D Miller
9857,"D, Miller"
9857,D. Müller
9857,D. Miller
9857,D. O. Miller
9857,D.M.
9857,D.Miller
9857,D.O. Miller
9857,D: Miller
9857,Daniël Miller
9857,Daniel
9857,"Daniel ""Mute"" Miller"
9857,Daniel Miler
9857,Daniel Millar
9857,Daniel Miller Otto
9857,Daniel O Miller
9857,Daniel O'Miller
9857,Daniel O. Miller
9857,Daniel O.Miller
9857,Daniel Otto Miller
9857,Danile Miller
9857,David Miller
9857,DJ Miller
9857,DM
9857,Miller
10299,1.8.7
10299,187
10360,Claus Schultze
10360,Claus Schulze
10360,K. S.
10360,K. Schultze
10360,K. Schulze
10360,K.Schulze
10360,Klaus
10360,Klaus Quadro Schulze
10360,Klaus Schultz
10360,Klaus Schultze
10360,Klaus Shulze
10360,Klaus-Jürgen Schulze
10360,Klause Schulze
10360,KS
10360,Schultze
10360,Schulze
11449,Banana Cherry
11449,Carlsson Cherry
11449,Cherry
11449,Chreey
11449,N Cherry
11449,N'Cherry
11449,N. Cherry
11449,N.Cherry
11449,Neheh Cherry
11449,Nehen Cherry
11449,Nena Cherry
11449,Nenah Cherry
11449,Neneh
11449,Neneh Chérie
11449,Neneh Marianne Karlsson Cherry
11449,Neneu Cherry
11449,Nenneh Cherry
11617,C. Cox
11617,Chris Coxx
11617,Cox
11879,ルーリード
11879,Лу Рид
11879,L Reed
11879,L. H. Read
11879,L. Reed
11879,L.Reed
11879,Lewis Reed
11879,Lou
11879,Lou A. Reed
11879,"Lou Reed Band, The"
11879,Lou Reid
11879,Loud Reed
11879,Louis Reed
11879,Reed
11879,Reed Lewis
12206,C. Coccoluto
12206,C.Coccoluto
12206,Claudiiiococcoluto
12206,"Claudio ""Cocodance"" Coccoluto"
12206,Claudio Cocclutto
12206,Claudio Coccolutto
12206,Claudio Cocoluto
12206,Claudiococcoluto
12206,Coc
12206,Cocco
12206,Coccoluto
12206,Coccoluto C.
12206,Coco
12343,B. T. Jones
12343,Boocker T
12343,Booka T
12343,Booker
12343,Booker T.
12343,Booker-T
12343,Booker. T.
13227,B. Musso
13227,Bob
13227,Bob (Oso) Musso
13227,Bob Musseo
13227,Bob Musso
13227,Musso
13227,R. Musso
13227,Rob Musso
13227,Robert Muso
13227,Robert Russo
13227,Roberto Musso
13407,Cullen
13407,H
13407,H. Cullen
13407,H.C.
13407,H.Cullen
13407,HC
13407,Henry
13407,Henry Culle
13407,Henry From Back To The Planet
14216,DJ Spen
14216,&
14216,Karizma aka Da Deepah Ones
14216,DJ Spen + Karizma
14216,DJ Spen And Karizma
14216,DJ Spen+Karizma
14216,Karizma
14216,&
14216,DJ Spen
14216,Karizma Feat. DJ Spen
14216,Karizma featuring DJ Spen
14216,Spen
14216,&
14216,Karizma
14216,Spen
14216,&
14216,Karzima
14216,Spen + Karizma
14216,Spen And Karizma
15885,Майкъл Джексън
15885,J.Jackson
15885,Jacko
15885,Jackson
15885,Jaxson
15885,Just Michael
15885,M J
15885,M Jackson
15885,M.  Jackson
15885,M. J.
15885,M. J. Jackson
15885,M. Jackson
15885,M.J
15885,M.J.
15885,M.J. Jackson
15885,M.J.Jackson
15885,M.Jackson
15885,Michael
15885,Michael J
15885,Michael J. Jackson
15885,Michael Jack5on
15885,Michael Jackson (Mijac Music)
15885,Michael Jackson's
15885,Michael Jacson
15885,Michael Joe Jackson
15885,MichaelJackson
15885,Micheal Jackson
15885,MJ
15885,MJ For Africa
15885,MJ The One
17110,"Neps, The"
17110,Neptune
17110,Neptune Productions
17110,"Neptune, The"
17110,Neptunes
17110,Pharrell Williams and Chad Hugo (The Neptunes)
17110,"Williams P.*, Hugo C.*"
17456,Bloody Fist
17456,Nasen Bluten
17456,Nasenblueten
18294,Nu Birth
18712,C.
18956,Wonder
18956,D. Wonder
18956,С. Вандер
18956,С. Уандер
18956,Стиви Уандер
18956,Стиви Уондър
18956,Eivets Rednow
18956,Little Stevie
18956,Little Stevie Wonder
18956,Oscar Neves
18956,S Wonder
18956,"S, Wonder"
18956,S. Judkins
18956,S. Vonder
18956,S. Vonderis
18956,S. W.
18956,S. Wonder
18956,S.J. Wonder
18956,S.Wonder
18956,St. Wonder
18956,Steuie Wonder
18956,Steve
18956,Steve . Wonder
18956,Steve Wonder
18956,Stevie
18956,Stevie !
18956,Stevie W
18956,Stevie!
18956,Stewe Wonder
18956,Stewie Wonder
18956,Stieve Wonder
18956,STW
18956,SW
18956,Wonder
18956,Wonder Man
18956,Wonder S.
18956,Wonder Stevie
18956,Wonder What
18956,"Wonder, Stevie"
19674,A Moyet
19674,A. Moyet
19674,A.Moyet
19674,A.X. Moyet
19674,Alison
19674,Allison Moyet
19674,Alyson Moyet
19674,Moyet
19674,Moyet Alison
19674,Moyett
20337,D.R. Z-Vago
20337,Dr Z Vago
20337,Dr Z-Vago
20337,Dr Zivago
20337,Dr. Z V.
20337,Dr. Z Vago
20337,Dr. Z-vago
20337,Dr. ZVago
20337,Dr.Z-Vago
20337,Drz-Vago
20337,Z-Vago
20400,Masochist
20400,Massochist
20400,"Mazochist, The"
20662,F. K.
20662,F. Kervokian
20662,F. Kevorkian
20662,F.K
20662,F.K.
20662,F.Kevorkian
20662,FK
20662,Fran ois Kevorkian
20662,Fran£ois Kevorkian
20662,François
20662,François K
20662,François K.
20662,François Kervokian
20662,François Kervorkian
20662,François Kevorkain
20662,François Kevorkian
20662,FrançoisK.
20662,Francios Kevorkian
20662,Francis K
20662,Francis Kevorkian
20662,Franco K
20662,Francois
20662,Francois Devorkian
20662,Francois K
20662,Francois K.
20662,Francois Kavorkian
20662,Francois Kerokian
20662,Francois Kervokian
20662,Francois Kervorkian
20662,Francois Kevockian
20662,Francois Kevokian
20662,Francois Kevorian
20662,Francois Kevorkain
20662,Francois Kevorkian
20662,Francois Krevorkian
20662,Francois.K
20662,Francoise Kevorkian
20662,Franĉois K
20662,Kervorkian
20662,Kevorkian
20917,DJ Dice
21147,F. Sanders
21147,Farrell Sanders
21147,Ferrell Lee Sanders
21147,Ferrell Sanders
21147,P. Sanders
21147,P.Sanders
21147,Pahroh Sanders
21147,Paraoh Sanders
21147,Ph. Sanders
21147,Pharaoh Sanders
21147,Pharoah Saunders
21147,Sanders
21742,"El Presidente ""Jay-Z"""
21742,G-Zee
21742,J.-Z
21742,J.Z.
21742,Jaÿ-Z
21742,Jay
21742,Jay Z
21742,Jay Z.
21742,Jay Zee
21742,Jay- Z
21742,Jay-Z (Meets Az)
21742,Jay-Zee
21742,Jay-Ziano
21742,JayZ
21742,Jayziano
21742,JZ
