label_id,label
130,Looking Back
160,Abeano Music
160,Concept In Dance
160,Hero Music
160,Ore Music
160,Platinum Projects
160,Rex Records
160,Salvia
267,Hiphouzzz Records
267,Housetime Records
267,Maad
267,No Labull Records
267,Saber Records
267,Trax UK
267,Zoneaphone Records
681,"12"" Atlantic Oldies Series"
681,A*Vision Entertainment
681,Atlantic America
681,Atlantic Jazz
681,Atlantic Oldies Series
681,Atlantic Special
681,Atlantic/Deluxe
681,Bad Boy Entertainment
681,Big Beat
681,Big Tree Records
681,Bluemoon Recordings
681,Brass Recordings
681,Cat Records (2)
681,Clarion
681,Clean Records (2)
681,ClinTone Records
681,Cotillion
681,Eardrum Records
681,EastWest Records America
681,Elektra
681,Finnadar Records
681,First Priority Music
681,Hilltak Records
681,History Of Rhythm
681,&
681,Blues
681,Jazz Age
681,Jazz Record Series
681,La Salle Records
681,Lava
681,Like Records (2)
681,Little David Records
681,Mesa Recordings
681,Modern Records
681,NorthSouth Records
681,Oceana Records
681,Omni Recordings
681,Omni Records
681,Omni Records (3)
681,Pacific Records (6)
681,Puff Daddy Records
681,Radio Records (5)
681,Regency Records (2)
681,Saja Records
681,Stone Flower
681,Suite 2 Records
681,Tag Recordings
681,That's JAZZ (2)
681,That's Soul (2)
750,10 Records
750,Ambient Series
750,Caroline (UK)
750,Circa
750,Clubtone (2)
750,DEP International
750,Dindisc
750,Freestyle Dust
750,Front Line Records
750,Hi-Rise Recordings
750,Hut Recordings
750,Innocent
750,Melankolic
750,More Protein
750,Pointblank
750,Quigley Records
750,Relentless Records
750,Science
750,Source
750,Tangerine Dream Definitive Edition
750,The Invisible Series
750,Themes (Simple Minds)
750,Variation
750,VC Recordings
750,VENTURE
750,Virgin America
750,Virgin Chattering Classics
750,Virgin Dance
750,Virgin International
750,Virgin Japan
750,Virgin Music (Belgium)
750,Virgin Music Canada
750,Virgin Music Video
750,Virgin Radio Limited
750,Virgin Records (Denmark)
750,Virgin Records (Mexico)
750,Virgin Records Canada Inc.
750,Virgin Records NZ Ltd.
750,Virgin Records Sweden Ab
750,Virgin Underground
750,Virgin Video
750,Virgin VIP
750,Virgin Vision
750,Westwood Studios
750,Zarjazz
915,Do It Yourself Entertainment (Germany)
915,KNM Special Marketing
915,Musicismusic
915,Starshit Recordings
1000,A
1000,&
1000,A Records
1000,Curtom
1000,Discreet
1000,Extasy Records
1000,F-111 Records
1000,Giant Records
1000,Jingle Town Records
1000,JKss Records
1000,Kwanza Records
1000,Loma
1000,Machine Shop Recordings
1000,Malpaso Records
