master_id,id,role,anv,tracks,join_,name
218544,183917,,,,,Panta Rhei
527061,194667,,,,,"Farley ""Jackmaster"" Funk"
66600,18712,,,,,Contriva
83121,26695,,,,,Wawa
355092,556115,,,,,Max Fortuna
179800,954530,,,,&,Kaiser (5)
179800,148330,,,,,Kura
151157,191242,,,,,Diplo
77231,73328,,,,,Holly Valance
72617,4115,,,,,Everything But The Girl
23055,5797,,,,,ATB
123237,2851,,,,,Hive
396484,189,,,,,Seba
332215,14062,,,,,World Famous Martinez Orchestra
47305,90037,,Pharrell,,featuring,Pharrell Williams
47305,21742,,,,,Jay-Z
69474,82713,,,,,"Demigodz, The"
175618,73538,,,,,Organum
71388,2713,,Yaz,,,Yazoo
153588,55439,,,,,1 Giant Leap
7548,22660,,,,,The Plastic Jam
37149,37606,,,,,Cat Stevens
29711,227461,,,,with,Michael Shrieve
29711,227462,,,,and,Kevin Shrieve
29711,10360,,,,,Klaus Schulze
241121,26010,,,,,Mistura
261540,194,,,,,Various
32058,35740,,Janes Addiction,,,Jane's Addiction
79543,413977,,Ali,,,Alistair Tennant
5516,70735,,,,,Ultravox
292884,124165,,,,,Baffo Banfi
10122,66253,,,,,Spandau Ballet
75818,209415,,,,,Jean-Michel Jarre
202927,56851,,,,,Sherree Ford-Payne
12333,66852,,Prodigy,,,"Prodigy, The"
261002,50872,,,,,Tortured Soul
115729,343332,,,,,Murphy's Law (2)
215054,29225,,,,,Fat Larry's Band
