release_id,id,role,anv,tracks,join_,name
9552,189,,,,,Seba
120786,70293,,,,,Gy-ro
129290,26010,,,,,Mistura
137790,73538,,,,,Organum
141057,209415,,Jean Michel Jarre,,,Jean-Michel Jarre
171230,10299,,,,,1.8.7.
176915,2851,,,,,Hive
195057,26695,,,,,Wawa
195858,14062,,,,,World Famous Martinez Orchestra
197049,5999,,,,,Glory B
198562,56851,,,,,Sherree Ford-Payne
220376,73328,,,,,Holly Valance
221785,227461,,,,With,Michael Shrieve
221785,227462,,,,And,Kevin Shrieve
221785,10360,,,,,Klaus Schulze
246789,18712,,,,,Contriva
251804,46506,,,,,Fernando
283148,194,,,,,Various
294280,90037,,Pharrell,,Featuring,Pharrell Williams
294280,21742,,,,,Jay-Z
306390,183917,,,,,Panta Rhei
317610,191242,,,,,Diplo
320187,413977,,Ali,,,Alistair Tennant
338434,22660,,,,,The Plastic Jam
348966,50872,,,,,Tortured Soul
353424,82713,,,,,"Demigodz, The"
391985,4115,,,,,Everything But The Girl
414262,194667,,,,,"Farley ""Jackmaster"" Funk"
416393,96622,,,,,DSO
435278,2713,,,,,Yazoo
438284,225001,,,,,Psychospores
468517,35740,,,,,Jane's Addiction
476826,343332,,,,,Murphy's Law (2)
481079,90489,,,,,"Alternative Creators, The"
525651,73465,,,,,Crawl Unit
529327,66852,,Prodigy,,,"Prodigy, The"
529927,29225,,,,,Fat Larry's Band
547563,37606,,,,,Cat Stevens
620973,449771,,,,,Union (4)
646458,20917,,,,/,Dice
646458,166728,,,,,Silva D
672085,66253,,,,,Spandau Ballet
695499,954530,,,,&,Kaiser (5)
695499,148330,,,,,Kura
698248,124165,,,,,Baffo Banfi
729335,260577,,Philemon Arthur And The Dung,,,The Dung
729971,70735,,,,,Ultravox
731127,556115,,,,,Max Fortuna
734566,5797,,,,,ATB
775137,55439,,,,,1 Giant Leap
776867,579426,,,,,Alcholic Cindy
780393,163549,,,,,Alek Száhala
787457,210518,,,,,Zeena Parkins
804216,200815,,Charlie Mingus,,,Charles Mingus
827356,662202,,,,,Coke Mafia
