release_id,uri,type,height,width,uri150
9552,http://api.discogs.com/image/R-9552-1355751145-7954.jpeg,primary,600,600,http://api.discogs.com/image/R-150-9552-1355751145-7954.jpeg
9552,http://api.discogs.com/image/R-9552-1333183989.jpeg,secondary,597,600,http://api.discogs.com/image/R-150-9552-1333183989.jpeg
9552,http://api.discogs.com/image/R-9552-1177930432.jpeg,secondary,598,600,http://api.discogs.com/image/R-150-9552-1177930432.jpeg
9552,http://api.discogs.com/image/R-9552-1177930122.jpeg,secondary,598,600,http://api.discogs.com/image/R-150-9552-1177930122.jpeg
129290,http://api.discogs.com/image/R-129290-1165234291.jpeg,secondary,472,472,http://api.discogs.com/image/R-150-129290-1165234291.jpeg
137790,http://api.discogs.com/image/R-137790-001.jpg,primary,250,250,http://api.discogs.com/image/R-150-137790-001.jpg
141057,http://api.discogs.com/image/R-141057-1329999460.jpeg,primary,599,596,http://api.discogs.com/image/R-150-141057-1329999460.jpeg
141057,http://api.discogs.com/image/R-141057-1329999478.jpeg,secondary,599,595,http://api.discogs.com/image/R-150-141057-1329999478.jpeg
141057,http://api.discogs.com/image/R-141057-1266244334.jpeg,secondary,579,600,http://api.discogs.com/image/R-150-141057-1266244334.jpeg
141057,http://api.discogs.com/image/R-141057-1266244304.jpeg,secondary,567,600,http://api.discogs.com/image/R-150-141057-1266244304.jpeg
171230,http://api.discogs.com/image/R-171230-001.gif,primary,300,304,http://api.discogs.com/image/R-150-171230-001.gif
171230,http://api.discogs.com/image/R-171230-002.jpg,secondary,300,300,http://api.discogs.com/image/R-150-171230-002.jpg
176915,http://api.discogs.com/image/R-176915-1308766192.jpeg,secondary,471,476,http://api.discogs.com/image/R-150-176915-1308766192.jpeg
176915,http://api.discogs.com/image/R-176915-1308766249.jpeg,primary,471,476,http://api.discogs.com/image/R-150-176915-1308766249.jpeg
195057,http://api.discogs.com/image/R-195057-1142852983.jpeg,secondary,345,336,http://api.discogs.com/image/R-150-195057-1142852983.jpeg
195057,http://api.discogs.com/image/R-195057-1142853004.jpeg,secondary,336,337,http://api.discogs.com/image/R-150-195057-1142853004.jpeg
195057,http://api.discogs.com/image/R-195057-1142853019.jpeg,secondary,340,336,http://api.discogs.com/image/R-150-195057-1142853019.jpeg
195858,http://api.discogs.com/image/R-195858-1317579913.jpeg,primary,600,596,http://api.discogs.com/image/R-150-195858-1317579913.jpeg
197049,http://api.discogs.com/image/R-197049-1299000237.jpeg,primary,600,577,http://api.discogs.com/image/R-150-197049-1299000237.jpeg
197049,http://api.discogs.com/image/R-197049-1299000260.jpeg,secondary,599,600,http://api.discogs.com/image/R-150-197049-1299000260.jpeg
197049,http://api.discogs.com/image/R-197049-1299000249.jpeg,secondary,599,600,http://api.discogs.com/image/R-150-197049-1299000249.jpeg
197049,http://api.discogs.com/image/R-197049-1299000268.jpeg,secondary,599,600,http://api.discogs.com/image/R-150-197049-1299000268.jpeg
197049,http://api.discogs.com/image/R-197049-1299000287.jpeg,secondary,600,597,http://api.discogs.com/image/R-150-197049-1299000287.jpeg
197049,http://api.discogs.com/image/R-197049-1299000298.jpeg,secondary,600,597,http://api.discogs.com/image/R-150-197049-1299000298.jpeg
198562,http://api.discogs.com/image/R-198562-1208988108.gif,primary,384,436,http://api.discogs.com/image/R-150-198562-1208988108.gif
220376,http://api.discogs.com/image/R-220376-1257161753.jpeg,primary,527,589,http://api.discogs.com/image/R-150-220376-1257161753.jpeg
