release_id,style
9552,Drum n Bass
120786,Techno
120786,Hard Trance
120786,Acid
129290,House
137790,Industrial
137790,Experimental
141057,Synth-pop
141057,Experimental
171230,Drum n Bass
176915,Drum n Bass
195057,House
195858,House
197049,Minimal
197049,Tech House
198562,House
198562,Deep House
198562,Garage House
220376,House
220376,Electro
220376,Synth-pop
221785,Electro
221785,Downtempo
246789,Downtempo
246789,Post Rock
246789,Experimental
251804,Techno
283148,House
283148,Broken Beat
283148,Synth-pop
294280,RnB/Swing
306390,Abstract
306390,IDM
306390,Ambient
317610,Breakbeat
317610,Electro
317610,Hip Hop
320187,UK Garage
320187,Garage House
338434,Hardcore
338434,Garage House
348966,Deep House
353424,Thug Rap
391985,House
391985,Tribal
414262,House
414262,Acid House
416393,Techno
435278,House
435278,Techno
438284,Techno
468517,Alternative Rock
476826,Hardcore
481079,Trance
525651,Noise
525651,Experimental
529327,Breakbeat
529327,Jungle
529327,Big Beat
529927,Disco
547563,Folk Rock
547563,Pop Rock
646458,Drum n Bass
672085,Synth-pop
695499,Makina
698248,Ambient
729335,Alternative Rock
729971,Synth-pop
731127,Trance
734566,Trance
734566,Euro House
775137,Downtempo
776867,Glitch
776867,Broken Beat
776867,Breakcore
776867,Experimental
780393,Hardcore
780393,Hard Trance
787457,Modern Classical
804216,Post Bop
827356,Hardcore
