release_id,track_id,position,duration,title
9552,53327,A,10:12,Planetary Funk Alert
9552,53328,AA,9:00,Camouflage
120786,646891,A,,Subway Termination
120786,646892,B,,Perdition
129290,691838,A1,6:32,Tonight (Joey Negro Etagui Mix)
129290,691839,A2,5:15,Tonight (Todd Edwards Samba Dub)
129290,691840,B1,8:04,Tonight (Todd Edwards Club Mix)
129290,691841,B2,2:33,Tonight (Accapella)
137790,739694,A,2:18,Feldzug
137790,739695,B,1:12,Stumpf
141057,758126,A,,Magnetic Fields Part 2 (Remix)
141057,758127,B,,Magnetic Fields Part 1 (Excerpt)
171230,929666,1,5:59,Blue Nile
171230,929667,2,5:38,Get Amped (215 Remix)
171230,929668,3,7:03,Relax Your Mind
171230,929669,4,6:25,Deep Stealth
171230,929670,5,5:59,Rock The Party
171230,929671,6,6:34,Unite
171230,929672,7,6:47,Cross The Line
171230,929673,8,6:32,Quality Rolls
171230,929674,9,6:22,Stigma
171230,929675,10,6:03,Reboot
171230,929676,11,8:14,Jerusalem
176915,961758,1,,Ultrasonic Sound
176915,961759,2,,Moves Within Time (1st Movement)
176915,961760,3,,Moves Within Time (2nd Movement)
176915,961761,4,,Moves Within Time (3rd Movement)
176915,961762,5,,Ultrasonic Sound (DJ Wally's Moves Within Sound Mix)
176915,961763,6,,Ultrasonic Sound (Mixmaster Mike's Back Rash Ointment Mix)
176915,961764,7,,Inside The Hive
195057,1062974,A1,,Uciekaj
195057,1062975,B1,,No Problem (Dub Mix)
195057,1062976,B2,,No Problem (Piano Mix)
195858,1067149,A,,Southside (Original)
195858,1067150,B,,Southside (Cocoluto Dub)
195858,1067151,C,,Southside (Problem Kid Shallow House Mix)
195858,1067152,D,,Southside  (Problem Kid Deeper Dub)
197049,1074734,A1,,Multiple Suns
197049,1074735,A2,,Swingtime
197049,1074736,B1,,Bring It On
197049,1074737,B2,,Tears On Top
197049,1074738,C1,,Back On Call
197049,1074739,C2,,Proof Bros
197049,1074740,D,,Click
198562,1083408,1,3:56,Shoulda Coulda Woulda (Eat Me Edit)
198562,1083409,2,4:03,Shoulda Coulda Woulda (Classic Radio Mix)
198562,1083410,3,11:06,Shoulda Coulda Woulda (DEF Club Mix)
198562,1083411,4,5:12,Shoulda Coulda Woulda (Extended Mix)
198562,1083412,5,7:40,Shoulda Coulda Woulda (Dub Mix)
198562,1083413,6,4:49,Shoulda Coulda Woulda (Album Version)
220376,1209148,1,3:21,State Of Mind
220376,1209149,2,7:00,State Of Mind (Vertigo) (Extended Mix)
220376,1209150,3,7:31,State Of Mind (Felix Da Housekatt) (Mix)
220376,1209151,Video,,State Of Mind
