track_id,id,role,anv,tracks,join_,name
929666,10299,,,,,1.8.7.
929667,183701,,,,,Send Breaks (^X^C)
929668,10299,,,,,1.8.7.
929669,10299,,,,,1.8.7.
929670,10299,,,,,1.8.7.
929671,10299,,,,,1.8.7.
929672,10299,,,,,1.8.7.
929673,10299,,,,,1.8.7.
929674,10299,,,,,1.8.7.
929675,10299,,,,,1.8.7.
929676,10299,,,,,1.8.7.
1505490,15885,,,,,Michael Jackson
1505491,4690,,,,,Alison Limerick
1505492,5970,,,,,"Movement, The (3)"
1505493,2714,,,,,Erasure
1505494,22757,,,,&,Luther Vandross
1505494,8024,,,,,Janet Jackson
1505495,7620,,,,,Double You
1505496,7698,,,,,Snap!
1505497,8099,,,,,Ultra Naté
2156799,194667,,,,Feat.,"Farley ""Jackmaster"" Funk"
2156799,28521,,,,,Darryl Pandy
2156800,194667,,,,Feat.,"Farley ""Jackmaster"" Funk"
2156800,27628,,,,,Ricky Dillard
2156801,28802,,,,,"Rude Boy Farley Keith, The"
2156802,194667,,,,,"Farley ""Jackmaster"" Funk"
2156803,194667,,Jack Master Funk,,,"Farley ""Jackmaster"" Funk"
2156804,194667,,,,,"Farley ""Jackmaster"" Funk"
2156805,194667,,,,,"Farley ""Jackmaster"" Funk"
2156806,194667,,,,,"Farley ""Jackmaster"" Funk"
2156807,125878,,,,,Blackman (4)
2156808,194667,,,,,"Farley ""Jackmaster"" Funk"
2156809,194667,,,,,"Farley ""Jackmaster"" Funk"
2156810,28802,,Farley Funkin' Keith,,,"Rude Boy Farley Keith, The"
2156811,28802,,Farley Funkin' Keith,,,"Rude Boy Farley Keith, The"
3509093,20917,,,,,Dice
3509094,166728,,,,,Silva D
4586787,17456,,,,,Nasenbluten
4586788,20337,,,,,Dr. Z-Vago
4586789,17456,,,,,Nasenbluten
4586790,24394,,,,,"Destroyer, The"
4586791,28392,,D.O.A.,,,Disciples Of Annihilation
4586792,20400,,,,,"Masochist, The"
