id,rating,rating_count
985,83,6
11783,84,9
455460,50,2
189237,,
35364,80,1
363984,,
126976,,
57154,20,1
37430,100,1
11285,95,24
21724,,
31429,80,1
346598,,
95306,60,1
32474,100,1
31044,100,2
1763,75,4
9061,,
299,89,11
2632,,
10342,,
182,82,13
122653,89,11
1436,90,6
1092,80,1
310,90,2
1133,90,2
73502,91,7
14549,100,2
49352,100,1
1,78,18
23642,,
438599,60,2
146720,86,10
9235,100,2
2017,90,4
1091,100,2
632902,,
44563,85,4
38831,80,1
37472,100,1
1587,92,19
446,82,12
2327,98,28
1120,70,2
570716,,
620257,,
56851,,
35460,100,1
9973,84,5
1111,86,7
1434,80,3
2735,91,7
1965,89,13
420346,,
24245,80,2
218850,,
69475,,
927645,,
