id,iso_code_2t,iso_code_2b,iso_code_1,name,frequency,iso_code_3
3858,,,,Liv,1,liv
4369,,,,Montagnais,1,moe
4663,,,,Min Nan Chinese,1,nan
5690,,,,Réunion Creole French,1,rcf
5808,,,,Yaeyama,1,rys
6966,,,,Võro,1,vro
7640,,,,Yue Chinese,1,yue
3529,,,,Kölsch,1,ksh
3880,,,,Lakota,1,lkt
5989,,,,Sindarin,1,sjn
487,,,,Ghotuo,0,aaa
488,,,,Alumu-Tesu,0,aab
489,,,,Ari,0,aac
490,,,,Amal,0,aad
491,,,,Arbëreshë Albanian,0,aae
492,,,,Aranadan,0,aaf
493,,,,Ambrak,0,aag
494,,,,Abu' Arapesh,0,aah
495,,,,Arifama-Miniafia,0,aai
496,,,,Ankave,0,aak
497,,,,Afade,0,aal
498,,,,Aramanik,0,aam
499,,,,Anambé,0,aan
500,,,,Algerian Saharan Arabic,0,aao
501,,,,Pará Arára,0,aap
502,,,,Eastern Abnaki,0,aaq
1,aar,aar,aa,Afar,1,aar
503,,,,Aasáx,0,aas
504,,,,Arvanitika Albanian,0,aat
505,,,,Abau,0,aau
506,,,,Solong,0,aaw
507,,,,Mandobo Atas,0,aax
508,,,,Amarasi,0,aaz
509,,,,Abé,0,aba
510,,,,Bankon,0,abb
511,,,,Ambala Ayta,0,abc
512,,,,Manide,0,abd
513,,,,Western Abnaki,0,abe
514,,,,Abai Sungai,0,abf
515,,,,Abaga,0,abg
516,,,,Tajiki Arabic,0,abh
517,,,,Abidji,0,abi
518,,,,Aka-Bea,0,abj
2,abk,abk,ab,Abkhazian,1,abk
338,pol,pol,pl,Polish,2,pol
519,,,,Lampung Nyo,0,abl
340,por,por,pt,Portuguese,2,por
393,spa,spa,es,Spanish,2,spa
403,swe,swe,sv,Swedish,2,swe
520,,,,Abanyom,0,abm
433,tur,tur,tr,Turkish,2,tur
353,rus,rus,ru,Russian,2,rus
76,zho,chi,zh,Chinese,2,zho
18,ara,ara,ar,Arabic,2,ara
98,ces,cze,cs,Czech,2,ces
100,dan,dan,da,Danish,2,dan
145,deu,ger,de,German,2,deu
521,,,,Abua,0,abn
522,,,,Abon,0,abo
523,,,,Abellen Ayta,0,abp
524,,,,Abaza,0,abq
525,,,,Abron,0,abr
526,,,,Ambonese Malay,0,abs
527,,,,Ambulas,0,abt
24,art,art,,[Artificial (Other)],1,qaa
528,,,,Abure,0,abu
529,,,,Baharna Arabic,0,abv
530,,,,Pal,0,abw
531,,,,Inabaknon,0,abx
