id,gid,name,artist_credit,release_group,status,packaging,language,script,barcode,comment,edits_pending,quality,last_updated
921774,9e1ddf83-ae8d-4d29-ac2b-4a455013b710,Haha,69475,262194,1,1,145,28,077778011026,"",0,-1,2012-09-20 10:00:09.596283+02
279680,dc180805-8271-4046-aa1d-7f58a2ec3213,Ev.Panic Redone,346598,624202,1,,120,28,,"",0,-1,
394442,8636e61e-d592-4232-8a58-02f39b53427e,Taboos,126976,718910,1,4,120,28,"","",0,-1,2012-05-24 21:31:07.566907+02
461588,9f4c0868-d38c-44ce-835d-99767894a51c,luv.com,570716,773879,1,,198,85,,"",0,-1,
543345,3b05f62b-6bd5-49df-ae0d-4008c1011553,Depopulation Cooperative,620257,841523,1,,120,28,,"",0,-1,2009-06-02 18:26:33.248744+02
905582,ab56517c-7732-4b67-bd71-e46f4862a56e,Burn Out the Stars,218850,325400,1,,120,28,,"",0,-1,2012-03-05 22:11:40.229829+01
971720,d014e077-4c95-41d2-a188-47470a3d67f3,Pure Classics,1,442093,1,,120,28,,"",0,-1,
462796,c8fbef93-80dd-4d3b-8609-281ddf95d525,Tidlöst,632902,190872,1,,,28,,"",0,-1,2012-01-07 18:46:25.797749+01
1199077,cf47f8f4-fe0d-4715-a8ea-541a6b5105f7,"Jim Beam: The Best of 40 Shots of Rock, Volume 2",1,1194899,1,,120,28,9341004002364,"",0,-1,2012-12-16 07:38:48.350804+01
1255746,01e1e750-e9e0-4c26-8765-acba448b68f2,Лена,420346,1241447,1,,353,31,4606344027879,"",0,-1,2013-02-14 11:48:10.332816+01
