id,gid,name,artist_credit,type,comment,edits_pending,last_updated
190872,b9139541-b649-3f01-9a6f-e7f5c62d53f4,Tidlöst,632902,1,"",0,2010-06-09 14:02:29.71477+02
262194,e6ef151a-1b5b-3724-9471-dd143ce7c6ff,Haha,69475,1,"",0,2009-05-24 22:47:00.490177+02
325400,a6489e23-cf2c-3915-befc-2d372e37d9de,Burn Out the Stars,218850,1,"",0,2009-05-24 22:47:00.490177+02
442093,9784af5a-cecb-3a66-8051-de62fa8392fc,Pure Classics,1,1,"",0,2012-05-15 21:01:58.718541+02
624202,7b21af4e-98df-31af-8bdc-c62c14612ca0,Ev.Panic Redone,346598,3,"",0,2009-05-24 22:47:00.490177+02
718910,da5664c4-60ad-3841-a25a-0f1e8b50373e,Taboos,126976,2,"",0,2009-05-24 22:47:00.490177+02
773879,40d66d9b-0c0c-3e73-b015-0f98a867aaf7,luv.com,570716,1,"",0,2009-05-24 22:47:00.490177+02
841523,fdd5c7b8-ef2a-492f-ae60-422ad6dc738a,Depopulation Cooperative,620257,3,"",0,2009-06-02 18:26:33.248744+02
1194899,f33f1bb3-3891-44b8-b36f-ede70aff4b34,"Jim Beam: The Best of 40 Shots of Rock, Volume 2",1,1,"",0,2012-12-16 07:39:08.291456+01
1241447,6f6dbe50-a1f8-4920-9427-6d19e3980f68,Лена,420346,1,"",0,2013-02-14 11:40:11.875616+01
