discid,dtitle,dyear,dgenre,extd,playorder,disc_length,revision,submitted_via
140df114,Woo Ji Hyeon & Choi Lila / Beautifull Cello melodies for prenatal care CD2,-1,Easy Listening,"","",3571,0,CDex 1.70beta2
180f1a14,"40 Suosikkia / 70-luku, Suurten hittien vuosikymmen 1, CD1",2000,Pop,Suurten hittien vuosikymmen,"",3868,1,audiograbber 1.83.01
2004e804,Carma / Space,2002,Dance, YEAR: 2002,"",1258,1,CDex 1.51
25039104,Clawfinger / The Truth,1993,Crossover,"","",915,2,ExactAudioCopy v0.90b4
2604d804,Bonnie 'Prince' Billy & The Phantom Family Halo / The Mindeater,2011,Alternative,"","",1242,1,ExactAudioCopyFreeDBPlugin 1.0
2912bb15,Various / Station 2000: ������ ������!,2000,Trance, YEAR: 2000,"",4797,2,CDex 1.50Beta7
2b055404,Mark Robinson / Taste,2000,Indie,"","",1366,0,ExactAudioCopy v0.90b4
36122715,Various / Now Dance Hits 96 Jaaroverzicht CD2,1996,Dance,"","",4649,3,dBpowerAMP V12.0
380b6e05,"Grateful Dead / 93-03-28 Knickerbocker Arena, Albany NY",-1,"","","",2928,1,audiograbber 1.83.01
3812b815,Various / K�lsche Sommerparty Vol. 1,2003,Anime, YEAR: 2003,"",4795,0,CDex 1.50
3f03f006,Defektro / Collapse Of The Unseen Wall,2008,Noise,"","",1010,0,ExactAudioCopy v0.99pb4
440cd314,James Follett / Earthsearch II [CD1],1982,Speech,"","",3285,1,ExactAudioCopy v0.99pb4
490a0006,Ghosting Season / The Forgotten Saints Mix,2012,Electronic,"","",2562,1,audiograbber 1.83.01
4c08c806,DON RAY / Garden of Love,1978,Disco,Original Release in 1978; Re-Released in 1994,"",2250,1,audiograbber 1.82.02
4c0f6928,Various / Tluce bubenicek,2004,Other,"","",3947,0,ExactAudioCopy v1.0b1
500a3b08,Various Artists / JazzBluesSoul 1961-62_3,-1,"","","",2621,0,ExactAudioCopy v0.90a11
570b4516,J.S. Bach / Weihnachts-Oratorium V + VI,1998,Classical, YEAR: 1998,"",2887,6,CDex 1.51
650b8c07,"Trio Ravel / Claude Debussy, Maurice Ravel",1986,Classical, YEAR: 1986,"",2958,0,BonkEnc v1.0
68101e1a,Various / [Groove Sampler] Latin & Funk 2004.2,2004,Latin,"","",4128,0,dBpowerAMP V12.0
750af90b,Dreampilots / If You Ever Come Down,2005,Pop,"","",2811,1,ExactAudioCopy v1.0b1
7708630b,Fruit Bats / Spelled In Bones,2005,Indie Pop/Rock, YEAR: 2005,"",2149,1,ExactAudioCopy v0.95a5
7711ce19,"Charlie Parker / The Legendary Dial Masters, Vol. 1",1989,Jazz,"","",4560,3,audiograbber 1.81.03
780a8508,David Bowie / VH1 Storytellers,2009,Pop Rock, YEAR: 2009,"",2695,0,CDex 1.51
7f07f10a,"Deafening, The / Central Booking",2012,Hard Rock,"","",2035,0,ExactAudioCopy v1.0b3
8a07930b,The New Freedom Singers / Put Your Hand In The Hand,-1,Gospel,"","",1941,0,FreeRIP 2.51 
