discid,n,ttitle,extt
140df114,0,Rain,""
140df114,1,Handel - Sarabande,""
140df114,2,Vivaldi - Sonata No.5 Largo,""
140df114,3,Gabriel's oboe,""
140df114,4,Gunod - Ave Maria,""
140df114,5,Galliard - Minuet,""
140df114,6,Sorenzara,""
140df114,7,Saint-Saens - The swan,""
140df114,8,Schubert - Heidenroslein D.257,""
140df114,9,Kreisler - Liebesfreud,""
140df114,10,Schumann - Traumerei,""
140df114,11,Reality,""
140df114,12,Emmentaler Lied,""
140df114,13,Schubert - Moments Musicaux D.780,""
140df114,14,Cello and Piano Sonata in G minor Op. 19 Andante,""
140df114,15,Tchaikovsky - Wiegenlied,""
140df114,16,Dominique,""
140df114,17,Shall we dance,""
140df114,18,What child this is,""
140df114,19,Schubert - Nacht und Traume D.827,""
180f1a14,0,Marion / El Bimbo,Marion
180f1a14,1,Pepe Willberg / Aamu,Pepe Willberg & Paradise
180f1a14,2,"Markku Aro / Oma kultasein, 'Sugar Baby Love'",Markku Aro
180f1a14,3,"Maarit / Ei vaadi paljon, vain kaiken, 'Benjamin'",Maarit
180f1a14,4,Kai Hyttinen / Dirlanda,Kai Hyttinen
180f1a14,5,"Ami Aspelund / Apinamies, 'Big Fat Oranguman'",Ami Aspelund
180f1a14,6,"Fredi / Muukalainen, 'Starman'",Fredi
180f1a14,7,Danny&Armi / Tahdon olla sulle hell�,Danny & Armi
180f1a14,8,Jukka Kuoppam�ki / Pieni mies,Jukka Kuoppam�ki
180f1a14,9,Kivikasvot / Tankeros Love,Kivikasvot
180f1a14,10,Kirka / Venus,Kirka
180f1a14,11,Frederik / Jos vain jotain yritt�� (Harva meist� on rautaa),Frederik
180f1a14,12,Tapani Kansa / Hafanana,Tapani Kansa
180f1a14,13,Irwin Goodman / H�irikk�,Irwin Goodman
180f1a14,14,"Erkki Liikanen / Mei� Veera, 'Arms Full of Empty'",Erkki Liikanen
180f1a14,15,Mikko Alatalo / Vicky Lee,Mikko Alatalo
180f1a14,16,"7 Sein�hullua veljest� / Kelpaisiko seksi, 'Do Ya Think I'm Sexy'",Seitsem�n Sein�hullua Veljest�
180f1a14,17,"Hector / Takataan Roos, 'Yakety Yak'",Hector
180f1a14,18,Kirka ja Sammy Babizin / Mrs. Robinson,Kirka ja Sammy Babitzin
180f1a14,19,Leevi and the Leavings / Mit� kuuluu MarjaLeena,Leevi and the Leavings
2004e804,0,Space (Orginal Mix),""
2004e804,1,Space (Mezzo Mix),""
2004e804,2,Space (Club Mix),""
2004e804,3,Space (Radio Edit),""
25039104,0,The Truth,""
25039104,1,Get It,""
25039104,2,Love,""
25039104,3,Don't Get Me Wrong,""
2604d804,0,The Mindeater,""
2604d804,1,Roki For Now,""
2604d804,2,I Wonder If I Care As Much,""
2604d804,3,Suddenly The Darkness,""
2912bb15,0,York / Farewell To The Moon,""
2912bb15,1,Paul Van Dyk / We Are Alive,""
2912bb15,2,Daft Punk / One More Time,""
2912bb15,3,Darude / Feel The Beat,""
2912bb15,4,ATB feat. The Wild Strawberries / Let U Go,""
2912bb15,5,G-Starr Present Big World / Morning Light,""
2912bb15,6,Mythos'n DJ Cosmo / Hymn,""
2912bb15,7,Alice Deejay / The Lonely One,""
2912bb15,8,Barry White / Let The Music Play,""
2912bb15,9,Bomfunk MC's / Uprocking Beats,""
2912bb15,10,DJ Red 5 vs. DJ's @ Work / Rhytm & Drums,""
2912bb15,11,Sm-Trax / At The Club,""
2912bb15,12,666 / Dance 2 Disco,""
2912bb15,13,DJ Piccolo / Spring,""
2912bb15,14,Groovecult feat. Safiye / Bang to the Beat,""
2912bb15,15,DJ Alligator Project / The Whistle Song,""
2912bb15,16,"Brooklyn Bounce / Bass,Beats & Melody",""
2912bb15,17,True Steppers feat. Dane Bowers / Bugging,""
2912bb15,18,Bleaching / Peaking,""
2912bb15,19,Different Gear vs. The Police / When The World Is Running Down,""
2912bb15,20,Eminem feat. Dido / Stan,""
2b055404,0,"Why Hello, Dali!",""
2b055404,1,Rindge and Latin Scuffle,""
2b055404,2,Ruggles Muggle Toodle-Loo,""
2b055404,3,"The Dorothy ""Dottie"" Doyle Shortcut",""
36122715,0,Dune / Million Miles From Home,""
36122715,1,Spice girls / Wannabe,""
36122715,2,Nas / If I Ruled The World,""
