id,gid,name,sort_name,type,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,comment
38,71bbafaa-e825-3e15-8ca9-017dcad1748b,Canada,Canada,1,0,2013-05-27 15:15:52.179105+02,,,,,,,f,""
14,caac77d1-a5c8-3e6e-8e27-90b44dcc1446,Austria,Austria,1,0,2013-05-27 14:35:40.729344+02,,,,,,,f,""
81,85752fda-13c4-31a3-bee5-0e5cb1f51dad,Germany,Germany,1,0,2013-05-27 14:44:37.529747+02,,,,,,,f,""
67,e1c1215f-dcc0-35b4-b840-d2ca2151593b,Estonia,Estonia,1,0,2013-05-27 14:48:27.302754+02,,,,,,,f,""
21,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Belgium,Belgium,1,0,2013-05-27 15:19:23.122899+02,,,,,,,f,""
57,4757b525-2a60-324a-b060-578765d2c993,Denmark,Denmark,1,0,2013-05-27 15:28:43.191347+02,,,,,,,f,""
221,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,1,0,2013-05-16 13:06:19.67235+02,,,,,,,f,""
107,2db42837-c832-3c27-b4a3-08198f75693c,Japan,Japan,1,0,2013-05-27 14:29:56.162248+02,,,,,,,f,""
160,6743d351-6f37-3049-9724-5041161fff4d,Norway,Norway,1,0,2013-05-27 15:04:37.003243+02,,,,,,,f,""
150,ef1b7cc0-cd26-36f4-8ea0-04d9623786c7,Netherlands,Netherlands,1,0,2013-05-27 15:06:47.020436+02,,,,,,,f,""
84,803db0ca-b6ed-3bbc-aeb8-f89efd0a2168,Greece,Greece,1,0,2013-05-27 15:12:47.859578+02,,,,,,,f,""
104,03691455-bb46-37e3-91d2-cb064a35ffcc,Israel,Israel,1,0,2013-05-27 15:24:01.21281+02,,,,,,,f,""
105,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,Italy,1,0,2013-05-27 15:42:38.97505+02,,,,,,,f,""
176,1f1fc3a4-9500-39b8-9f10-f0a465557eef,Russian Federation,Russian Federation,1,0,2013-05-20 01:03:56.367979+02,,,,,,,f,""
113,b9f7d640-46e8-313e-b158-ded6d18593b3,South Korea,South Korea,1,0,2013-05-15 20:16:49.806534+02,,,,,,,f,""
194,471c46a7-afc5-31c4-923c-d0444f5053a4,Spain,Spain,1,0,2013-05-27 15:08:54.580681+02,,,,,,,f,""
219,904768d0-61ca-3c40-93ac-93adc36fef4b,Ukraine,Ukraine,1,0,2013-05-27 16:03:32.830885+02,,,,,,,f,""
222,489ce91b-6658-3307-9877-795b68554c98,United States,United States,1,0,2013-06-15 20:06:39.59323+02,,,,,,,f,""
126,fa75cdb9-cbc4-35de-8bf4-a21e7b811484,Macedonia,Macedonia,1,0,2013-05-15 20:32:33.321633+02,,,,,,,f,""
7324,e183ffae-1d35-4c78-b552-957535e40af1,Long Beach,Long Beach,3,0,2013-05-28 14:01:33.74757+02,,,,,,,f,""
73,08310658-51eb-3801-80de-5a0739207115,France,France,1,0,2013-05-27 14:50:32.702645+02,,,,,,,f,""
202,23d10872-f5ae-3f0c-bf55-332788a16ecb,Sweden,Sweden,1,0,2013-05-27 15:49:03.298388+02,,,,,,,f,""
108,2e40127e-0b8a-3a01-bfbc-58c7fcdba532,Jordan,Jordan,1,0,2013-05-27 15:37:33.655742+02,,,,,,,f,""
240,525d4e18-3d00-31b9-a58b-a146a916de8f,[Worldwide],[Worldwide],,0,2013-08-28 13:55:07.839087+02,,,,,,,f,""
15449,2913ad77-cec8-4d2f-98d3-d4aa46ab73bc,Greccio,Greccio,4,0,2013-07-22 00:47:57.660809+02,,,,,,,f,""
736,512af9f2-8e77-4308-809e-5031be567cf0,Kecskemét,Kecskemét,3,0,2013-05-24 00:27:49.478123+02,,,,,,,f,""
1969,d62f1770-b24f-41e1-b598-1a45f042b759,Dravograd,Dravograd,2,0,2013-05-20 17:32:00.647473+02,,,,,,,f,""
43,82d5f4d6-aed4-3ff5-81d1-5363ac6e97a7,Chile,Chile,1,0,2013-05-27 14:52:17.320228+02,,,,,,,f,""
44,7c81bb69-a99b-3487-b6d4-0f76d7a29ca0,China,China,1,0,2013-05-27 14:23:26.224204+02,,,,,,,f,""
36,ee26e886-87f5-33a2-8e8e-f9591490426d,Cambodia,Cambodia,1,0,2013-05-27 14:26:51.100269+02,,,,,,,f,""
78,d14441fe-3bce-34b5-aed5-dfbe987329c9,Gabon,Gabon,1,0,2013-05-27 14:30:24.039854+02,,,,,,,f,""
71,031eba2b-79b5-3314-a14b-288407ad42ab,Fiji,Fiji,1,0,2013-05-27 14:32:56.369062+02,,,,,,,f,""
70,9ed3be5f-d54c-3add-a6a6-76c0cca54fd8,Faroe Islands,Faroe Islands,1,0,2013-05-27 14:25:34.703672+02,,,,,,,f,""
63,8e0551f2-95c2-3cc0-a0a9-f2d344f10667,Egypt,Egypt,1,0,2013-05-27 14:37:11.328117+02,,,,,,,f,""
42,6ce82d72-8123-3365-ab34-7b20581a34cf,Chad,Chad,1,0,2013-05-27 14:37:42.960389+02,,,,,,,f,""
18,20395c3e-610c-34fd-9995-6b6f299121f2,Bangladesh,Bangladesh,1,0,2013-05-27 14:42:54.092754+02,,,,,,,f,""
