artist,annotation
319,3270
8436,9486
15883,10575
9503,14392
985,16193
246353,19330
89460,20226
105725,21488
105725,22188
232365,25623
360,26566
232365,29527
105725,30514
352987,39073
352987,39078
89460,44448
15883,61254
14839,70871
14839,70872
10971,98804
962,105453
9503,105763
397,112931
166923,121269
105725,130986
962,133860
105725,113193
105725,113109
105725,138121
10293,473673
319,157335
10293,473674
105725,167670
105725,167671
105725,167676
105725,172349
105725,172356
1,455300
707464,191080
707464,191537
51840,191915
166923,193675
807984,457411
397,459244
807984,168461
10293,463372
10293,464980
707464,465973
10293,468608
10293,472378
10293,472379
10293,472380
962,478909
246353,481555
707464,492569
158469,492931
707464,509470
707464,509471
707464,509472
707464,509473
707464,509474
707464,509479
707464,509481
10293,517842
807984,528000
707464,543742
962,551560
707464,554131
