id,discid,freedb_id,track_count,leadout_offset,track_offset,degraded,created
366314,5SuU26j7ZRToOkZoVnj7IIDEkuE-,9c0b880c,12,221576,"{150,16020,32797,48705,63827,85465,100145,118963,136171,152460,176968,198158}",f,2011-05-16 16:57:06.530063+02
368170,vF7IZEQCa_FAk_YUe.9NEO1wwAY-,ec118911,17,336858,"{150,16555,42183,58820,81158,106908,128623,134163,157020,180920,208123,227725,247958,273708,284800,302708,316003}",f,2011-05-16 16:57:06.530063+02
23745,ifIGYximtWZK0SYgHZiJETnJqBA-,8008eb0b,11,171400,"{150,20767,50030,69937,85145,91027,92507,109785,128222,142860,150420}",f,2011-05-16 16:57:06.530063+02
83389,zhiJSAwODOntt_6hNlCW2Z_E77k-,8e094e0c,12,178817,"{150,15277,32375,45675,66667,80052,90147,104667,120735,139900,154500,165315}",f,2011-05-16 16:57:06.530063+02
549682,_r0N8VOggV1GWff7rQP55yqgkkY-,830e050a,10,269348,"{150,15931,43402,62505,93278,129632,152217,183316,216476,237087}",f,2013-08-17 20:20:17.387859+02
449981,NKukEJtwP5G3SIjd3kWEaEco9OM-,85129e1a,26,357622,"{150,16743,25950,33207,41557,51999,64078,78125,88116,97158,108410,118521,134581,144945,155172,175483,192686,210387,230133,253640,276536,292899,311256,327345,344424,353013}",f,2011-05-16 16:57:06.530063+02
162423,gfKyLvLimcpMV9ctxR1XV27DkCI-,3f114518,24,331785,"{150,15067,30150,41380,51230,62712,75802,92030,106110,120782,134092,149915,166595,180372,194027,208532,221957,234902,247595,261595,275282,289497,303112,316872}",f,2011-05-16 16:57:06.530063+02
356195,0ksnD0SuyGJSv1zVqq0uNXEDRCQ-,67091809,9,174750,"{150,18437,36032,54492,73557,94585,120150,138662,157755}",f,2011-05-16 16:57:06.530063+02
209943,jdEZ.OWbOL1DKaLJ7jvSax_v.BE-,be0ef40f,15,287285,"{150,32137,42614,78796,93013,111809,129767,139822,156869,166745,199557,223581,247841,274533,282173}",f,2011-05-16 16:57:06.530063+02
353477,3Z.EdQ29vA_oqkHgV6XbiqWEWKM-,8708e50b,11,170962,"{150,20775,50097,70030,85252,91195,92685,109985,128365,142980,150552}",f,2011-05-16 16:57:06.530063+02
238779,FAloUtS1JQQXJs9ZlptgcpgFYGg-,b10f260c,12,291050,"{150,10080,28820,44965,79510,97300,127442,144217,161272,196127,213692,257945}",f,2011-05-16 16:57:06.530063+02
362602,3i407zG_EPofoCCTVhw61qdj_nc-,3712a614,20,358201,"{150,19713,42439,55675,71596,85687,105914,129564,148878,173859,193442,209071,221658,233730,239681,248300,267536,289011,320101,345563}",f,2011-05-16 16:57:06.530063+02
110301,wPiqgqugUz9Fk.JVij1FQcTdC2g-,7f08eb0b,11,171387,"{150,20752,50015,69925,85130,91015,92492,109770,128210,142847,150405}",f,2011-05-16 16:57:06.530063+02
451475,5Nt6wUH5waq6j7Vh6Q2yTT.ViwU-,7e08eb0b,11,171435,"{150,20788,50068,69980,85180,91075,92548,109823,128268,142915,150468}",f,2011-05-16 16:57:06.530063+02
