id,label,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
6426,3267,Independant release,,0,2012-09-23 21:00:20.784785+02,2,Independant release,,,,,,,f,f
6568,4143,raum...musik,,0,2012-07-18 02:00:43.883702+02,2,raum...musik,,,,,,,f,f
6533,467,RCA Recordings,,0,2012-06-20 14:09:56.368934+02,,RCA Recordings,,,,,,,f,f
6564,3267,[самиздат],ru,0,2012-07-15 17:00:12.198907+02,,samizdat,,,,,,,f,f
14018,6847,SBME,,0,2013-08-15 23:06:59.700337+02,2,SBME,,,,,,,f,f
669,3267,[none],,0,2012-09-23 20:58:12.617708+02,2,[none],,,,,,,f,f
6854,330,Motown,,0,2012-10-02 05:05:55.876107+02,,Motown,,,,,,,f,f
5806,3267,None,,0,2012-09-23 20:58:52.954231+02,2,None,,,,,,,f,f
6311,3267,Self-release,,0,2012-09-23 20:59:48.183758+02,2,Self-release,,,,,,,f,f
5006,3267,Independent,,0,2012-09-23 21:00:28.825553+02,2,Independent,,,,,,,f,f
1533,3267,independent release,,0,2012-09-23 21:00:37.870773+02,2,independent release,,,,,,,f,f
7526,3267,www.sonicmayhem.com,,0,2013-03-27 18:00:17.800582+01,,www.sonicmayhem.com,,,,,,,f,f
2886,3267,N/A,,0,2012-09-23 21:00:46.976766+02,2,N/A,,,,,,,f,f
3895,3267,Unsigned,,0,2012-09-23 21:01:05.865948+02,2,Unsigned,,,,,,,f,f
4096,3267,white label,,0,2012-09-23 21:01:17.361662+02,2,white label,,,,,,,f,f
5268,3267,auto-release,,0,2012-09-23 21:01:45.046002+02,2,auto-release,,,,,,,f,f
7839,3267,[no label,,0,2013-09-01 15:52:13.006726+02,2,[no label,,,,,,,f,f
6836,3267,[ilma plaadifirmata],et,0,2012-09-23 21:02:22.178445+02,,[ilma plaadifirmata],,,,,,,f,f
6837,3267,[puudub],et,0,2012-09-23 21:02:58.907891+02,,[puudub],,,,,,,f,f
7955,16594,"Antones Records, Inc.",,0,2013-07-21 16:01:46.454578+02,,"Antones Records, Inc.",,,,,,,f,f
15614,1012,Stones Throw,,0,2013-08-19 23:00:40.639127+02,,Stones Throw,,,,,,,f,f
15672,3267,Independiente,,0,2013-09-08 11:38:59.249242+02,2,Independiente,,,,,,,f,f
15671,3267,Autoedición,,0,2013-09-08 11:39:29.70884+02,2,Autoedición,,,,,,,f,f
1153,3267,Auto production,,0,2013-09-08 11:39:19.198797+02,2,Auto production,,,,,,,f,f
6456,3267,Autoeditado,,0,2013-09-08 11:39:56.140799+02,2,Autoeditado,,,,,,,f,f
6688,3267,D.I.Y.,,0,2013-09-08 11:40:03.842918+02,2,D.I.Y.,,,,,,,f,f
7249,3267,INDIPENDANT,,0,2013-09-08 11:40:31.632191+02,2,INDIPENDANT,,,,,,,f,f
7468,3267,No Label,,0,2013-09-08 11:40:33.956508+02,2,No Label,,,,,,,f,f
7608,3267,Not On A Lebel,,0,2013-09-08 11:40:36.862491+02,2,Not On A Lebel,,,,,,,f,f
7029,3267,Self Release,,0,2013-09-08 11:40:39.325484+02,2,Self Release,,,,,,,f,f
84,467,RCA UK,,0,2012-05-15 20:57:13.252186+02,,RCA UK,,,,,,,f,f
96,6847,Sony BMG Music Entertainment (Norway),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Norway),,,,,,,f,f
202,6847,Sony BMG Europe,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Europe,,,,,,,f,f
230,6847,Sony BMG Music Entertainment BV,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment BV,,,,,,,f,f
234,6847,Sony BMG Music Entertainment (Austria),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Austria),,,,,,,f,f
301,3598,BIS Records,,0,2012-05-15 20:57:13.252186+02,,BIS Records,,,,,,,f,f
374,6847,"Sony BMG Music Entertainment (México), S.A. de C.V.",,0,2012-05-15 20:57:13.252186+02,,"Sony BMG Music Entertainment (México), S.A. de C.V.",,,,,,,f,f
389,6847,Sony BMG Music Entertainment (Hong Kong),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Hong Kong),,,,,,,f,f
421,6847,Sony BMG Music Entertainment (Denmark),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Denmark),,,,,,,f,f
433,6847,Sony BMG Music Entertainment (Netherlands),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Netherlands),,,,,,,f,f
467,25,Elektra Records,,0,2012-05-15 20:57:13.252186+02,,Elektra Records,,,,,,,f,f
510,6847,BMG Africa,,0,2012-05-15 20:57:13.252186+02,,BMG Africa,,,,,,,f,f
536,1555,Hed Arzi Music,,0,2012-05-15 20:57:13.252186+02,,Hed Arzi Music,,,,,,,f,f
701,30551,FM Recordings,,0,2012-05-15 20:57:13.252186+02,,FM Recordings,,,,,,,f,f
744,467,RCA BV Holland,,0,2012-05-15 20:57:13.252186+02,,RCA BV Holland,,,,,,,f,f
801,33,Atlantic Recording Corporation,,0,2012-05-15 20:57:13.252186+02,,Atlantic Recording Corporation,,,,,,,f,f
811,6847,Sony BMG Music Entertainment (Australia),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Australia),,,,,,,f,f
839,6847,Sony BMG Music Entertainment (New Zealand),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (New Zealand),,,,,,,f,f
841,6847,Sony BMG Music Entertainment (Africa),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Africa),,,,,,,f,f
862,33,Atlantic Records,,0,2012-05-15 20:57:13.252186+02,,Atlantic Records,,,,,,,f,f
929,6847,Sony International,,0,2012-05-15 20:57:13.252186+02,,Sony International,,,,,,,f,f
937,6847,新力博德曼,,0,2012-05-15 20:57:13.252186+02,,新力博德曼,,,,,,,f,f
949,6847,Sony BMG Music Entertainment (México),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (México),,,,,,,f,f
1126,6847,Sony BMG Music Entertainment (Finland),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Finland),,,,,,,f,f
1135,3284,Columbia / Legacy,,0,2012-05-15 20:57:13.252186+02,,Columbia / Legacy,,,,,,,f,f
1158,6847,Sony BMG Music UK,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music UK,,,,,,,f,f
1345,6847,Sony Music Entertainment GmbH & Co. KG,,0,2012-05-15 20:57:13.252186+02,,Sony Music Entertainment GmbH & Co. KG,,,,,,,f,f
1351,6847,Sony BMG Music Entertainment (China),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (China),,,,,,,f,f
1369,6847,Sony BMG Music Entertainment (Czech Republic) s.r.o,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Czech Republic) s.r.o,,,,,,,f,f
1431,6847,Sony BMG Music Entertainment (Belgium),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Belgium),,,,,,,f,f
1460,4718,Dacapo Records,,0,2012-05-15 20:57:13.252186+02,,Dacapo Records,,,,,,,f,f
1599,3284,Sony Legacy,,0,2012-05-15 20:57:13.252186+02,,Sony Legacy,,,,,,,f,f
1606,3284,CBS Sony Legacy,,0,2012-05-15 20:57:13.252186+02,,CBS Sony Legacy,,,,,,,f,f
1661,467,RCA France,,0,2012-05-15 20:57:13.252186+02,,RCA France,,,,,,,f,f
1679,6847,Sony BMG Music Entertainment (Taiwan),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Taiwan),,,,,,,f,f
1754,6847,Sony BMG Music Entertainment Netherlands B.V.,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment Netherlands B.V.,,,,,,,f,f
1812,6847,Sony BMG Music Entertainment (Germany),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Germany),,,,,,,f,f
1814,3284,Epic / Legacy,,0,2012-05-15 20:57:13.252186+02,,Epic / Legacy,,,,,,,f,f
1940,6847,Sony BMG Entertainment UK,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Entertainment UK,,,,,,,f,f
1968,1555,Hed Arzi,,0,2012-05-15 20:57:13.252186+02,,Hed Arzi,,,,,,,f,f
1999,25,Elektra Entertainment Group,,0,2012-05-15 20:57:13.252186+02,,Elektra Entertainment Group,,,,,,,f,f
2055,6847,Sony BMG Music Entertainment France,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment France,,,,,,,f,f
2154,3598,Grammofon AB BIS,,0,2012-05-15 20:57:13.252186+02,,Grammofon AB BIS,,,,,,,f,f
2170,3267,blank,,0,2013-09-08 11:40:01.132579+02,2,blank,,,,,,,f,f
2302,6847,Sony BMG Music Entertainment (Australia) PTY Limited,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Australia) PTY Limited,,,,,,,f,f
2513,6847,BMG Russia,,0,2012-05-15 20:57:13.252186+02,,BMG Russia,,,,,,,f,f
2514,6847,Sony BMG Music Entertainment (Spain),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Spain),,,,,,,f,f
2522,6847,Sony BMG Music Entertainment (Poland),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Poland),,,,,,,f,f
2569,6847,SONY BMG MUSIC ENTERTAINMENT (TAIWAN) LTD.,,0,2012-05-15 20:57:13.252186+02,,SONY BMG MUSIC ENTERTAINMENT (TAIWAN) LTD.,,,,,,,f,f
2586,6847,Sony BMG Music Entertainment (India),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (India),,,,,,,f,f
2596,6847,Sony Bmg Music Entertainment (uk)Ltd.,,0,2012-05-15 20:57:13.252186+02,,Sony Bmg Music Entertainment (uk)Ltd.,,,,,,,f,f
2615,6847,Sony BMG Music Entertainment (Italy),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Italy),,,,,,,f,f
2616,25,Elektra Entertainment Group Inc.,,0,2012-05-15 20:57:13.252186+02,,Elektra Entertainment Group Inc.,,,,,,,f,f
2662,467,RCA Schallplatten,,0,2012-05-15 20:57:13.252186+02,,RCA Schallplatten,,,,,,,f,f
2700,647,ARIOLA Germany,,0,2012-05-15 20:57:13.252186+02,,ARIOLA Germany,,,,,,,f,f
2724,6847,Sony BMG Music Entertainment Czech Republic,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment Czech Republic,,,,,,,f,f
2753,6847,Sony-BMG Music Entertainment (Philippines),,0,2012-05-15 20:57:13.252186+02,,Sony-BMG Music Entertainment (Philippines),,,,,,,f,f
2863,25,Elektra / Reprise / Rhino,,0,2012-05-15 20:57:13.252186+02,,Elektra / Reprise / Rhino,,,,,,,f,f
2988,6847,Sony BMG Music Entertainment (Brasil),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Brasil),,,,,,,f,f
3098,6847,Sony BMG Music Entertainment (Italy) Spa,,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Italy) Spa,,,,,,,f,f
3109,6847,SonyBMG,,0,2012-05-15 20:57:13.252186+02,,SonyBMG,,,,,,,f,f
3221,6847,Sony BMG Music Entertainment (Indonesia),,0,2012-05-15 20:57:13.252186+02,,Sony BMG Music Entertainment (Indonesia),,,,,,,f,f
