id,medium,cdtoc,edits_pending,last_updated
375,162,70298,0,2011-05-16 16:57:06.530063+02
93137,77259,141061,0,2011-05-16 16:57:06.530063+02
144059,161193,162422,0,2011-05-16 16:57:06.530063+02
144060,161195,162423,0,2011-05-16 16:57:06.530063+02
179835,221484,234720,0,2011-05-16 16:57:06.530063+02
179836,221485,80424,0,2011-05-16 16:57:06.530063+02
202870,260629,193556,0,2011-05-16 16:57:06.530063+02
237779,312224,209556,0,2011-05-16 16:57:06.530063+02
238675,313356,209943,0,2011-05-16 16:57:06.530063+02
247269,327888,368170,0,2011-05-16 16:57:06.530063+02
274657,373542,234720,0,2011-05-16 16:57:06.530063+02
274663,373548,80424,0,2011-05-16 16:57:06.530063+02
278977,380756,238779,0,2011-05-16 16:57:06.530063+02
297748,415670,362599,0,2011-05-16 16:57:06.530063+02
297752,415676,362602,0,2011-05-16 16:57:06.530063+02
337440,483428,179563,0,2011-05-16 16:57:06.530063+02
423532,640088,366314,0,2011-05-16 16:57:06.530063+02
455286,703604,395717,0,2011-05-16 16:57:06.530063+02
511340,820157,449981,0,2011-05-16 16:57:06.530063+02
513156,823517,358284,0,2011-05-16 16:57:06.530063+02
513157,823517,218825,0,2011-05-16 16:57:06.530063+02
513158,823517,451475,0,2011-05-16 16:57:06.530063+02
513159,823517,353477,0,2011-05-16 16:57:06.530063+02
513160,823517,110301,0,2011-05-16 16:57:06.530063+02
513161,823517,23745,0,2011-05-16 16:57:06.530063+02
513163,823526,358284,0,2011-05-16 16:57:06.530063+02
513164,823526,451475,0,2011-05-16 16:57:06.530063+02
513165,823526,23745,0,2011-05-16 16:57:06.530063+02
513166,823526,110301,0,2011-05-16 16:57:06.530063+02
513167,823526,218825,0,2011-05-16 16:57:06.530063+02
513168,823526,353477,0,2011-05-16 16:57:06.530063+02
526021,856274,356995,0,2011-05-16 16:57:06.530063+02
579516,1019020,83389,0,2011-05-16 16:57:06.530063+02
585615,1033432,6834,0,2011-05-16 16:57:06.530063+02
587499,1037917,309707,0,2011-05-16 16:57:06.530063+02
587500,1037917,118820,0,2011-05-16 16:57:06.530063+02
587501,1037917,356195,0,2011-05-16 16:57:06.530063+02
678569,1322427,539566,0,2013-05-01 17:30:58.849982+02
689643,991774,549311,0,2013-08-13 00:54:04.19374+02
689657,1361156,549324,0,2013-08-13 04:07:19.850847+02
690054,1362825,549682,0,2013-08-17 20:20:17.387859+02
