id,release,label,catalog_number,last_updated
64359,162,467,RCA 07863 69390-2,2011-05-16 17:59:00.785958+02
13534,77259,33,2-85474,2011-05-16 17:59:00.785958+02
174614,221484,330,B0000467-02,2011-05-16 17:59:00.785958+02
138066,269763,5959,0607-684763-2,2011-05-16 17:59:00.785958+02
226256,312224,9144,,2011-05-16 17:59:00.785958+02
226956,313356,4718,6.220517,2011-05-16 17:59:00.785958+02
24011,320679,3032,T6-342S1,2011-05-16 17:59:00.785958+02
576419,326695,25,66128-2,2011-05-16 17:59:00.785958+02
62226,327888,241,42047-2,2011-05-16 17:59:00.785958+02
261191,370912,4143,musik025LP,2011-05-16 17:59:00.785958+02
73393,373542,330,0044003865624,2011-05-16 17:59:00.785958+02
140159,380756,23475,529 368-2,2011-05-16 17:59:00.785958+02
714832,1179194,3284,,2012-07-20 05:07:13.575486+02
303970,439759,21289,TIVA007,2011-05-16 17:59:00.785958+02
318854,463786,30551,FM 06,2011-05-16 17:59:00.785958+02
349583,512299,41,45-6562,2011-05-16 17:59:00.785958+02
59415,576610,16826,YDCD-759,2011-05-16 17:59:00.785958+02
59416,576611,16826,YDTM-2668,2011-05-16 17:59:00.785958+02
422424,632380,1555,15402,2011-05-16 17:59:00.785958+02
427131,640088,6403,SM-127,2011-05-16 17:59:00.785958+02
467440,703604,3598,BIS-CD-700,2011-05-16 17:59:00.785958+02
474723,715563,7656,AFR 043,2011-05-16 17:59:00.785958+02
496395,742104,647,74321 11072-2,2011-05-16 17:59:00.785958+02
508148,755916,51648,JRC 06113-2,2011-05-16 17:59:00.785958+02
11445,811003,6725,HERB018,2011-05-16 17:59:00.785958+02
563453,820157,6847,88697165512,2011-05-16 17:59:00.785958+02
180368,823517,330,31453-0021-2,2011-05-16 17:59:00.785958+02
560974,823526,330,314530887-2,2011-05-16 17:59:00.785958+02
288820,415670,1511,535.1006.2,2011-12-03 17:00:11.964688+01
652652,1119049,5512,,2012-02-01 16:16:06.709004+01
736891,1200316,25905,REF029,2012-09-20 10:30:49.895005+02
742794,1206329,3267,[none],2012-10-08 19:49:27.166865+02
127258,483428,2798,660499 1,2012-11-09 22:00:12.528541+01
779308,98008,16279,TMG-ANT 0049,2013-01-19 17:36:04.620859+01
779309,98008,16594,TMG-ANT 0049,2013-01-19 17:36:04.620859+01
831515,1297227,1012,,2013-06-05 18:46:24.529824+02
852884,1318921,330,MOTD-0887,2013-08-13 03:57:52.918731+02
854298,1320388,3031,K617237,2013-08-17 20:20:17.387859+02
