id,gid,recording,medium,position,number,name,artist_credit,length,edits_pending,last_updated
1671424,ac74c836-6e6d-3a32-a529-040b2c00bbf5,1975924,462796,4,4,Han är din älskling nu,632902,234600,0,2011-05-16 18:08:20.288158+02
1671426,ee95af45-9b1d-364d-aea3-9979368e37d4,1975926,462796,6,6,Aldrig äldre än så här,632902,226933,0,2011-05-16 18:08:20.288158+02
1671428,0a2235cc-edc6-31af-8083-96cc18335efb,1975928,462796,8,8,Sanningens café,632902,296306,0,2011-05-16 18:08:20.288158+02
1671430,d5ad05e9-eebe-3b3d-ad26-99e5f19d9124,1975930,462796,10,10,Just vid den här tiden,632902,204226,0,2011-05-16 18:08:20.288158+02
1671434,47f3d96a-d05d-3478-9bd4-efa74fccfd4c,1975934,462796,14,14,När jag ser dig,632902,294600,0,2011-05-16 18:08:20.288158+02
1671436,45e27843-8383-3348-b5cc-6522934a7549,1975936,462796,16,16,Not while I'm around,632902,266173,0,2011-05-16 18:08:20.288158+02
2998195,47f1ab63-d502-34a4-837b-655c926c5e37,3610236,905582,1,1,Where Did We Go Wrong,218850,182986,0,2011-05-16 18:08:20.288158+02
2998201,2c31145d-8f93-3efa-8e6d-5024cb9cd108,3610242,905582,7,7,Beautiful,218850,245533,0,2011-05-16 18:08:20.288158+02
2998203,a52c666d-5224-30d8-8bd0-ec8a5ef555de,3610244,905582,9,9,My Heaven,218850,263026,0,2011-05-16 18:08:20.288158+02
2998204,75b633f6-996f-396a-a415-81247e5c2ec3,3610245,905582,10,10,Bradbury Heights,218850,250507,0,2011-05-16 18:08:20.288158+02
4075996,36e512c6-1fc7-3745-979c-ae4914db1ca5,4981533,971720,10,10,Dance of the Blessed Spirits,37472,380773,0,2011-05-16 18:08:20.288158+02
5821884,eb7f8ab7-a81a-3e54-8c10-ae7998b10ef5,7032614,279680,2,2,Ev.Panic (dDamage remix),346598,197093,0,2011-05-16 18:08:20.288158+02
5821889,7ffe0644-f057-3518-82b2-8693fb7db8a8,7032619,279680,7,7,Ev.Panic (µ-Ziq remix),346598,509346,0,2011-05-16 18:08:20.288158+02
7314637,2817e648-cb83-38e6-8112-dbd0266b31c7,8637613,461588,6,6,明日をぜったい晴れにしよう！,570716,198000,0,2011-05-16 18:08:20.288158+02
7314639,a240a326-13dd-3ba6-9390-cdd4b3965104,8637615,461588,8,8,夏の匂い,570716,228000,0,2011-05-16 18:08:20.288158+02
8014435,a81aba9e-3461-3181-9353-fdc4c4252d92,9391384,543345,1,1,"Depopulation Cooperative, Part 2",620257,159000,0,2011-05-16 18:08:20.288158+02
8014439,20f72549-6fc0-3aea-9046-eedf5d14fd55,9391388,543345,5,5,On/Is,620257,257000,0,2011-05-16 18:08:20.288158+02
13260799,bd075bf1-c89f-3fc4-9b73-f4fffb2721c0,13994830,1223842,1,1,Hush,1587,,0,2012-09-17 14:40:41.08718+02
13260801,05edef75-a5ca-30b2-b98c-5bdbabe1e7f7,13994832,1223842,3,3,Jailbreak,14549,,0,2012-09-17 14:40:41.08718+02
13260807,26822f33-1ea1-3712-9f88-627860f91aa8,13994838,1223842,9,9,Don't Stop,299,,0,2012-09-17 14:40:41.08718+02
13260811,ac2788ce-1463-342c-9e5c-e4ab0560ff55,13994842,1223842,13,13,Dancing With Myself,1051691,,0,2012-09-17 14:40:41.08718+02
13260812,97e9d7e9-c4b5-3acb-96de-1ecebe66b1f8,13994843,1223842,14,14,You Got Nothing I Want,49352,,0,2012-09-17 14:40:41.08718+02
13260814,15a1160c-fd18-3675-be52-3273ba0f2a50,13994845,1223842,16,16,All You Zombies,9973,,0,2012-09-17 14:40:41.08718+02
13260818,a2275a8b-2c72-3d6a-972e-b5acff4a0371,13994849,1223842,20,20,Fire and Ice,2017,,0,2012-09-17 14:40:41.08718+02
13262102,88584ec3-0e6e-3414-aca8-3d8a0f647172,13994852,1223843,3,3,It's Not My Time,1763,,0,2012-09-17 19:07:28.674076+02
13262109,334e1182-c3d5-3294-8a27-1e40e44b92ba,13994859,1223843,10,10,Calling On,23642,,0,2012-09-17 19:07:28.674076+02
13262112,9d988407-8250-381b-af69-18252a6b6296,13994862,1223843,13,13,She Sells Sanctuary,1133,,0,2012-09-17 19:07:28.674076+02
13262115,1c5a547a-b8af-32c6-8afe-80ea2b14c906,13994865,1223843,16,16,Low,1092,,0,2012-09-17 19:07:28.674076+02
13262117,7fed7e85-78bb-3af5-b175-993ccbd2720b,13994867,1223843,18,18,Shine,1091,,0,2012-09-17 19:07:28.674076+02
13277693,4c44e200-7bfd-35e1-ab9f-70dc1a911afc,2858668,921774,3,3,Weitergehen,69475,349533,0,2012-09-20 10:00:09.596283+02
13277694,384d2033-17ed-3bf3-a44e-18a263ee65c4,2858669,921774,4,4,Blindenhund,69475,238106,0,2012-09-20 10:00:09.596283+02
13277696,c688d6df-a51c-36e9-a9a5-b7223c0ce52a,2858671,921774,6,6,Wenn der Tiger lächelt,69475,258000,0,2012-09-20 10:00:09.596283+02
13277698,10ef5b29-14ab-3cb2-851b-766fdb7d402f,2858673,921774,8,8,Wildes Leben,69475,235160,0,2012-09-20 10:00:09.596283+02
13277702,6d4e07d8-793a-3968-88ef-882f4e2771ef,2858677,921774,12,12,Ich brauch Dich nicht,69475,280000,0,2012-09-20 10:00:09.596283+02
14208979,722c424a-4cfd-3073-b86e-1a8086c87d5e,14591256,1288726,3,3,Лодочка,420346,238227,0,2013-02-14 11:40:11.875616+01
14208980,1a80b1f4-14e9-3f05-9f6d-0cb94f1b2393,14591257,1288726,4,4,Сложная песня,420346,268200,0,2013-02-14 11:40:11.875616+01
14208984,7cf1caf4-ea61-375f-85d8-3cd65d443fe2,14591261,1288726,8,8,Лена,420346,202853,0,2013-02-14 11:40:11.875616+01
