master_id,uri,type,height,width,uri150
218544,http://api.discogs.com/image/R-485728-1121672260.jpg,primary,321,372,http://api.discogs.com/image/R-150-485728-1121672260.jpg
218544,http://api.discogs.com/image/R-485728-1121672278.jpg,secondary,439,400,http://api.discogs.com/image/R-150-485728-1121672278.jpg
218544,http://api.discogs.com/image/R-485728-1121672289.jpg,secondary,406,400,http://api.discogs.com/image/R-150-485728-1121672289.jpg
527061,http://api.discogs.com/image/R-414262-1184602567.jpeg,secondary,528,600,http://api.discogs.com/image/R-150-414262-1184602567.jpeg
527061,http://api.discogs.com/image/R-414262-1184602581.jpeg,secondary,500,600,http://api.discogs.com/image/R-150-414262-1184602581.jpeg
527061,http://api.discogs.com/image/R-414262-1184602592.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-414262-1184602592.jpeg
83121,http://api.discogs.com/image/R-195057-1142852983.jpeg,secondary,345,336,http://api.discogs.com/image/R-150-195057-1142852983.jpeg
83121,http://api.discogs.com/image/R-195057-1142853004.jpeg,secondary,336,337,http://api.discogs.com/image/R-150-195057-1142853004.jpeg
83121,http://api.discogs.com/image/R-195057-1142853019.jpeg,secondary,340,336,http://api.discogs.com/image/R-150-195057-1142853019.jpeg
179800,http://api.discogs.com/image/R-695281-1148719865.jpeg,secondary,600,592,http://api.discogs.com/image/R-150-695281-1148719865.jpeg
179800,http://api.discogs.com/image/R-695281-1155748352.jpeg,secondary,434,434,http://api.discogs.com/image/R-150-695281-1155748352.jpeg
151157,http://api.discogs.com/image/R-317610-1145643931.jpeg,primary,350,350,http://api.discogs.com/image/R-150-317610-1145643931.jpeg
151157,http://api.discogs.com/image/R-317610-1103308486.jpg,secondary,300,300,http://api.discogs.com/image/R-150-317610-1103308486.jpg
151157,http://api.discogs.com/image/R-317610-1103308510.jpg,secondary,300,300,http://api.discogs.com/image/R-150-317610-1103308510.jpg
77231,http://api.discogs.com/image/R-1669280-1235765189.jpeg,secondary,590,599,http://api.discogs.com/image/R-150-1669280-1235765189.jpeg
72617,http://api.discogs.com/image/R-48209-1297016213.jpeg,primary,600,600,http://api.discogs.com/image/R-150-48209-1297016213.jpeg
72617,http://api.discogs.com/image/R-48209-1297016223.jpeg,secondary,600,600,http://api.discogs.com/image/R-150-48209-1297016223.jpeg
72617,http://api.discogs.com/image/R-48209-1297016233.jpeg,secondary,465,600,http://api.discogs.com/image/R-150-48209-1297016233.jpeg
