release_id,genre
9552,Electronic
120786,Electronic
129290,Electronic
137790,Electronic
141057,Electronic
171230,Electronic
176915,Electronic
176915,Hip Hop
195057,Electronic
195858,Electronic
197049,Electronic
198562,Electronic
220376,Electronic
221785,Electronic
246789,Electronic
246789,Pop
246789,Rock
251804,Electronic
283148,Electronic
294280,Hip Hop
306390,Electronic
317610,Electronic
320187,Electronic
338434,Electronic
348966,Electronic
353424,Hip Hop
391985,Electronic
414262,Electronic
416393,Electronic
435278,Electronic
438284,Electronic
468517,Rock
476826,Rock
481079,Electronic
525651,Electronic
529327,Electronic
529927,Electronic
547563,Rock
620973,Jazz
646458,Electronic
672085,Electronic
672085,Pop
695499,Electronic
698248,Electronic
729335,Rock
729971,Electronic
731127,Electronic
734566,Electronic
775137,Electronic
776867,Electronic
780393,Electronic
787457,Electronic
804216,Jazz
827356,Electronic
