track_id,id,role,anv,tracks,join_,name
691838,1825,Remix,,,,Joey Negro
691839,161,Remix,,,,Todd Edwards
691840,161,Remix,,,,Todd Edwards
929667,10299,Remix,,,,1.8.7.
961759,158576,Cello [Bass Cello],Miles Om Tackett,,,Miles Tackett
961762,3612,Remix,,,,DJ Wally
961763,9838,Remix,Mixmaster Mike,,,Mix Master Mike
1067150,12206,Remix,,,,Claudio Coccoluto
1067151,91380,Remix,,,,Problem Kid
1067152,91380,Remix,,,,Problem Kid
1083408,7624,Remix,,,,David Morales
1083409,7624,Remix,,,,David Morales
1083410,7624,Remix,,,,David Morales
1083411,7624,Remix,,,,David Morales
1083412,7624,Remix,,,,David Morales
1209148,1030263,Producer,Mark Taylor and Jeff Taylor,,,Mark Taylor
1209149,156665,Remix,,,,Vertigo (7)
1209150,1570,Remix,Felix Da Housekatt,,,Felix Da Housecat
1217719,200785,Bass,,,,Will Lee
1217719,253339,Congas,,,,Sammy Figueroa
1217719,255280,Rhythm Guitar [Chords],,,,Hiram Bullock
1505490,11617,Remix,,,,Chris Cox
1505490,147066,Remix,,,,Ron Hester
1505491,147096,Remix,,,,Stephen L. Freeman
1505492,63590,Remix,,,,Jim Robinson
1505492,39334,Remix,,,,Pete Werner
1505493,147064,Remix,,,,Troy Sands
1505494,132121,Rap [Featuring],,,,Michael Bivins
1505494,105902,Rap [Featuring],,,,Ralph Tresvant
1505494,132122,Rap [Featuring],,,,Ronnie DeVoe
1505494,11617,Remix,,,,Chris Cox
1505494,147066,Remix,,,,Ron Hester
1505495,64003,Remix,,,,J. Mark Andrus
1505496,11617,Remix,,,,Chris Cox
1505496,147066,Remix,,,,Ron Hester
1505497,147065,Remix,,,,Glenn Cattanach
1530819,90037,Rap,Pharrell,,,Pharrell Williams
1530819,21742,Rap [Featuring],,,,Jay-Z
1631212,210166,Rap [Featuring],,,,Sandra Melody
1631213,217823,Rap [Featuring],,,,Pantera Os Danadinhos
1631214,229071,Rap [Featuring],Vybz Cartel,,,Vybz Kartel
1642957,12343,Remix,,,,Booker T
1642958,92422,Remix,,,,Lurky
1642959,18294,Remix,Nu Birth,,,Nu-Birth
1642960,18294,Remix,Nu Birth,,,Nu-Birth
1732689,24804,Remix,,,,New Class A
1803336,92225,Rap [Featuring],,,,Esoteric (2)
1803336,213079,Rap [Featuring],,,,Open Mic
1803339,143799,Rap [Featuring],,,,Louis Logic
1803339,244688,Vocals [Additional],,,,Majik Most
1803340,143799,Rap [Featuring],,,,Louis Logic
1803341,92225,Rap [Featuring],,,,Esoteric (2)
1803341,232669,Rap [Featuring],Jabber Jaw,,,Jabberjaw (2)
1803341,5649,Rap [Featuring],,,,L-Fudge
1803341,143799,Rap [Featuring],,,,Louis Logic
1803341,192789,Rap [Featuring],Metropolis,,,Metro (4)
1803341,96598,Rap [Featuring],,,,Motive (2)
1803341,235050,Rap [Featuring],,,,One Two
1803341,213079,Rap [Featuring],,,,Open Mic
1803341,192632,Rap [Featuring],,,,Rise (2)
1803341,234922,Rap [Featuring],,,,Spin 4th
2026057,245099,Remix,,,,Mac Quayle
2026058,28164,Remix,,,,Ralphi Rosario
2026059,14216,Remix,,,,Karizma
2026060,14216,Remix,,,,Karizma
2026061,245099,Remix,,,,Mac Quayle
2026062,245099,Remix,,,,Mac Quayle
2026063,14216,Remix,,,,Karizma
2026064,14216,Remix,,,,Karizma
2156799,48432,Written-By,,,,Isaac Hayes
2156800,18956,Written-By,,,,Stevie Wonder
2274801,548194,Edited By,,,,Mowgli (4)
2274801,20662,Remix,F. Kevorkian,,,François Kevorkian
2274802,548194,Edited By,,,,Mowgli (4)
2274802,23701,Remix,P. Dakeyne,,,Dakeyne
2468301,11879,Written-By,,,,Lou Reed
2468302,845581,Written-By,Jagger/Richards,,,Jagger-Richards
2822631,6952,Featuring,,,,Tom Morello
2822633,2323,Remix,,,,DJ Hype
3509093,499327,"Written-By, Producer",,,,Jani Niiranen
3509094,1237340,"Written-By, Producer",,,,Nihal De Silva
3991731,556115,Remix,,,,Max Fortuna
3991732,556114,Remix,,,,Flavio Racca
3991732,556116,Remix,,,,Marco Perani
3991733,556117,Remix,,,,Mad Max (7)
4267271,5743,Remix,,,,World Of Apples
4267272,56680,Vocals,,,,Eddi Reader
4447288,449216,Written-By,,,,Bob Russell
4447288,145257,Written-By,,,,Duke Ellington
