id,artist,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
125490,1,مختلف الفنانين,ar,0,2012-10-07 13:37:46.730041+02,,مختلف الفنانين,,,,,,,t,f
9781,1,AA.VV.,it,0,2013-06-19 01:00:54.006197+02,,AA.VV.,,,,,,,f,f
125491,1,여러 아티스트,ko,0,2012-10-07 13:47:21.451901+02,,여러 아티스트,,,,,,,t,f
125601,1,Artistes divers,fr,0,2013-06-19 01:00:54.006197+02,,Artistes divers,,,,,,,f,f
111832,1,Variés,fr,0,2013-06-19 01:00:54.006197+02,,Variés,,,,,,,f,f
10049,1,Div. artister,no,0,2013-09-18 22:03:10.347486+02,,Div. artister,,,,,,,f,f
51855,1,さまざまなアーティスト,ja,0,2013-09-18 22:03:10.347486+02,,さまざまなアーティスト,,,,,,,f,f
128429,73502,ゲオルク・フリードリヒ・ヘンデル,ja_JP,0,2013-01-17 14:00:16.219903+01,1,ゲオルク・フリードリヒ・ヘンデル,,,,,,,t,f
125693,1,razlichnye ispolniteli,ru,0,2013-09-18 22:03:10.347486+02,,razlichnye ispolniteli,,,,,,,f,f
19493,1,Div. kunstnere,da,0,2013-09-18 22:03:10.347486+02,,Div. kunstnere,,,,,,,f,f
125492,1,различных исполнителей,ru,0,2012-10-16 12:02:05.830815+02,,различных исполнителей,,,,,,,t,f
9168,1,[Various Artists],en,0,2013-09-18 22:03:10.347486+02,,[Various Artists],,,,,,,f,f
1815,1,Mixed Artists,en,0,2013-09-18 22:03:10.347486+02,,Mixed Artists,,,,,,,f,f
23873,1,More artists,en,0,2013-09-18 22:03:10.347486+02,,More artists,,,,,,,f,f
10810,1,Varios artists,,0,2012-10-07 14:07:39.659874+02,3,Varios artists,,,,,,,f,f
11522,1,Vários,pt,0,2013-09-18 22:03:10.347486+02,,Vários,,,,,,,f,f
125497,1,หลากหลายศิลปิน,th,0,2012-10-16 11:40:46.14501+02,,หลากหลายศิลปิน,,,,,,,t,f
125498,1,Nhiều nghệ sĩ,vi,0,2012-10-07 14:29:02.516737+02,,Nhiều nghệ sĩ,,,,,,,t,f
116301,122653,Pjotr Tšaikovski,et,0,2013-07-30 00:24:11.873373+02,1,"Tšaikovski, Pjotr",,,,,,,t,f
81719,122653,ピョートル・チャイコフスキー,ja,0,2013-07-30 18:26:40.555397+02,1,ピョートル・チャイコフスキー,,,,,,,t,f
127329,1,Various Artists,en,0,2012-12-05 14:52:55.190943+01,,Various Artists,,,,,,,t,f
134179,1,Stockfisch,,0,2013-05-25 22:00:24.210609+02,,VA,,,,,,,f,f
128326,1,Dominicanos Varios,,0,2013-01-02 01:29:41.841346+01,,Dominicanos Varios,,,,,,,f,f
9609,1,Diverse Artiesten,nl,0,2012-06-12 12:12:49.001008+02,,Diverse Artiesten,,,,,,,t,f
119169,2327,Johann Sebastian Bach,en,0,2012-06-19 02:59:36.46795+02,1,"Bach, Johann Sebastian",,,,,,,t,f
120136,1,Διάφοροι Καλλιτέχνες,el,0,2012-10-16 12:01:57.468501+02,,Διάφοροι Καλλιτέχνες,,,,,,,f,f
56450,122653,Pjotr Tsjajkovskij,no,0,2013-07-30 18:45:13.391353+02,1,"Tsjajkovskij, Pjotr",,,,,,,t,f
10646,1,Diverse Artister,no,0,2012-06-12 12:12:49.001008+02,,Diverse Artister,,,,,,,t,f
17015,122653,표트르 일리치 차이콥스키,ko,0,2013-07-30 18:27:33.674296+02,1,"차이콥스키, 표트르 일리치",,,,,,,t,f
16251,122653,Piotr Ilitch Tchaïkovski,fr,0,2012-06-19 16:05:37.188594+02,1,"Tchaïkovski, Piotr Ilitch",,,,,,,t,f
110840,122653,Pjotr Iljitsj Tsjaíkovskíj,is,0,2013-02-28 05:38:08.336887+01,1,"Tsjaíkovskíj, Pjotr Iljitsj",,,,,,,t,f
72287,2327,Иоганн Себастьян Бах,ru,0,2013-03-31 19:49:06.679307+02,1,"Бах, Иоганн Себастьян",,,,,,,t,f
119171,2327,Johann Sebastian Bach,de,0,2012-06-19 02:59:04.9448+02,1,"Bach, Johann Sebastian",,,,,,,t,f
2615,122653,Peter Ilyich Tchaikovsky,en,0,2013-09-02 04:00:12.263841+02,1,"Tchaikovsky, Peter Ilyich",,,,,,,f,f
119173,2327,يوهان سباستيان باخ,ar,0,2012-06-12 12:12:49.001008+02,,يوهان سباستيان باخ,,,,,,,t,f
18906,1,Verschiedene,de,0,2013-09-18 22:03:10.347486+02,,Verschiedene,,,,,,,f,f
2475,1,Artisti Vari,it,0,2013-06-19 01:00:54.006197+02,,Artisti Vari,,,,,,,f,f
114024,1,Diverse Interpreten,de,0,2012-06-23 14:14:02.746723+02,,Diverse Interpreten,,,,,,,t,f
10647,1,Diverse,de,0,2013-09-18 22:03:10.347486+02,,Diverse,,,,,,,f,f
10416,1,Multiple Artists,en,0,2013-09-18 22:03:10.347486+02,,Multiple Artists,,,,,,,f,f
11589,1,Danske Kunstnere,da,0,2013-09-18 22:03:10.347486+02,,Danske Kunstnere,,,,,,,f,f
68011,1,Diverse danske artister,da,0,2013-09-18 22:03:10.347486+02,,Diverse danske artister,,,,,,,f,f
33159,1,Diverse kunstnere,da,0,2012-06-30 10:42:10.141284+02,,Diverse kunstnere,,,,,,,t,f
10508,1,Various Artsits,,0,2012-06-30 10:45:46.035365+02,3,Various Artsits,,,,,,,f,f
121154,1,[различные исполнители],ru,0,2013-09-18 22:03:10.347486+02,,различные исполнители,,,,,,,f,f
9214,1,Various Big Bands,en,0,2013-09-18 22:03:10.347486+02,,Various Big Bands,,,,,,,f,f
