authid,name
14,"Prakash,N.,"
18,Shi Bing Yao
60,"Lenzerini,M."
70,"Pelagatti,G."
86,Gardarin.G.
165,P. Eiin-Dor
170,"{Larson,J.}"
347,INTREX Staff
358,Izdatel'stvo Naukova Dumka
359,Japan Information Processing Development Ctr
371,F. et al Andre
493,A. F. Cardenas
501,T. Rettig
511,"Chan,A.,"
527,"Chen,P. P.(ed)"
598,"Hsiao,D.K."
611,Basil Doudnikoff
682,S. H. Fuller
709,"Satyanatayanan,M."
761,"Villanelli,F."
780,"Neitzel,B.J.,"
919,"Carey,M.J."
983,A. AlZobaidie
1019,D. F. Schreiber
1083,M. P. Atkinson
1133,Jean-Loup Baer
1135,P-A. Larson
1141,"Balaban,D.J.,"
1156,"Banerjee,J.,"
1159,"Chou,H-T.,"
1165,J. F. Garza
1231,R. H. Guting
1283,A. Shoshani
1285,"Siegel,E.R."
1305,N. B. Troullinos
1369,G. O. Blandy
1397,"DeMichiel,L.G.,"
1404,M. Bohl
1424,D. J. Dewitt
1441,H. Noble
1482,"Demolombe,R.,"
1588,H. H. Amer
1610,C. Harris
1657,J. Ramanathan
1695,"Fontana,E.,"
1699,A. D'Atri
1730,"Balzer,R.,"
1764,F. Barbic
1784,"Mukherjee,A."
1817,"Gala,S.K."
