authorid,name
36,G. Rozenberg
67,J. V. Tucker
72,Adi Shamir
103,D. L. Neuhoff
129,William G. Golson
197,Giuseppe Longo
233,E. G. Manning
247,John Grant
256,N. Immerman
262,Foto Afrati
349,Miroslaw Kuty{\l}owski
370,Joost Engelfriet
381,Jennifer Lundelius Welch
396,Gabriel Bracha
417,Donald Sannella
420,B. Lampson
432,H. Edelsbrunner
501,Emmanuel Kounalis
509,G. Mauri
511,Margaret Montenyohl
512,Andr{\'e} Arnold
685,Andre Scedrov
690,Solomon Passay
732,Jyh-Han Lin
736,Sang Cho
751,D. L. Dill
767,Yves Sorel
849,Eric Sven Ristad
939,Christos Levcopoulos
944,Benjamin C. Pierce
945,Catherine Delor
950,Zohar Manna
985,M. K. Warmuth
995,Raymond T. Ng
1050,Mohamed Tajine
1107,Zhi-Zhong Chen
1122,Ronald V. Book
1133,Jean Neraud
1158,Leonard M. Adleman
1225,G{\'e}rard C{\'e}c{\'e}
1226,S. Purushothaman Iyer
1241,Martin Middendorf
1267,Shiva Chaudhuri
1357,Matt Fairtlough
1408,J{\o}rgen S{\o}gaard-Andersen
1498,Doron Peled
1500,Pawe{\l Urzyczyn
1507,Roberto Sebastiani
1532,Margus Veanes
1543,Marek Chrobak
