articleid,authorid
ReedR82,47
LehmannS82,52
Case83,112
StolboushkinT83,126
MehlhornP83,149
BarendregtR83,157
FengT84,186
SistlaCFNM84,220
KleijnPRS84,224
GrantM85,247
GrumbergFR85,265
GrumbergFR85,267
AtallahH86,307
MohanS86,334
MansourZ87,399
BarendregtKKS87,401
Stanfel88,423
AndreD89,512
Turner89,524
Fulk90,564
McCollPB91,637
Wanke91,703
MaheshPS91,719
Condon92,733
KfouryTU93,794
BuntrockHS93,796
BurnsL93,878
TrahanRL94,911
DiekertOR94,919
SheinwaldLZ95,999
DiekertGP95,1001
Shawe-Taylor95,1046
MalerP95,1078
WeberK95,1079
DawarLW95,1102
HromkovicKSW95,1200
SkodinisW1997,1344
VenkatesanRMMR1997,1355
CzumajHS1997,1361
CzumajHS1997,1362
AumannBZ1997,1375
BodlaenderLTT1997,1380
CenzerR1998,1388
Bar-NoyBHST1998,1397
AslamD1998,1405
