abv,beer_name,brew_factory_name,style
8.0,great lakes nosferatu,great lakes brewing 40 ohio 41,american strong ale
6.0,4 hands reprise centennial red ale,4 hands brewing company,amber ale
6.5,10 barrel backdraft ipa,10 barrel brewing 40 ab inbev 41,india pale ale 40 ipa 41
,gore range fly fisher red ale,gore range brewery,amber ale
5.5,naked dove nice naughty christmas ale,naked dove brewing,stout
5.8,10 barrel amber waves of grain,10 barrel brewing 40 ab inbev 41,amber ale
4.7,barley station bushwacker brown,barley station brewpub 40 shuswap lake brewing co 41,brown ale
5.5,blackfoot river mackenzie river driftboat amber,blackfoot river brewing,amber ale
8.0,brewerie apparition amber ale,the brewerie at union station,amber ale
5.2,battlefield brew works red circle ale,battlefield brew works,irish ale
5.0,3 sheeps rebel kent the first red wine barrel,3 sheeps brewing company,belgian ale
5.0,esbjerg mikrobryg amber ale,lgod bryghus,amber ale
4.8,red duck amber ale,purrumbete brewing,amber ale
5.2,big rig rideau red,big rig brewery,amber ale
5.7,quimera amber ale,casa cervecera quinta normal,amber ale
5.5,peoples aberrant amber,peoples brewing company,amber ale
5.3,northwest chinook copper ale,northwest brewing company,amber ale
5.3,11 below oso bueno amber ale,11 below brewing company,amber ale
5.5,mt shasta abner weed amber ale,mt shasta brewing company,amber ale
6.9,burley oak assawoman amber,burley oak brewing company,amber ale
5.0,catawba valley indian head red,catawba valley brewing company,amber ale
6.1,grayton beer 1890 founders ale,grayton beer,amber ale
8.5,fulton the libertine imperial red ale heaven hill rye whiskey barrel aged,fulton beer company,american strong ale
6.0,sherwood mistress jades hemp ale,sherwood brewing company,american pale ale
5.5,cumberland red tape pale ale,cumberland brewing 40 bc 41,american pale ale
5.7,birrificio citabiunda cinnamon girl,birrificio citabiunda,premium bitter esb
5.1,blue elephant red devil,blue elephant craft brew house,amber ale
5.9,fairhope i drink therefore i amber,fairhope brewing company,amber ale
5.3,revolution battle of wils,revolution brewing company,amber ale
5.1,mactarnahans amber ale 40 macs ale 41,portland brewing company 40 pyramid north american breweries 41,amber ale
7.5,beryls firecatcher,beryls beer company,foreign stout
,back street rita red ale,back street brewery,amber ale
8.0,exile chill clinton double hemp amber ale,exile brewing company,spice herb vegetable
6.5,backwoods big cedar ira,backwoods brewing company,amber ale
4.7,durham red dragon,county durham brewing,amber ale
5.3,palmetto amber ale,palmetto brewing company,amber ale
6.3,constantine red rooster irish ale,constantine brewing company,irish ale
5.2,sawdust city red rocket coffee spiced stout,sawdust city brewing company,spice herb vegetable
5.0,big bear mountain red ant hill red ale,big bear mountain brewery,amber ale
5.4,veterans united scout dog 44,veterans united craft brewery,amber ale
5.5,black lotus red tao,black lotus brewing company,amber lager vienna
5.8,out of bounds rusted butte red ale,out of bounds brewing company,amber ale
6.0,persimmon hollow paddle wheeler red ale,persimmon hollow brewing company,amber ale
5.3,chye sierra amber ale,zamecky pivovar chye,amber ale
6.0,rock art stowe mountain lodge hourglass ale,rock art brewery,amber ale
6.5,motorworks roll cage red ale,motorworks brewing,irish ale
,back yard rainmaker ale,back yard brewing company,smoked
5.3,abbeydale absolution,abbeydale,golden ale blond ale
5.0,argilla amber ale,argilla brewing company,amber ale
4.0,bays topsail,bays,bitter
7.1,cannonball creek victorville red,cannonball creek brewing company,amber ale
,rj king wingwalker winter brew 40 2007 41,city brewery 40 melanie brewing co 41,amber ale
6.8,breakside mocha salted caramel stout,breakside brewery,sweet stout
5.8,legends bistro plucky rooster ale,legends bistro,specialty grain
5.5,23 brewing company 1 pale ale 40 1 28129 33394 33406 29246 41,23 brewing company,american pale ale
5.0,legends of the bay giants tomb,hockley valley brewing malting company,amber ale
7.0,half acre ginger twin india red ale,half acre beer company,india pale ale 40 ipa 41
8.6,oakshire ride your bike double red ale,oakshire brewing,amber ale
7.2,begyle pancake junkie,begyle brewing company,amber ale
7.0,naked city screening room red,naked city brewing,india pale ale 40 ipa 41
6.5,block 15 ridgeback red,block 15 brewery,amber ale
5.1,du lac saintjean boutefeu,microbrasserie du lac saintjean,amber ale
5.1,generations pretzel city amber,generations brewing company,amber ale
9.0,marble imperial red ale,marble brewery,american strong ale
7.7,wynwood fox imperial red ale,wynwood brewing company,american strong ale
,8th wonder coffee mocha feight,8th wonder brewery,amber ale
5.4,old rail rusted rail ale,old rail brewing company,amber ale
,black rock anthracite ale,black rock brewing company,american pale ale
5.0,paradox red ale,paradox brewery,amber ale
3.2,brewers art scarlet fever,the brewers art,sour wild ale
,bricktown 46 star oklahoma amber ale,bricktown brewery,amber ale
5.0,franklins rubber chicken red ale,brewery general store,amber ale
6.3,falling sky retrograde red,falling sky brewing,amber ale
5.5,18th street barrel aged cock fight,18th street brewery,belgian ale
8.5,anderson valley pinchy jeek barl,anderson valley brewing company,spice herb vegetable
10.8,ladyface reyes adobe imperial red,ladyface ale companie,american strong ale
6.1,town hall festivus 2014,minneapolis town hall brewery,irish ale
5.2,colorado mountain ole 59er amber ale,colorado mountain brewery,amber ale
,echo indian red ale,echo brewing company,irish ale
6.0,mother earth righteously hopped red ipa,mother earth brew company,india pale ale 40 ipa 41
4.9,bike dog lost and found,bike dog brewing company,black ipa
5.8,big bear grizzly red ale,big bear brewing company,amber ale
8.1,middleton bobcat imperial red,middleton brewing,american strong ale
6.0,city star red necktar,city star brewing,amber ale
5.8,brass cannon muzzle flash amber ale,brass cannon brewing,amber ale
6.0,five points hook island red,five points brewing company,amber ale
8.0,beaus haters gon na hate,beaus all natural brewing co,k  lsch
5.6,american sky bomber series 3 red tail oktoberfest,hudson brewing company,oktoberfest m   rzen
5.0,ocho reales ale,sierra madre brewing co mexico,brown ale
5.5,american sky amber salute,hudson brewing company,amber ale
7.8,lagunitas imperial red ale,lagunitas brewing company 40 heineken 41,american strong ale
5.6,blue moon spiced amber ale,coors brewing company 40 millercoors 41,spice herb vegetable
6.2,burnside too sticky to roll,burnside brewing company 40 or 41,india pale ale 40 ipa 41
5.0,angry chair let my peaches be,angry chair brewing,sour wild ale
7.2,river city 40 ca 41 woodenhead ale,river city 40 ca 41 brewing,amber ale
5.1,uncle billys hill country organic amber,uncle billys brew que smokehouse brewery,amber ale
6.1,chama river sunset red,chama river brewing company,amber ale
6.6,three heads loopy oatmeal red ale,custom brewcrafters,amber ale
4.2,anacortes especial red ale,rockfish grill anacortes brewery,amber ale
,liberty high point rockets red ale,liberty brewery grill high point,irish ale
12.0,blue dog red collar mead,blue dog mead company,mead
5.0,crooked can captain mcswaggers,crooked can brewing company,stout
5.0,dragonmead crooked door amber ale,dragonmead brewery,amber ale
5.8,lilys reggies french river red ale,lilys seafood restaurant brewery,amber ale
5.1,avery red table common,avery brewing company,california common
,bristol skull bones flanders red,bristol brewing company,sour red brown
5.7,barley forge el paisano,barley forge brewing company,amber ale
5.2,alpine dog hogback amber ale,alpine dog brewery,amber ale
5.5,gold camp georgias agave amber ale,gold camp brewing company,amber ale
5.5,area 51 planet red ale,area 51 craft brewery,german hefeweizen
5.5,columbus kashmir,columbus brewing company,amber ale
,bull city reel amber,bull city burger and brewery,amber ale
6.2,solvang dansk amber ale,solvang brewing company,amber ale
6.8,peak organic espresso amber ale,shipyard brewing company,amber ale
3.8,adirondack bobcat blonde lager,adirondack pub and brewery,golden ale blond ale
5.0,san luis valley alamosa amber,san luis valley brewing company,amber ale
5.1,roundabout rusted route amber ale,roundabout brewery,amber ale
7.0,iron hill big rye wibby,iron hill lancaster,american strong ale
5.0,4 hands vigilante,4 hands brewing company,amber lager vienna
8.0,boxing cat dragons fire doppelbock,boxing cat brewery,doppelbock
5.0,hamburg house dressing,hamburg brewing company,amber ale
7.0,green man blood of my enemies,green man brewery,amber ale
3.6,allendale evening chronicle christmas beer,allendale,bitter
4.5,14th star maple session brown ale,14th star brewing company,brown ale
11.0,laguna beach grateful red imperial red ale,laguna beach brewing,american strong ale
5.5,kettle house lake missoula amber,kettle house brewing company,amber ale
,5 seasons north ossabaw island ale,5 seasons north,belgian strong ale
6.8,yeastie boys hudawa strong,invercargill brewery,scottish ale
5.5,haymarket jananna dance red headed ale,haymarket pub brewery,amber ale
6.0,independence brewing rood,independence brewing co,india pale ale 40 ipa 41
