author_1,author_2,author_3,author_4,title,venue,year
gottfried vossen,mathias weske,,,the wasa2 objectoriented workflow management system,international conference on management of data,1999.0
isabel f cruz,kimberly m james,,,a usercentered interface for querying distributed multimedia databases,international conference on management of data,1999.0
athman bouguettaya,boualem benatallah,lily hendra,james beard,world wide databaseintegrating the we corba and databases,international conference on management of data,1999.0
chaitan baru,amarnath gupta,bertram lud228scher,richard marciano,xmlbased information mediation with mix,international conference on management of data,1999.0
alexander brodsky,victor e segal,jia chen,paval a exarkhopoulo,the ccube constraint objectoriented database system,international conference on management of data,1999.0
phillippe bonnet,kyle buza,zhiyuan chan,victor cheng,the cornell jaguar project adding mobility to predator,international conference on management of data,1999.0
nick roussopoulos,yannis kotidis,yannis sismanis,,the active multisync controller of the cubetree storage organization,international conference on management of data,1999.0
michael b246hlen,linas bukauskas,curtis dyreson,,the jungle database search engine,international conference on management of data,1999.0
n r jennings,t j norman,p faratin,,adept an agentbased approach to business process management,acm sigmod record,1998.0
benny reich,israel benshaul,,,a componentized architecture for dynamic electronic markets,acm sigmod record,1998.0
susanne boll,wolfgang klas,bernard battaglin,,design and implementation of rmp a virtual electronic market place,acm sigmod record,1998.0
alex g b252chner,maurice d mulvenna,,,discovering internet marketing intelligence through online analytical web usage mining,acm sigmod record,1998.0
martin bichler,arie segev,j leon zhao,,componentbased ecommerce assessment of current practices and future directions,acm sigmod record,1998.0
sherif danish,,,,building databasedriven electronic catalogs,acm sigmod record,1998.0
bart meltzer,robert glushko,,,xml and electronic commerce enabling the network economy,acm sigmod record,1998.0
asuman dogac,ilker durusoy,sena arpinar,nesime tatbul,a workflowbased electronic marketplace on the web,acm sigmod record,1998.0
mehmet altinel,demet aksoy,thomas baby,michael franklin,dbistoolkit adaptable middleware for large scale data delivery,international conference on management of data,1999.0
ling liu,wei han,david buttler,calton pu,an xjmlbased wrapper generator for web information extraction,international conference on management of data,1999.0
reinhard braumandl,alfons kemper,donald kossmann,,database patchwork on the internet,international conference on management of data,1999.0
ouri wolfson,prasad sistla,bo xu,jutai zhou,domino databases for moving objects tracking,international conference on management of data,1999.0
lyman do,prabhu ram,pamela drew,,the need for distributed asynchronous transactions,international conference on management of data,1999.0
thomas bergstraesser,philip a bernstein,shankar pal,david shutt,versions and workspaces in microsoft repository,international conference on management of data,1999.0
stefano m trisolini,maurizio lenzerini,daniele nardi,,data integration and warehousing in telecom italia,international conference on management of data,1999.0
matthias jarke,christoph quix,guido blees,dirk lehmann,improving oltp data quality using data warehouse mechanisms,international conference on management of data,1999.0
e a rundensteiner,k claypool,m li,l chen,serf odmgbased generic restructuring facility,international conference on management of data,1999.0
wensyan li,quoc vu,edward chang,divyakant agrawal,powerbookmarks a system for personalizable web information organizatio sharin and management,international conference on management of data,1999.0
swarup acharya,phillip b gibbons,viswanath poosala,sridhar ramaswamy,the aqua approximate query answering system,international conference on management of data,1999.0
tong zhou,ling liu,calton pu,,tam a system for dynamic transactional activity management,international conference on management of data,1999.0
raymond ng,laks v s lakshmanan,jiawei han,teresa mah,exploratory mining via constrained frequent set queries,international conference on management of data,1999.0
e a rundensteiner,a koeller,x zhang,a j lee,evolvable view environment eve nonequivalent view maintenance under schema changes,international conference on management of data,1999.0
roger barga,david b lomet,,,phoenix making applications robust,international conference on management of data,1999.0
brad adelberg,matthew denny,,,nodose version 20,international conference on management of data,1999.0
vishu krishnamurthy,sandeepan banerjee,anil nori,,bringing objectrelational technology to the mainstream,international conference on management of data,1999.0
paul brown,,,,implementing the spirit of sql99,international conference on management of data,1999.0
dan suciu,,,,managing web data,international conference on management of data,1999.0
m carey,d chamberlin,d doole,s rielau,o whats happening to db2,international conference on management of data,1999.0
soumen chakrabarti,,,,hypertext databases and data mining,international conference on management of data,1999.0
alexander hinneburg,daniel a keim,,,clustering methods for large databases from the past to the future,international conference on management of data,1999.0
dirk d252llmann,,,,petabyte databases,international conference on management of data,1999.0
c mohan,,,,a database perspective on lotus dominonotes,international conference on management of data,1999.0
bassel ojjeh,,,,microsoft site server commerce ed talkslides available at the conference,international conference on management of data,1999.0
anand rajaraman,,,,ecommerce database issues and experience talkslides available at at the conference,international conference on management of data,1999.0
brad hammond,,,,merge replication in microsofts sql server 70,international conference on management of data,1999.0
corporate timesten team,,,,inmemory data management for consumer transactions the timesten approach,international conference on management of data,1999.0
walt kohler,,,,emc information sharing direct access to mvs data from unix and nt,international conference on management of data,1999.0
rick greer,,,,daytona and the foruthgeneration language cymbal,international conference on management of data,1999.0
j baulier,p bohannon,s gogate,c gupta,datablitz storage manager mainmemory database performance for critical applications,international conference on management of data,1999.0
k v ravi kanth,siva ravada,jayant sharma,jay banerjee,indexing mediumdimensionality data in oracle,international conference on management of data,1999.0
alin deutsch,mary fernandez,dan suciu,,storing semistructured data with stored,international conference on management of data,1999.0
daniel a keim,,,,efficient geometrybased similarity search of 3d spatial databases,international conference on management of data,1999.0
charu c aggarwal,joel l wolf,philip s yu,,a new method for similarity indexing of market basket data,international conference on management of data,1999.0
apostol natsev,rajeev rastogi,kyuseok shim,,walrus a similarity retrieval algorithm for image databases,international conference on management of data,1999.0
wilburt juan labio,ramana yerneni,hector garciamolina,,shrinking the warehouse update window,international conference on management of data,1999.0
yannis kotidis,nick roussopoulos,,,dynamat a dynamic view management system for data warehouses,international conference on management of data,1999.0
kevin beyer,raghu ramakrishnan,,,bottomup computation of sparse and iceberg cube,international conference on management of data,1999.0
tobias mayr,praveen seshadri,,,clientsite query extensions,international conference on management of data,1999.0
m tamer 214zsu,,,,data management issues in electronic commerce,international conference on management of data,1999.0
minos n garofalakis,sridhar ramaswamy,rajeev rastogi,kyuseok shim,of crawler portal mic and men is there more to mining the web,international conference on management of data,1999.0
praveen seshadri,,,,hone i shrunk the database footprin mobilit and beyond,international conference on management of data,1999.0
hasan davulcu,juliana freire,michael kifer,i v ramakrishnan,a layered architecture for querying dynamic web content,international conference on management of data,1999.0
jamie callan,margaret connell,aiqun du,,automatic discovery of language models for text databases,international conference on management of data,1999.0
d w embley,y jiang,yk ng,,recordboundary discovery in web documents,international conference on management of data,1999.0
yannis papakonstantinou,vasilis vassalos,,,query rewriting for semistructured data,international conference on management of data,1999.0
ramana yerneni,chen li,hector garciamolina,jeffrey ullman,computing capabilities of mediators,international conference on management of data,1999.0
david b lomet,,,,high speed online backup when using logical log operations,international conference on management of data,2000.0
wilburt juan labio,janet l wiener,hector garciamolina,vlad gorelik,efficient resumption of interrupted warehouse loads,international conference on management of data,2000.0
mohana k lakhamraju,rajeev rastogi,s seshadri,s sudarshan,online reorganization in object databases,international conference on management of data,2000.0
charu c aggarwal,philip s yu,,,finding generalized projected clusters in high dimensional spaces,international conference on management of data,2000.0
christopher r palmer,christos faloutsos,,,density biased sampling an improved method for data mining and clustering,international conference on management of data,2000.0
markus m breunig,hanspeter kriegel,raymond t ng,j246rg sander,lof identifying densitybased local outliers,international conference on management of data,2000.0
markos zaharioudakis,roberta cochrane,george lapis,hamid pirahesh,answering complex sql queries using automatic summary tables,international conference on management of data,2000.0
junghoo cho,hector garciamolina,,,synchronizing a database to improve freshness,international conference on management of data,2000.0
kenneth salem,kevin beyer,bruce lindsay,roberta cochrane,how to roll a join asynchronous incremental view maintenance,international conference on management of data,2000.0
vassilis christophides,sophie cluet,j233r466me sim232on,,on wrapping query languages and efficient xml integration,international conference on management of data,2000.0
hartmut liefke,dan suciu,,,xmill an efficient compressor for xml data,international conference on management of data,2000.0
minos garofalakis,aristides gionis,rajeev rastogi,s seshadri,xtract a system for extracting document type descriptors from xml documents,international conference on management of data,2000.0
christos faloutsos,bernhard seeger,agma traina,caetano traina,spatial join selectivity using power laws,international conference on management of data,2000.0
manuel rodr237guezmart237nez,nick roussopoulos,,,mocha a selfextensible database middleware system for distributed data sources,international conference on management of data,2000.0
antonio corral,yannis manolopoulos,yannis theodoridis,michael vassilakopoulos,closest pair queries in spatial databases,international conference on management of data,2000.0
flip korn,s muthukrishnan,,,influence sets based on reverse nearest neighbor queries,international conference on management of data,2000.0
krishnamurty muralidhar,rathindra sarathy,,,security of random data perturbation methods,acm transactions on database systems tods,1999.0
debabrata dey,veda c storey,terence m barron,,improving database design through the analysis of relationships,acm transactions on database systems tods,1999.0
tak w yan,hector garciamolina,,,the sift information dissemination system,acm transactions on database systems tods,1999.0
yair wand,veda c storey,ron weber,,an ontological analysis of the relationship construct in conceptual modeling,acm transactions on database systems tods,1999.0
andrew frank,stephane grumbach,ralf hartmut g252ting,christian s jensen,chorochronos a research network for spatiotemporal database systems,acm sigmod record,1999.0
s conrad,w hasselbring,u hohenstein,rd kutsche,engineering federated information systems report of eefis 99 workshop,acm sigmod record,1999.0
arnon rosenthal,edward sciore,,,firstclass views a key to usercentered computing,acm sigmod record,1999.0
jihad boulos,kinji ono,,,cost estimation of userdefined methods in objectrelational database systems,acm sigmod record,1999.0
prabhu ram,lyman do,pamela drew,,distributed transactions in practice,acm sigmod record,1999.0
stanley m t yau,hong va leong,dennis mcleod,antonio si,on mutliresolution document transmission in mobile web,acm sigmod record,1999.0
ruxandra domenig,klaus r dittrich,,,an overview and classification of mediated query systems,acm sigmod record,1999.0
mark papiani,jasmin l wason,alistair n dunlop,denis a nicole,a distributed scientific data archive using the we xml and sqlmed,acm sigmod record,1999.0
jiawei han,jian pei,yiwen yin,,mining frequent patterns without candidate generation,international conference on management of data,2000.0
le gruenwald,leonard brown,ravi dirckze,sylvain guinepain,database research at the university of oklahoma,acm sigmod record,1999.0
pradeep shenoy,jayant r haritsa,s sundarshan,gaurav bhalotia,turbocharging vertical mining of large databases,international conference on management of data,2000.0
erik riedel,christos faloutsos,gregory r ganger,david f nagle,data mining on an oltp system nearly for free,international conference on management of data,2000.0
joseph kuan,paul lewis,,,a study on data point search for hgtrees,acm sigmod record,1999.0
mark roantree,john murphy,wilhelm hasselbring,,the oasis multidatabase prototype,acm sigmod record,1999.0
m225rcio farias de souza,marcus costa sampaio,,,efficient materialization and use of views in data warehouses,acm sigmod record,1999.0
stefano ceri,piero fraternali,stefano paraboschi,,design principles for dataintensive web sites,acm sigmod record,1999.0
andrew eisenberg,jim melton,,,sql 199 formerly known as sql3,acm sigmod record,1999.0
anindya datta,debra e vandermeer,aslihan celik,vijay kumar,broadcast protocols to support efficient retrieval from databases by mobile users,acm transactions on database systems tods,1999.0
amit sheth,clemens bertram,kshitij shah,,video anywhere a system for searching and managing distributed heterogeneous video assets,acm sigmod record,1999.0
mike carey,len seligman,,,nsf workshop on industrialacademic cooperation in database systems,acm sigmod record,1999.0
surajit chaudhuri,kyuseok shim,,,optimization of queries with userdefined predicates,acm transactions on database systems tods,1999.0
luis gravano,h233ctor garc237amolina,anthony tomasic,,gloss textsource discovery over the internet,acm transactions on database systems tods,1999.0
mark levene,george loizou,,,database design for incomplete relations,acm transactions on database systems tods,1999.0
jef wijsen,,,,temporal fds on complex objects,acm transactions on database systems tods,1999.0
tolga bozkaya,meral ozsoyoglu,,,indexing large metric spaces for similarity search queries,acm transactions on database systems tods,1999.0
fabio casati,stefano ceri,stefano paraboschi,guiseppe pozzi,specification and implementation of exceptions in workflow management systems,acm transactions on database systems tods,1999.0
g237sli r hjaltason,hanan samet,,,distance browsing in spatial databases,acm transactions on database systems tods,1999.0
suad alag237c,,,,typechecking oql queries in the odmg type systems,acm transactions on database systems tods,1999.0
david ritter,,,,the middleware muddle,acm sigmod record,1998.0
phil bernstein,michael brodie,stefano ceri,david dewitt,the asilomar report on database research,acm sigmod record,1998.0
