author_1,author_2,author_3,author_4,title,venue,year
mayank bawa,rakesh agrawal,roberto j bayardo jr,,privacypreserving indexing of documents on the network,vldb,2003.0
stacia de lima,li chen,ming li,s weiner,serf odmgbased generic restructuring facility,sigmod conference,1999.0
weimin du,xiangning liu,abdelsalam helal,,multiview access protocols for largescale replication,acm trans database syst,1998.0
raghu ramakrishnan,miron livny,praveen seshadri,,the case for enhanced abstract data types,vldb,1997.0
mehran sahami,panagiotis g ipeirotis,luis gravano,,prob coun and classify categorizing hidden web databases,sigmod conference,2001.0
peter m g apers,mark w w vermeer,,,the role of integrity constraints in database interoperation,vldb,1996.0
paolo ciaccia,pavel zezula,marco patella,,mtree an efficient access method for similarity search in metric spaces,vldb,1997.0
james geller,ashish mehta,erich j neuhold,yehoshua perl,the oodb pathmethod generator pmg using access weights and precomputed access relevance,vldb j,1998.0
anca vaduva,thomas vetterli,martin staudt,,metadata standards for data warehousing open information model vs common warehouse metamodel,sigmod record,2000.0
limsoon wong,dan suciu,val tannen,peter buneman,comprehension syntax,sigmod record,1994.0
m ranganathan,christos faloutsos,yannis manolopoulos,,fast subsequence matching in timeseries databases,sigmod conference,1994.0
h v jagadish,shurug alkhalifa,cong yu,,querying structured text in an xml database,sigmod conference,2003.0
svein erik bratsberg,rune humborstad,,,online scaling in a highly available database,vldb,2001.0
min wang,jeffrey scott vitter,,,approximate computation of multidimensional aggregates of sparse data using wavelets,sigmod conference,1999.0
vadim draluk,,,,discovering web services an overview,vldb,2001.0
c mohan,inderpal narang,suparna bhattacharya,karen brannon,coordinating backuprecovery and data consistency between database and file systems,sigmod conference,2002.0
richard t snodgrass,,,,chairs message,sigmod record,1997.0
sveinolaf hvasshovd,svein erik bratsberg,ystein torbjrnsen,,an ultra highly available dbms,vldb,2000.0
jenspeter dittrich,peter widmayer,david scot taylor,bernhard seeger,progressive merge join a generic and nonblocking sortbased join algorithm,vldb,2002.0
inderpal singh mumick,hamid pirahesh,,,implementation of magicsets in a relational database system,sigmod conference,1994.0
boris motik,alexander maedche,ljiljana stojanovic,,managing multiple and distributed ontologies on the semantic web,vldb j,2003.0
charu c aggarwal,philip s yu,,,outlier detection for high dimensional data,sigmod conference,2001.0
mahmut t kandemir,ning an,mary jane irwin,anand sivasubramaniam,energyperformance tradeoffs for spatial access methods on memoryresident data,vldb j,2002.0
imin a chen,dennis mcleod,richard hull,,an execution model for limited ambiguity rules and its application to derived data update,acm trans database syst,1995.0
ioana manolescu,gianni costa,andrei arion,andrea pugliese,xquec pushing queries to compressed xml data,vldb,2003.0
weiye zhang,perke larson,,,dynamic memory adjustment for external mergesort,vldb,1997.0
daniel s whelan,,,,filenet integrated document management database usage and issues,sigmod conference,1998.0
david wilhite,balakrishna r iyer,,,data compression support in databases,vldb,1994.0
richard t snodgrass,curtis e dyreson,,,supporting validtime indeterminacy,acm trans database syst,1998.0
oded shmueli,,,,architectures for internal web services deployment,vldb,2001.0
donald kossmann,michael j carey,,,reducing the braking distance of an sql query engine,vldb,1998.0
daniel j dietterich,,,,dec data distributor for data replication and data warehousing,sigmod conference,1994.0
sang kyun cha,keunjoo kwon,kihong kim,,optimizing multidimensional index trees for main memory access,sigmod conference,2001.0
sanasam ranbir singh,debasis giri,debajyoti mukhopadhyay,,an approach to confidence based page ranking for user oriented web search,sigmod record,2003.0
raghu ramakrishnan,miron livny,praveen seshadri,,the design and implementation of a sequence database system,vldb,1996.0
donovan a schneider,phillip m fernandez,,,the ins and outs and everthing in between of data warehousing,sigmod conference,1996.0
riza cenk erdur,oguz dikenelli,,,a multiagent system infrastructure for software component marketplace an ontological perspective,sigmod record,2002.0
daniel j rosenkrantz,nick koudas,dan suciu,peter scheuermann,reminiscences on influential papers,sigmod record,2001.0
elio masciari,sergio flesca,filippo furfaro,,on the minimization of xpath queries,vldb,2003.0
p p s narayan,s joshi,m nemeth,abraham silberschatz,datablitz a high performance mainmemory storage manager,vldb,1998.0
seth j white,r g g cattell,sheldon j finkelstein,,enterprise java platform data access,sigmod conference,1998.0
mariejo bellosta,eric amiel,eric simon,eric dujardin,typesafe relaxing of schema consistency rules for flexible modeling in oodbms,vldb j,1996.0
peter a boncz,stefan manegold,martin l kersten,,optimizing database architecture for the new bottleneck memory access,vldb j,2000.0
nandlal l sarda,mukesh k mohania,,,some issues in design of distributed deductive databases,vldb,1994.0
goetz graefe,richard l cole,,,optimization of dynamic query evaluation plans,sigmod conference,1994.0
robert w irving,ela hunt,malcolm p atkinson,,a database index to large biological sequences,vldb,2001.0
christian bhm,bernhard braunmller,hanspeter kriegel,daniel a keim,fast parallel similarity search in multimedia databases,sigmod conference,1997.0
kotagiri ramamohanarao,evan p harris,,,join algorithm costs revisited,vldb j,1996.0
kenneth a ross,jingren zhou,,,implementing database operations using simd instructions,sigmod conference,2002.0
daniel barbar,mark sullivan,,,quasicubes exploiting approximations in multidimensional databases,sigmod record,1997.0
sirirut vanichayobon,leonard brown,ravi a dirckze,sylvain guinepain,database research at the university of oklahoma,sigmod record,1999.0
kazimierz subieta,jacek leszczylowski,yahiko kambayashi,,procedures in objectoriented query languages,vldb,1995.0
gonzalo navarro,ricardo a baezayates,,,integrating contents and structure in text retrieval,sigmod record,1996.0
joseph m hellerstein,,,,practical predicate placement,sigmod conference,1994.0
philip s yu,mingsyan chen,huii hsiao,,on applying hash filters to improving the execution of multijoin queries,vldb j,1997.0
younggook ra,viviane crestanataube,matthew c jones,elke a rundensteiner,the multiview project objectoriented view technology and applications,sigmod conference,1996.0
qing li,chiwai fung,kamalakar karlapalem,,costdriven vertical class partitioning for methods in object oriented databases,vldb j,2003.0
dimitra vista,h v jagadish,divesh srivastava,tova milo,querying network directories,sigmod conference,1999.0
gopalan arun,ashok joshi,,,koda the architecture and interface of a data model independent kernel,vldb,1998.0
tiziana catarci,giuseppe santucci,,,the prototype of the dare system,sigmod conference,2001.0
charu c aggarwal,,,,a framework for change diagnosis of data streams,sigmod conference,2003.0
xiaoyu wang,mitch cherniack,,,avoiding ordering and grouping in query processing,vldb,2003.0
jenny chiang,zenian li,osmar r zaane,sonny h chee,multimediaminer a system prototype for multimedia data mining,sigmod conference,1998.0
mingchuan wu,,,,query optimization for selections using bitmaps,sigmod conference,1999.0
karl aberer,,,,book review column,sigmod record,2002.0
kenneth a ross,kyuseok shim,mary f fernandez,,reminiscences on influential papers,sigmod record,2002.0
david konopnicki,oded shmueli,,,w3qs a query system for the worldwide web,vldb,1995.0
marianne winslett,xiaosong ma,ting yu,,twobody job searches,sigmod record,2003.0
daniel s weld,alon y halevy,denise draper,,the nimble integration engine,sigmod conference,2001.0
luc bouganim,daniela florescu,patrick valduriez,,dynamic load balancing in hierarchical parallel database systems,vldb,1996.0
nick roussopoulos,,,,materialized views and data warehouses,sigmod record,1998.0
arun jagatheesan,arcot rajasekar,,,data grid management systems,sigmod conference,2003.0
mrcio farias de souza,marcus costa sampaio,,,efficient materialization and use of views in data warehouses,sigmod record,1999.0
serge novaretti,,,,french government activity in the conservation of data and electronic documents,vldb,2001.0
