authors,title,venue,year
m rusinkiewicz w klas t tesch j wsch p muth,towards a cooperative transaction model the cooperative activity model,vldb,1995.0
a eisenberg j melton,sqlxml is making good progress,sigmod record,2002.0
p ammann s jajodia i ray,using formal methods to reason about semanticsbased decompositions of transactions,vldb,1995.0
l liu,editors notes,sigmod record,2002.0
,report on the acm fourth international workshop on data warehousing and olap dolap 2001,,2002.0
f ferrandina t meyer r zicari g ferran j madec,schema and database evolution in the o2 object database system,vldb,1995.0
k subieta y kambayashi j leszczylowski,procedures in objectoriented query languages,vldb,1995.0
r barga d lomet,phoenix project faulttolerant applications,sigmod record,2002.0
,mining the world wide web an information search approach book review,,2002.0
f moser a kraiss w klas,lmrp a buffer management strategy for interactive continuous data flows in a multimedia dbms,vldb,1995.0
,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,2002.0
s chaudhuri s ghandeharizadeh c shahabi,retrieval of composite multimedia objects,vldb,1995.0
h kosch,mpeg7 and multimedia database systems,sigmod record,2002.0
h lu k tan s dao,the fittest survives an adaptive approach to query optimization,vldb,1995.0
,reminiscences on influential papers,,2002.0
m tresch n palmer a luniewski,type classification of semistructured documents,vldb,1995.0
j geller,data mining practical machine learning tools and techniques book review,sigmod record,2002.0
m mehta d dewitt,managing intraoperator parallelism in parallel database systems,vldb,1995.0
a caplinskas j eder o vasilecas,advances in databases and information systems adbis,sigmod record,2002.0
r srikant r agrawal,mining generalized association rules,vldb,1995.0
p haas j naughton s seshadri l stokes,samplingbased estimation of the number of distinct values of an attribute,vldb,1995.0
k aberer,book review column,sigmod record,2002.0
s flodin t risch,processing objectoriented queries with invertible late bound functions,vldb,1995.0
a kemper,databases and transaction processing an applicationoriented approach book review,sigmod record,2002.0
s hvasshovd torbjrnsen s bratsberg p holager,the clustra telecom database high availability high throughput and realtime response,vldb,1995.0
h kim,conceptual modeling and specification generation for b2b business process based on ebxml,sigmod record,2002.0
h lu r setiono h liu,neurorule a connectionist approach to data mining,vldb,1995.0
r erdur o dikenelli,a multiagent system infrastructure for software component marketplace an ontological perspective,sigmod record,2002.0
r gallersdrfer m nicola,improving performance in replicated databases through relaxed coherency,vldb,1995.0
m cilia a buchmann,an active functionality service for ebusiness applications,sigmod record,2002.0
w hmmer w lehner h wedekind,contracting in the days of ebusiness,sigmod record,2002.0
d lomet m tuttle,redo recovery after system crashes,vldb,1995.0
y wang,db2 query parallelism staging and implementation,vldb,1995.0
m winslett,david dewitt speaks out,ecord,2002.0
k sumiya k yasutake h tanaka n sanada y imai,a product specification database for visual prototyping,vldb,1995.0
r camps,from ternary relationship to relational tables a case against common beliefs,sigmod record,2002.0
t didriksen c galindolegaria e dahle,database decentralization a practical approach,vldb,1995.0
m halkidi y batistakis m vazirgiannis,cluster validity methods part i,sigmod record,2002.0
e pourabbas m rafanelli,a pictorial query language for querying geographic databases using positional and olap operators,sigmod record,2002.0
e hoel h samet,benchmarking spatial join operations with spatial output,vldb,1995.0
g slivinskas c jensen r snodgrass,bringing order to query optimization,sigmod record,2002.0
p brown m stonebraker,bigsur a system for the management of earth science data,vldb,1995.0
l liu,editors notes,sigmod record,2002.0
