addr,city,class,name,phone,type
435 s la cienega blv,los angeles,0.0,arnie morton s of chicago,310246 1501,american
12224 ventura blvd,studio city,1.0,art s delicatessen,818762 1221,american
701 stone canyon rd,bel air,2.0,hotel belair,310472 1211,californian
14016 ventura blvd,sherman oaks,3.0,cafe bizou,818788 3536,french
624 s la brea ave,los angeles,4.0,campanile,213938 1447,american
2709 main st,santa monica,5.0,chinois on main,310392 9025,french
6703 melrose ave,los angeles,6.0,citrus,213857 0034,californian
8358 sunset blvd west,hollywood,7.0,fenix,213848 6677,american
23725 w malibu rd,malibu,8.0,granita,310456 0488,californian
9560 dayton way,los angeles,9.0,grill on the alley,310276 0615,american
1972 n hillhurst ave,los angeles,10.0,restaurant katsu,213665 1891,asian
903 n la cienega blvd,los angeles,11.0,l orangerie,310652 9770,french
8284 melrose ave,los angeles,12.0,le chardonnay,213655 8880,french
3rd st,los angeles,13.0,locanda veneta,310274 1893,italian
129 n la cienega blvd,beverly hills,14.0,matsuhisa,310659 9639,asian
9001 santa monica blvd,los angeles,15.0,the palm,310550 8811,american
5955 melrose ave,los angeles,16.0,patina,213467 1108,californian
1001 n alameda st,los angeles,17.0,philippe s the original,213628 3781,american
12969 ventura blvd,los angeles,18.0,pinot bistro,818990 0500,french
617 s olive st,los angeles,19.0,rex il ristorante,213627 2300,italian
1114 horn ave,los angeles,20.0,spago,310652 4025,californian
3115 pico blvd,santa monica,21.0,valentino,310829 4313,italian
67 n raymond ave,los angeles,22.0,yujean kang s gourmet chinese cuisine,818585 0855,asian
21 w 52nd st,new york,23.0,21 club,212582 7200,american
13 w 54th st,new york,24.0,aquavit,212307 7311,continental
34 e 61st st,new york,25.0,aureole,212 3191660,american
201 w 83rd st,new york,26.0,cafe lalo,212496 6031,coffee_bar
1 w 67th st,new york,27.0,cafe des artistes,212877 3500,continental
2450 broadway between 90th and 91st sts,new york,28.0,carmine s,212362 2200,italian
854 7th ave between 54th and 55th sts,new york,29.0,carnegie deli,212757 2245,delicatessen
2 harrison st near hudson st,new york,30.0,chanterelle,212966 6960,american
20 e 76th st,new york,31.0,daniel,212288 0033,french
210 e 58th st,new york,32.0,dawat,212355 7555,asian
243 e 58th st,new york,33.0,felidia,212758 1479,italian
99 e 52nd st,new york,34.0,four seasons grill room,212754 9494,american
12 e 12th st,new york,35.0,gotham bar grill,212620 4020,american
42 e 20th st between park ave s and broadway,new york,36.0,gramercy tavern,212477 0777,american
402 w 44th st,new york,37.0,island spice,212765 1737,tel_caribbean
160 e 64th st,new york,38.0,jo jo,212223 5656,american
33 w 55th st,new york,39.0,la caravelle,212586 4252,french
60 w 55th st between 5th and 6th ave,new york,40.0,la cote basque,212688 6525,french
155 w 51st st,new york,41.0,le bernardin,212489 1515,french
160 central park s,new york,42.0,les celebrites,212484 5113,french
2 e 55th st,new york,43.0,lespinasse,212339 6719,american
249 e 50th st,new york,44.0,lutece,212752 2225,french
57 w 58th st,new york,45.0,manhattan ocean club,212 3717777,seafood
405 e 58th st,new york,46.0,march,212754 6272,american
102 5th ave between 15th and 16th sts,new york,47.0,mesa grill,212807 7400,american
57 jane st off hudson st,new york,48.0,mi cocina,212627 8273,mexican
