actor_1,actor_2,actor_3,color,content_rating,director,original_language,production_countries,title,vote_average,year
cch pounder,joel david moore,wes studi,color,pg13,james cameron,english,usa,avatar,8.0,2009.0
johnny depp,orlando bloom,jack davenport,color,pg13,gore verbinski,english,usa,pirates of the caribbean at worlds end,7.0,2007.0
christoph waltz,rory kinnear,stephanie sigman,color,pg13,sam mendes,english,uk,spectre,7.0,2015.0
tom hardy,christian bale,joseph gordonlevitt,color,pg13,christopher nolan,english,usa,the dark knight rises,8.0,2012.0
daryl sabara,samantha morton,polly walker,color,pg13,andrew stanton,english,usa,john carter,7.0,2012.0
jk simmons,james franco,kirsten dunst,color,pg13,sam raimi,english,usa,spiderman 3,6.0,2007.0
brad garrett,donna murphy,mc gainey,color,pg,nathan greno,english,usa,tangled,8.0,2010.0
chris hemsworth,robert downey jr,scarlett johansson,color,pg13,joss whedon,english,usa,avengers age of ultron,8.0,2015.0
alan rickman,daniel radcliffe,rupert grint,color,pg,david yates,english,uk,harry potter and the halfblood prince,8.0,2009.0
henry cavill,lauren cohan,alan d purwin,color,pg13,zack snyder,english,usa,batman v superman dawn of justice,7.0,2016.0
kevin spacey,marlon brando,frank langella,color,pg13,bryan singer,english,usa,superman returns,6.0,2006.0
giancarlo giannini,mathieu amalric,rory kinnear,color,pg13,marc forster,english,uk,quantum of solace,7.0,2008.0
johnny depp,orlando bloom,jack davenport,color,pg13,gore verbinski,english,usa,pirates of the caribbean dead mans chest,7.0,2006.0
johnny depp,ruth wilson,tom wilkinson,color,pg13,gore verbinski,english,usa,the lone ranger,6.0,2013.0
henry cavill,christopher meloni,harry lennix,color,pg13,zack snyder,english,usa,man of steel,7.0,2013.0
peter dinklage,pierfrancesco favino,damin alczar,color,pg,andrew adamson,english,usa,the chronicles of narnia prince caspian,7.0,2008.0
chris hemsworth,robert downey jr,scarlett johansson,color,pg13,joss whedon,english,usa,the avengers,8.0,2012.0
johnny depp,sam claflin,stephen graham,color,pg13,rob marshall,english,usa,pirates of the caribbean on stranger tides,7.0,2011.0
will smith,michael stuhlbarg,nicole scherzinger,color,pg13,barry sonnenfeld,english,usa,men in black 3,7.0,2012.0
aidan turner,adam brown,james nesbitt,color,pg13,peter jackson,english,new zealand,the hobbit the battle of the five armies,8.0,2014.0
emma stone,andrew garfield,chris zylka,color,pg13,marc webb,english,usa,the amazing spiderman,7.0,2012.0
mark addy,william hurt,scott grimes,color,pg13,ridley scott,english,usa,robin hood,7.0,2010.0
aidan turner,adam brown,james nesbitt,color,pg13,peter jackson,english,usa,the hobbit the desolation of smaug,8.0,2013.0
christopher lee,eva green,kristin scott thomas,color,pg13,chris weitz,english,usa,the golden compass,6.0,2007.0
naomi watts,thomas kretschmann,evan parke,color,pg13,peter jackson,english,new zealand,king kong,7.0,2005.0
leonardo dicaprio,kate winslet,gloria stuart,color,pg13,james cameron,english,usa,titanic,8.0,1997.0
robert downey jr,scarlett johansson,chris evans,color,pg13,anthony russo,english,usa,captain america civil war,8.0,2016.0
liam neeson,alexander skarsgrd,tadanobu asano,color,pg13,peter berg,english,usa,battleship,6.0,2012.0
bryce dallas howard,judy greer,omar sy,color,pg13,colin trevorrow,english,usa,jurassic world,7.0,2015.0
albert finney,helen mccrory,rory kinnear,color,pg13,sam mendes,english,uk,skyfall,8.0,2012.0
jk simmons,james franco,kirsten dunst,color,pg13,sam raimi,english,usa,spiderman 2,7.0,2004.0
robert downey jr,jon favreau,don cheadle,color,pg13,shane black,english,usa,iron man 3,7.0,2013.0
johnny depp,alan rickman,anne hathaway,color,pg,tim burton,english,usa,alice in wonderland,6.0,2010.0
hugh jackman,kelsey grammer,daniel cudmore,color,pg13,brett ratner,english,canada,xmen the last stand,7.0,2006.0
steve buscemi,tyler labine,sean hayes,color,g,dan scanlon,english,usa,monsters university,7.0,2013.0
glenn morshower,kevin dunn,ramon rodriguez,color,pg13,michael bay,english,usa,transformers revenge of the fallen,6.0,2009.0
bingbing li,sophia myles,kelsey grammer,color,pg13,michael bay,english,usa,transformers age of extinction,6.0,2014.0
tim holmes,mila kunis,james franco,color,pg,sam raimi,english,usa,oz the great and powerful,6.0,2013.0
emma stone,andrew garfield,bj novak,color,pg13,marc webb,english,usa,the amazing spiderman 2,7.0,2014.0
jeff bridges,olivia wilde,james frain,color,pg,joseph kosinski,english,usa,tron legacy,7.0,2010.0
joe mantegna,thomas kretschmann,eddie izzard,color,g,john lasseter,english,usa,cars 2,6.0,2011.0
ryan reynolds,temuera morrison,taika waititi,color,pg13,martin campbell,english,usa,green lantern,6.0,2011.0
tom hanks,john ratzenberger,don rickles,color,g,lee unkrich,english,usa,toy story 3,8.0,2010.0
christian bale,bryce dallas howard,common,color,pg13,mcg,english,usa,terminator salvation,7.0,2009.0
jason statham,paul walker,vin diesel,color,pg13,james wan,english,usa,furious 7,7.0,2015.0
peter capaldi,brad pitt,mireille enos,color,pg13,marc forster,english,usa,world war z,7.0,2013.0
jennifer lawrence,peter dinklage,hugh jackman,color,pg13,bryan singer,english,usa,xmen days of future past,8.0,2014.0
benedict cumberbatch,bruce greenwood,noel clarke,color,pg13,jj abrams,english,usa,star trek into darkness,8.0,2013.0
eddie marsan,ewen bremner,ralph brown,color,pg13,bryan singer,english,usa,jack the giant slayer,6.0,2013.0
leonardo dicaprio,elizabeth debicki,steve bisley,color,pg13,baz luhrmann,english,australia,the great gatsby,7.0,2013.0
jake gyllenhaal,richard coyle,reece ritchie,color,pg13,mike newell,english,usa,prince of persia the sands of time,7.0,2010.0
charlie hunnam,clifton collins jr,larry joe campbell,color,pg13,guillermo del toro,english,usa,pacific rim,7.0,2013.0
glenn morshower,lester speight,kevin dunn,color,pg13,michael bay,english,usa,transformers dark of the moon,6.0,2011.0
harrison ford,ray winstone,jim broadbent,color,pg13,steven spielberg,english,usa,indiana jones and the kingdom of the crystal skull,6.0,2008.0
aj buckley,jack mcgraw,peter sohn,color,pg,peter sohn,english,usa,the good dinosaur,7.0,2015.0
kelly macdonald,john ratzenberger,julie walters,color,pg,mark andrews,english,usa,brave,7.0,2012.0
sofia boutella,melissa roxburgh,lydia wilson,color,pg13,justin lin,english,usa,star trek beyond,8.0,2016.0
john ratzenberger,fred willard,jeff garlin,color,g,andrew stanton,english,usa,walle,8.0,2008.0
tzi ma,dana ivey,nomie lenoir,color,pg13,brett ratner,english,usa,rush hour 3,6.0,2007.0
oliver platt,liam james,tom mccarthy,color,pg13,roland emmerich,english,usa,2012,6.0,2009.0
robin wright,colin firth,gary oldman,color,pg,robert zemeckis,english,usa,a christmas carol,7.0,2009.0
channing tatum,mila kunis,eddie redmayne,color,pg13,lana wachowski,english,usa,jupiter ascending,5.0,2015.0
christoph waltz,alexander skarsgrd,casper crump,color,pg13,david yates,english,usa,the legend of tarzan,7.0,2016.0
jim broadbent,kiran shah,shane rangi,color,pg,andrew adamson,english,usa,the chronicles of narnia the lion the witch and the wardrobe,7.0,2005.0
jennifer lawrence,michael fassbender,tye sheridan,color,pg13,bryan singer,english,usa,xmen apocalypse,7.0,2016.0
christian bale,heath ledger,morgan freeman,color,pg13,christopher nolan,english,usa,the dark knight,9.0,2008.0
john ratzenberger,delroy lindo,jess harnell,color,pg,pete docter,english,usa,up,8.0,2009.0
amy poehler,rainn wilson,stephen colbert,color,pg,rob letterman,english,usa,monsters vs aliens,6.0,2009.0
robert downey jr,jeff bridges,jon favreau,color,pg13,jon favreau,english,usa,iron man,8.0,2008.0
chlo grace moretz,christopher lee,ray winstone,color,pg,martin scorsese,english,usa,hugo,8.0,2011.0
will smith,salma hayek,bai ling,color,pg13,barry sonnenfeld,english,usa,wild wild west,5.0,1999.0
jet li,brendan fraser,russell wong,color,pg13,rob cohen,english,usa,the mummy tomb of the dragon emperor,5.0,2008.0
will smith,robin atkin downes,ike barinholtz,color,pg13,david ayer,english,usa,suicide squad,7.0,2016.0
jimmy bennett,morgan freeman,steve carell,color,pg,tom shadyac,english,usa,evan almighty,5.0,2007.0
tom cruise,lara pulver,noah taylor,color,pg13,doug liman,english,usa,edge of tomorrow,8.0,2014.0
jeanne tripplehorn,rick aviles,zakes mokae,color,pg13,kevin reynolds,english,usa,waterworld,6.0,1995.0
joseph gordonlevitt,dennis quaid,leo howard,color,pg13,stephen sommers,english,usa,gi joe the rise of cobra,6.0,2009.0
amy poehler,mindy kaling,phyllis smith,color,pg,pete docter,english,usa,inside out,8.0,2015.0
scarlett johansson,bill murray,garry shandling,color,pg,jon favreau,english,uk,the jungle book,8.0,2016.0
robert downey jr,scarlett johansson,jon favreau,color,pg13,jon favreau,english,usa,iron man 2,7.0,2010.0
chris hemsworth,kristen stewart,sam claflin,color,pg13,rupert sanders,english,usa,snow white and the huntsman,6.0,2012.0
angelina jolie pitt,sharlto copley,sam riley,color,pg,robert stromberg,english,usa,maleficent,7.0,2014.0
gary oldman,judy greer,kodi smitmcphee,color,pg13,matt reeves,english,usa,dawn of the planet of the apes,8.0,2014.0
tamsin egerton,alice englert,bipasha basu,color,r,roland joff,english,belgium,the lovers,4.0,2015.0
keanu reeves,caryhiroyuki tagawa,jin akanishi,color,pg13,carl rinsch,english,usa,47 ronin,6.0,2013.0
scarlett johansson,chris evans,hayley atwell,color,pg13,anthony russo,english,usa,captain america the winter soldier,8.0,2014.0
jon hamm,kathy griffin,mary kay place,color,pg,mike mitchell,english,usa,shrek forever after,6.0,2010.0
judy greer,chris bauer,thomas robinson,color,pg,brad bird,english,usa,tomorrowland,6.0,2015.0
damon wayans jr,daniel henney,abraham benrubi,color,pg,don hall,english,usa,big hero 6,8.0,2014.0
jack mcbrayer,sarah silverman,joe lo truglio,color,pg,rich moore,english,usa,wreckit ralph,8.0,2012.0
tom hanks,eddie deezen,peter scolari,color,g,robert zemeckis,english,usa,the polar express,7.0,2004.0
vivica a fox,sela ward,judd hirsch,color,pg13,roland emmerich,english,usa,independence day resurgence,6.0,2016.0
gerard butler,america ferrera,craig ferguson,color,pg,dean deblois,english,usa,how to train your dragon,8.0,2010.0
nick stahl,mc gainey,carolyn hennesy,color,r,jonathan mostow,english,usa,terminator 3 rise of the machines,6.0,2003.0
bradley cooper,vin diesel,djimon hounsou,color,pg13,james gunn,english,usa,guardians of the galaxy,8.0,2014.0
matthew mcconaughey,anne hathaway,mackenzie foy,color,pg13,christopher nolan,english,usa,interstellar,9.0,2014.0
leonardo dicaprio,tom hardy,joseph gordonlevitt,color,pg13,christopher nolan,english,usa,inception,9.0,2010.0
aidan turner,adam brown,james nesbitt,color,pg13,peter jackson,english,usa,the hobbit an unexpected journey,8.0,2012.0
paul walker,vin diesel,jordana brewster,color,pg13,rob cohen,english,usa,the fast and the furious,7.0,2001.0
brad pitt,jason flemyng,julia ormond,color,pg13,david fincher,english,usa,the curious case of benjamin button,8.0,2008.0
jennifer lawrence,michael fassbender,oliver platt,color,pg13,matthew vaughn,english,usa,xmen first class,8.0,2011.0
jennifer lawrence,philip seymour hoffman,josh hutcherson,color,pg13,francis lawrence,english,usa,the hunger games mockingjay part 2,7.0,2015.0
nicolas cage,omar benson miller,robert capron,color,pg,jon turteltaub,english,usa,the sorcerers apprentice,6.0,2010.0
jimmy bennett,mike vogel,andre braugher,color,pg13,wolfgang petersen,english,usa,poseidon,6.0,2006.0
johnny depp,alan rickman,anne hathaway,color,pg,james bobin,english,usa,alice through the looking glass,6.0,2016.0
justin timberlake,eric idle,rupert everett,color,pg,chris miller,english,usa,shrek the third,6.0,2007.0
dominic cooper,callum rennie,ruth negga,color,pg13,duncan jones,english,usa,warcraft,7.0,2016.0
jk simmons,emilia clarke,matt smith,color,pg13,alan taylor,english,usa,terminator genisys,7.0,2015.0
bruce spence,shane rangi,laura brent,color,pg,michael apted,english,usa,the chronicles of narnia the voyage of the dawn treader,6.0,2010.0
jennifer garner,jaime king,mako,black and white,pg13,michael bay,english,usa,pearl harbor,6.0,2001.0
zack ward,michael oneill,kevin dunn,color,pg13,michael bay,english,usa,transformers,7.0,2007.0
anthony hopkins,angelina jolie pitt,brian blessed,color,r,oliver stone,english,germany,alexander,6.0,2004.0
robert pattinson,daniel radcliffe,fiona shaw,color,pg13,david yates,english,uk,harry potter and the order of the phoenix,8.0,2007.0
robert pattinson,daniel radcliffe,rupert grint,color,pg13,mike newell,english,uk,harry potter and the goblet of fire,8.0,2005.0
will smith,charlize theron,eddie marsan,color,pg13,peter berg,english,usa,hancock,6.0,2008.0
will smith,alice braga,willow smith,color,pg13,francis lawrence,english,usa,i am legend,7.0,2007.0
johnny depp,christopher lee,david kelly,color,pg,tim burton,english,usa,charlie and the chocolate factory,7.0,2005.0
janeane garofalo,john ratzenberger,brian dennehy,color,g,brad bird,english,usa,ratatouille,8.0,2007.0
christian bale,liam neeson,morgan freeman,color,pg13,christopher nolan,english,usa,batman begins,8.0,2005.0
bernie mac,jada pinkett smith,cedric the entertainer,color,pg,eric darnell,english,usa,madagascar escape 2 africa,7.0,2008.0
robin williams,rami malek,steve coogan,color,pg,shawn levy,english,usa,night at the museum battle of the smithsonian,6.0,2009.0
hugh jackman,ryan reynolds,dominic monaghan,color,pg13,gavin hood,english,usa,xmen origins wolverine,7.0,2009.0
essie davis,collin chou,nona gaye,color,r,lana wachowski,english,australia,the matrix revolutions,7.0,2003.0
josh gad,maurice lamarche,livvy stubenrauch,color,pg,chris buck,english,usa,frozen,8.0,2013.0
steve bastoni,daniel bernhardt,helmut bakaitis,color,r,lana wachowski,english,usa,the matrix reloaded,7.0,2003.0
chris hemsworth,natalie portman,anthony hopkins,color,pg13,alan taylor,english,usa,thor the dark world,7.0,2013.0
tom hardy,charlize theron,zo kravitz,color,r,george miller,english,australia,mad max fury road,8.0,2015.0
tom hanks,ayelet zurer,armin muellerstahl,color,pg13,ron howard,english,usa,angels demons,7.0,2009.0
chris hemsworth,natalie portman,anthony hopkins,color,pg13,kenneth branagh,english,usa,thor,7.0,2011.0
chlo grace moretz,diedrich bader,james lipton,color,pg,byron howard,english,usa,bolt,7.0,2008.0
