album_name,artist_name,copyright,genre,price,released,song_name,time
welcome to cam country ep,cam,2015 sony music entertainment,country music contemporary country honky tonk,099,31mar15,runaway train,301.0
me 4 u,omi,2015 ultra records llc under exclusive license to columbia records a division of sony music entertainment,poprock music pop dance rb soul,album only,,track 14,341.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
i ll be home for christmas,a great big world,compilation p 2014 epic records a division of sony music entertainment,holiday music,129,24nov14,i want a hippopotamus for christmas,220.0
title deluxe,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music rock poprock dance teen pop,129,9jan15,credit,251.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
revival deluxe,selena gomez,2015 interscope records,pop music rock,album only,,perfect,402.0
radio disney music awards,olly murs,2015 walt disney records,pop music,album only,21apr15,wrapped up live,301.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
title,meghan trainor,2014 2015 epic records a division of sony music entertainment,pop music poprock dance rock teen pop,129,9jan15,lips are movin,301.0
chilled house session 2015 ministry of sound,i am oak,2015 ministry of sound recordings ltd,dance music,album only,1feb15,on trees and birds and fire chs6 edit sam feldt bloombox remix,333.0
summertime sadness lana del rey vs cedric gervais cedric gervais remix single,lana del rey cedric gervais,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,dance music rock adult alternative electronic,129,11jul13,summertime sadness lana del rey vs cedric gervais cedric gervais remix,334.0
defected presents most rated 2015,krankbrother,2014 defected records limited,dance music,129,23nov14,thank you baby,658.0
ride remixes,lana del rey,2012 polydor ltd uk,alternative music rock,129,19nov12,ride lyla s surprise james lavelle remix,813.0
west coast remix ep,lana del rey,2014 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock,129,13jul14,west coast mk remix,526.0
young and beautiful lana del rey vs cedric gervais cedric gervais remix radio edit single,lana del rey cedric gervais,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock,129,29oct13,young and beautiful lana del rey vs cedric gervais cedric gervais remix radio edit,347.0
tropico single,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music,album only,6dec13,tropico,270700.0
blue jeans remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,1may12,blue jeans penguin prison remix,536.0
blue jeans remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,1may12,blue jeans penguin prison remix,536.0
hed kandi ibiza 2013,joey negro,2013 hed kandi records,dance music,129,15jul13,i need somebody tonight feat thelma houston audiowhores remix,308.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
summertime sadness lana del rey vs cedric gervais cedric gervais extended remix single,lana del rey cedric gervais,2014 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music dance rock adult alternative electronic,129,25feb14,summertime sadness lana del rey vs cedric gervais cedric gervais extended remix,652.0
blue jeans remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,1may12,blue jeans penguin prison remix,536.0
ultraviolence hook n sling remix single,lana del rey,2015 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music,129,15feb15,ultraviolence hook n sling remix,529.0
blue jeans remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,1may12,blue jeans penguin prison remix,536.0
west coast remix ep,lana del rey,2014 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock,129,13jul14,west coast mk remix,526.0
hed kandi tropical house,olympique,2015 hed kandi recordsministry of sound recordings ltd,dance music,129,3may15,face down earth hk tropical house edit urban contact remix,326.0
video games remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,099,28feb12,video games we don t belong in pacha remix,519.0
video games remixes ep,lana del rey,2012 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,099,28feb12,video games we don t belong in pacha remix,519.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
born to die,lana del rey,2013 lana del rey under exclusive licence to polydor ltd uk under exclusive licence to interscope records in the usa,alternative music rock adult alternative,129,6aug13,this is what makes us girls,400.0
