[target.csv.agent_last_name, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.agent_first_name, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.agent_phone_number, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.firm_name, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.firm_street, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.firm_zip_code, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.firm_city, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.agent_area_code, target.csv.heating, target.csv.house_description, target.csv.house_street]
[target.csv.agent_last_name, target.csv.building_area, target.csv.heating, target.csv.house_street]
[target.csv.agent_first_name, target.csv.building_area, target.csv.heating, target.csv.house_street]
[target.csv.agent_phone_number, target.csv.building_area, target.csv.heating, target.csv.house_street]
[target.csv.building_area, target.csv.firm_name, target.csv.heating, target.csv.house_street]
[target.csv.building_area, target.csv.firm_street, target.csv.heating, target.csv.house_street]
[target.csv.building_area, target.csv.firm_zip_code, target.csv.heating, target.csv.house_street]
[target.csv.building_area, target.csv.firm_city, target.csv.heating, target.csv.house_street]
[target.csv.agent_area_code, target.csv.building_area, target.csv.heating, target.csv.house_street]
[target.csv.agent_last_name, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.agent_first_name, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.agent_phone_number, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.firm_name, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.firm_street, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.firm_zip_code, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.firm_city, target.csv.heating, target.csv.house_price, target.csv.house_street]
[target.csv.agent_area_code, target.csv.heating, target.csv.house_price, target.csv.house_street]
