au_id,au_lname,au_fname,phone,address,city,state,zip,contract
0,19,12,3,1,6,0,94025,1
1,5,14,13,10,8,0,94618,1
2,2,7,6,17,1,0,94705,1
3,13,16,2,4,13,0,95128,1
4,17,8,9,13,8,0,94609,1
5,16,15,20,0,5,2,66044,0
6,0,0,8,18,1,0,94705,1
7,4,3,10,11,9,0,94301,1
8,7,5,18,20,3,0,95428,1
9,10,6,7,2,12,0,94130,1
10,6,18,15,5,7,6,37215,0
11,1,19,14,15,2,5,97330,1
12,20,1,12,8,15,0,94595,1
13,21,11,16,6,0,4,48105,1
14,3,17,0,7,4,1,46403,1
15,18,9,11,14,8,0,94609,0
16,11,21,4,12,8,0,94612,1
17,9,13,5,16,8,0,94609,1
18,14,22,1,3,10,3,20853,1
19,8,20,10,11,9,0,94301,1
20,12,10,17,9,14,0,95688,0
21,15,4,19,19,11,7,84152,1
22,15,2,19,19,11,7,84152,1
