emp_id,fname,minit,lname,job_id,job_lvl,pub_id,hire_date
0,3,19,7,10,87,1389,24
1,2,19,35,6,152,9999,12
2,1,9,8,3,200,9952,22
3,0,13,9,8,100,877,33
4,5,4,12,5,211,9999,6
5,4,5,37,13,64,1389,29
6,6,1,42,11,75,877,11
7,7,16,34,6,192,1389,25
8,8,10,22,14,35,877,15
9,9,19,5,4,227,9952,17
10,10,6,41,9,170,736,1
11,11,19,3,12,35,877,9
12,12,0,26,7,120,9999,34
13,13,0,39,12,100,736,3
14,14,18,18,5,172,9901,21
15,15,4,15,14,100,736,31
16,16,7,14,9,170,9999,41
17,18,19,4,7,120,877,19
18,17,0,21,5,175,736,14
19,21,19,19,7,135,1389,27
20,19,19,31,8,101,9999,4
21,23,19,33,9,75,877,26
22,26,0,29,11,112,1389,32
23,20,0,38,9,78,1389,2
24,22,4,40,10,165,736,13
25,25,5,16,6,220,736,42
26,21,7,32,5,246,1756,5
27,24,9,36,8,175,736,36
28,29,2,23,11,150,9999,8
29,27,3,13,7,195,736,35
30,33,6,10,10,75,877,28
31,28,9,0,13,35,877,30
32,35,11,17,10,80,9999,39
33,32,14,1,14,89,1389,18
34,31,14,30,8,125,1389,40
35,34,15,6,2,215,9952,10
36,30,17,11,5,159,877,37
37,37,19,24,11,150,736,23
38,36,1,25,5,198,1622,38
39,38,8,28,5,150,1389,20
40,39,12,27,13,100,736,0
41,40,12,2,6,140,877,16
42,41,19,20,12,32,1389,7
