attore_id,film_id
179,159
17,378
85,92
33,618
137,917
10,477
19,404
81,268
113,921
121,884
85,85
124,113
107,859
136,806
159,789
64,280
54,301
107,162
54,489
171,342
25,564
46,991
81,458
157,967
17,119
78,689
67,576
1,509
126,96
46,540
72,956
9,510
157,210
196,635
133,882
174,853
142,794
105,283
184,640
104,945
10,914
12,540
66,725
61,433
177,433
140,857
155,1000
159,680
65,471
26,885
154,680
174,809
160,794
141,992
198,482
20,1
48,295
179,463
40,737
117,246
84,175
103,360
80,341
186,187
2,31
58,306
7,351
58,316
37,317
185,584
192,680
63,134
148,768
101,263
152,680
181,539
83,339
177,751
150,889
91,181
81,260
156,297
42,876
182,590
67,725
170,508
118,141
13,29
81,453
74,836
126,193
85,72
89,970
150,75
108,567
122,491
135,170
161,425
94,402
99,726
107,136
75,645
103,692
143,680
148,718
99,600
187,168
46,820
15,817
84,589
63,893
182,720
106,126
184,580
195,560
89,162
139,744
195,534
113,890
37,553
123,725
61,518
137,268
72,331
101,662
33,881
65,39
29,133
185,518
111,359
30,301
68,205
82,33
175,890
176,573
165,204
142,328
109,174
199,784
157,159
159,223
85,297
21,507
96,874
33,694
147,864
159,343
154,489
16,87
77,442
78,520
121,633
65,106
171,849
156,754
43,359
191,410
104,600
86,623
70,304
162,409
42,907
126,468
7,35
155,941
40,744
183,32
88,717
83,52
133,868
172,667
167,794
93,621
70,53
142,710
44,699
36,427
41,203
27,347
47,923
44,825
48,349
120,722
108,673
53,697
97,656
50,840
194,135
178,983
10,236
167,626
59,689
127,79
68,213
186,983
152,318
107,165
135,719
163,239
35,35
23,42
51,461
89,446
40,463
108,702
95,126
117,738
112,151
188,338
174,705
147,708
94,512
9,974
175,977
164,681
178,34
49,980
164,148
33,667
175,67
94,540
117,432
47,172
188,51
161,880
104,677
123,988
29,172
155,220
119,418
108,733
173,564
53,937
199,604
144,272
101,608
149,159
194,42
56,457
23,78
43,344
97,256
140,934
103,347
188,10
174,982
100,877
99,622
86,905
106,83
102,326
62,211
120,642
34,438
71,956
13,87
122,307
163,719
44,88
133,270
175,29
27,19
117,459
181,921
126,545
150,105
92,470
71,450
23,842
183,941
22,418
88,839
12,34
113,726
33,712
139,181
16,280
133,514
117,797
187,76
15,541
120,894
167,319
159,876
64,921
185,761
184,969
98,120
160,469
100,850
166,944
152,217
49,716
164,324
19,428
104,607
93,744
42,568
160,275
12,635
53,126
18,808
143,830
174,610
37,900
169,571
7,766
9,514
82,893
81,613
95,245
70,725
151,989
34,493
8,458
10,929
39,431
86,391
189,519
34,336
45,680
77,22
140,702
165,948
73,627
77,245
83,631
88,819
66,697
196,906
171,273
142,501
43,621
194,415
95,522
111,744
150,777
80,858
130,809
38,335
108,966
181,522
176,13
139,262
57,714
40,1
73,374
161,749
150,672
172,567
101,491
188,311
113,981
161,247
106,559
64,569
22,9
36,569
158,178
69,466
67,57
154,588
143,239
15,594
128,26
145,893
41,4
78,387
39,415
145,592
126,369
179,924
5,687
138,508
143,316
37,966
32,427
15,783
56,354
166,788
4,87
114,237
33,305
94,354
49,31
168,92
23,549
119,592
131,436
137,603
181,387
164,169
168,255
87,654
108,242
16,177
23,855
177,12
174,442
188,206
128,665
2,555
128,326
85,960
80,212
34,389
79,367
106,881
99,978
94,320
112,34
53,518
162,574
155,966
121,449
65,516
70,869
111,643
76,568
164,834
39,648
150,206
25,404
129,247
17,280
165,833
200,993
23,997
60,334
100,411
165,947
67,972
146,945
39,683
71,638
41,799
53,465
27,996
114,841
106,566
187,441
169,398
4,858
120,898
162,636
121,338
19,513
107,138
146,514
95,35
154,276
173,106
72,296
58,242
185,920
188,14
50,248
194,786
88,940
94,475
137,745
152,332
78,393
129,89
86,923
25,914
20,348
147,251
88,929
39,320
48,312
168,387
162,844
92,662
20,499
190,606
182,828
165,693
146,16
117,337
123,286
7,292
26,635
99,325
43,410
87,721
184,772
57,144
