inventario_id,film_id,negozio_id
88,18,1
1445,317,1
3355,737,1
4298,936,2
2032,443,1
2762,606,2
3366,738,2
391,86,2
2249,486,1
4538,991,1
939,208,1
2633,578,1
974,218,1
3943,859,2
3992,870,1
2836,622,2
215,48,2
2693,591,2
4075,888,1
1408,308,2
3921,856,1
1224,271,2
2995,657,1
848,186,1
3870,846,2
2982,654,1
863,190,2
8,1,2
4229,919,1
1387,304,1
4279,931,2
2341,509,2
1283,284,1
2340,509,2
1603,350,2
4289,934,2
2317,503,1
2206,477,2
945,210,2
4211,915,2
805,175,2
2122,460,1
2939,645,2
4379,957,1
2711,595,2
483,107,2
3444,755,1
3566,779,2
1615,353,1
324,72,2
2133,461,2
3640,795,1
1442,315,2
1031,231,1
2393,522,2
2342,509,2
2116,458,2
656,142,1
4453,973,1
2964,650,1
2192,474,2
1366,301,1
98,19,2
3857,844,2
3325,731,2
233,52,2
2874,630,2
56,11,1
3715,812,2
1403,307,2
1473,322,1
3361,738,1
2562,561,1
4253,924,2
433,96,1
1483,324,2
1197,266,2
4129,897,2
573,124,2
2118,459,2
1398,306,1
206,45,2
2202,476,2
4213,916,1
3832,839,2
2714,595,2
3344,735,1
4101,893,1
2412,526,2
2597,570,2
949,211,1
2860,626,2
1545,338,2
3806,833,2
4240,922,1
2631,577,1
958,213,1
3988,869,2
2212,478,2
2448,534,2
1474,322,2
4168,906,2
3547,775,2
1655,361,2
209,46,2
1955,426,2
1958,427,1
2146,464,1
3899,851,2
2906,638,2
3826,838,1
3113,683,2
3730,816,1
658,142,2
1556,341,2
2191,473,2
1835,398,2
640,139,1
68,13,2
1646,358,2
3777,827,2
1325,293,1
3833,840,1
1290,285,1
2758,605,2
260,58,2
3549,776,1
3455,757,2
520,115,1
851,187,2
3651,797,2
2966,650,2
2586,567,2
567,123,1
2717,596,2
2378,518,2
3750,820,1
4560,995,1
261,58,2
4337,945,2
1730,377,1
2676,587,1
1984,433,1
1621,354,1
2823,620,1
3197,702,2
840,184,1
57,11,2
2738,601,1
2837,622,2
2651,581,1
163,35,1
1696,369,2
3803,833,1
551,120,1
400,89,1
4047,880,2
1143,253,1
2781,610,2
86,17,2
3597,786,2
4126,897,1
1762,382,2
3962,863,2
1253,277,1
49,10,1
459,101,1
556,121,1
1602,350,2
4252,924,2
2178,471,1
4005,872,2
1264,280,2
796,174,1
1337,295,1
1255,277,1
259,57,2
530,116,2
1848,402,2
1527,334,1
75,15,2
3051,670,1
3644,796,1
4177,908,2
4467,976,1
3151,692,2
4478,979,1
518,114,2
3215,706,2
2190,473,2
3401,746,1
3550,776,2
973,216,2
1915,416,2
3687,806,2
2363,514,2
1780,387,1
1656,361,2
1103,245,1
2881,632,1
1539,337,1
1881,410,1
1844,402,1
4377,956,1
1293,285,2
439,97,1
1999,435,1
1761,382,2
1219,270,2
547,119,2
3539,774,1
674,147,1
2349,511,2
1121,249,1
3664,800,2
792,173,1
336,74,1
1763,382,2
917,204,1
715,156,2
1186,264,2
348,77,1
33,7,1
2847,624,2
3195,702,1
1288,285,1
1748,380,1
564,122,2
1412,309,2
2336,507,2
2309,502,1
2921,641,2
1546,339,2
3761,823,1
651,141,1
3569,780,2
4574,1000,1
918,204,1
3799,832,1
2162,467,2
3911,853,1
1222,271,1
4216,916,2
4163,905,1
644,140,1
4456,973,2
3242,711,2
833,182,1
4,1,1
2015,438,2
2021,439,2
1379,303,1
2080,451,1
732,160,1
1496,327,2
745,163,2
2821,619,2
1104,245,1
1961,428,1
4490,981,1
212,48,1
3087,678,1
3267,720,1
405,90,1
4351,948,2
4221,917,2
