negozio_id,capo_personale_id,indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
1,1,580,923 Tangail Boulevard,,Tokyo-to,10,33384.0,315528269898.0
2,2,131,801 Hagonoy Drive,,Smolensk,484,8439.0,237426099212.0
2,2,307,1908 Gaziantep Place,,Liaoning,536,58979.0,108053751300.0
2,2,244,1148 Saarbrücken Parkway,,Fukushima,226,1921.0,137773001988.0
2,2,184,1410 Benin City Parkway,,Risaralda,405,29747.0,104150372603.0
2,2,50,46 Pjatigorsk Lane,,Moscow (City),343,23616.0,262076994845.0
2,2,380,1519 Santiago de los Caballeros Loop,,East Kasai,348,22025.0,409315295763.0
2,2,485,984 Novotšerkassk Loop,,Gaziantep,180,28165.0,435118527255.0
1,1,277,85 San Felipe de Puerto Plata Drive,,Shandong,584,46063.0,170739645687.0
1,1,62,1114 Liepaja Street,,Sarawak,282,69226.0,212869228936.0
2,2,259,1338 Zalantun Lane,,Minas Gerais,413,45403.0,840522972766.0
1,1,529,600 Purnea (Purnia) Avenue,,Nghe An,571,18043.0,638409958875.0
2,2,410,88 Nagaon Manor,,Buenos Aires,524,86868.0,779461480495.0
1,1,479,1854 Okara Boulevard,,Drenthe,158,42123.0,131912793873.0
1,1,489,1297 Alvorada Parkway,,Ningxia,587,11839.0,508348602835.0
2,2,278,144 South Hill Loop,,Guanajuato,445,2012.0,45387294817.0
2,2,497,1013 Tabuk Boulevard,,West Bengali,261,96203.0,158399646978.0
2,2,291,1155 Liaocheng Place,,Oyo & Osun,152,22650.0,558236142492.0
1,1,134,758 Junan Lane,,Gois,190,82639.0,935448624185.0
2,2,472,1447 Chatsworth Place,,Chihuahua,129,41545.0,769370126331.0
1,1,332,663 Bahía Blanca Parkway,,Adana,5,33463.0,834418779292.0
1,1,555,1764 Jalib al-Shuyukh Parkway,,Galicia,459,77642.0,84794532510.0
2,2,33,786 Aurora Avenue,,Yamaguchi,474,65750.0,18461860151.0
2,2,189,927 Barcelona Street,,Chaharmahal va Bakht,467,65121.0,951486492670.0
2,2,254,786 Stara Zagora Way,,Oyo & Osun,390,98332.0,716256596301.0
2,2,500,362 Rajkot Lane,,Gansu,47,98030.0,962020153680.0
2,2,174,1877 Ezhou Lane,,Rajasthan,550,63337.0,264541743403.0
2,2,42,269 Cam Ranh Parkway,,Chisinau,115,34689.0,489783829737.0
1,1,548,1658 Cumaná Loop,,Sumatera Selatan,396,51309.0,784907335610.0
2,2,524,680 A Coruña (La Coruña) Manor,,Sivas,482,49806.0,158326114853.0
1,1,338,431 Székesfehérvár Avenue,,Baki,48,57828.0,119501405123.0
1,1,550,1715 Okayama Street,,São Paulo,485,55676.0,169352919175.0
2,2,281,1944 Bamenda Way,,Michigan,573,24645.0,75975221996.0
2,2,492,185 Mannheim Lane,,Stavropol,408,23661.0,589377568313.0
1,1,131,801 Hagonoy Drive,,Smolensk,484,8439.0,237426099212.0
2,2,260,127 Iwakuni Boulevard,,Central Luzon,192,20777.0,987442542471.0
1,1,513,758 Korolev Parkway,,Andhra Pradesh,568,75474.0,441628280920.0
1,1,579,521 San Juan Bautista Tuxtepec Place,,Qaraghandy,598,95093.0,844018348565.0
2,2,210,1304 ´s-Hertogenbosch Way,,Santa Catarina,83,10925.0,90336226227.0
1,1,188,741 Ambattur Manor,,Noord-Brabant,438,43310.0,302590383819.0
1,1,373,1922 Miraj Way,,Esfahan,356,13203.0,320471479776.0
1,1,160,1367 Yantai Manor,,Ondo & Ekiti,381,21294.0,889538496300.0
2,2,147,374 Bat Yam Boulevard,,Kilis,266,97700.0,923261616249.0
2,2,446,1924 Shimonoseki Drive,,Batna,59,52625.0,406784385440.0
2,2,207,1688 Nador Lane,,Sulawesi Utara,184,61613.0,652218196731.0
1,1,2,28 MySQL Boulevard,,QLD,576,,
1,1,410,88 Nagaon Manor,,Buenos Aires,524,86868.0,779461480495.0
2,2,58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980.0,920811325222.0
1,1,353,381 Kabul Way,,Taipei,209,87272.0,55477302294.0
2,2,133,1854 Tieli Street,,Shandong,302,15819.0,509492324775.0
1,1,417,791 Salinas Street,,Punjab,208,40509.0,129953030512.0
1,1,196,9 San Miguel de Tucumán Manor,,Uttar Pradesh,169,90845.0,956188728558.0
2,2,586,951 Springs Lane,,Central Mindanao,219,96115.0,165164761435.0
1,1,349,1516 Escobar Drive,,Tongatapu,370,46069.0,64536069371.0
1,1,589,1584 Ljubertsy Lane,,England,494,22954.0,285710089439.0
1,1,178,1848 Salala Boulevard,,Miranda,373,25220.0,48265851133.0
1,1,545,163 Augusta-Richmond County Loop,,Carabobo,561,33030.0,754579047924.0
2,2,447,105 Dzerzinsk Manor,,Inner Mongolia,540,48570.0,240776414296.0
1,1,497,1013 Tabuk Boulevard,,West Bengali,261,96203.0,158399646978.0
1,1,524,680 A Coruña (La Coruña) Manor,,Sivas,482,49806.0,158326114853.0
1,1,366,114 Jalib al-Shuyukh Manor,,Centre,585,60440.0,845378657301.0
2,2,128,848 Tafuna Manor,,Kütahya,281,45142.0,614935229095.0
2,2,150,879 Newcastle Way,,Michigan,499,90732.0,206841104594.0
2,2,277,85 San Felipe de Puerto Plata Drive,,Shandong,584,46063.0,170739645687.0
1,1,300,661 Chisinau Lane,,Pietari,274,8856.0,816436065431.0
2,2,409,1266 Laredo Parkway,,Saitama,380,7664.0,1483365694.0
2,2,567,1894 Boa Vista Way,,Texas,178,77464.0,239357986667.0
1,1,158,798 Cianjur Avenue,,Shanxi,590,76990.0,499408708580.0
2,2,605,1325 Fukuyama Street,,Heilongjiang,537,27107.0,288241215394.0
