stato_id,stato
45,Indonesia
82,Saudi Arabia
46,Iran
51,Kazakstan
23,China
109,Zambia
70,North Korea
104,Venezuela
79,Réunion
11,Bahrain
47,Iraq
85,South Africa
96,Tunisia
89,Sudan
6,Argentina
62,Morocco
83,Senegal
50,Japan
102,United Kingdom
31,Ethiopia
68,New Zealand
13,Belarus
4,Angola
63,Mozambique
106,"Virgin Islands, U.S."
60,Mexico
105,Vietnam
54,Latvia
93,Tanzania
87,Spain
95,Tonga
78,Romania
103,United States
90,Sweden
74,Peru
9,Austria
80,Russian Federation
17,Bulgaria
48,Israel
91,Switzerland
19,Cameroon
71,Oman
88,Sri Lanka
30,Estonia
67,Netherlands
24,Colombia
20,Canada
42,Hong Kong
76,Poland
100,Ukraine
98,Turkmenistan
41,Holy See (Vatican City State)
18,Cambodia
107,Yemen
14,Bolivia
52,Kenya
77,Puerto Rico
59,Malaysia
97,Turkey
53,Kuwait
3,American Samoa
5,Anguilla
22,Chile
1,Afghanistan
27,Dominican Republic
66,Nepal
29,Egypt
81,Saint Vincent and the Grenadines
39,Greece
43,Hungary
49,Italy
34,France
40,Greenland
108,Yugoslavia
26,Czech Republic
86,South Korea
55,Liechtenstein
35,French Guiana
99,Tuvalu
16,Brunei
61,Moldova
56,Lithuania
58,Malawi
72,Pakistan
10,Azerbaijan
36,French Polynesia
94,Thailand
57,Madagascar
38,Germany
15,Brazil
7,Armenia
37,Gambia
2,Algeria
65,Nauru
33,Finland
28,Ecuador
92,Taiwan
12,Bangladesh
75,Philippines
32,Faroe Islands
101,United Arab Emirates
64,Myanmar
84,Slovakia
69,Nigeria
73,Paraguay
21,Chad
44,India
8,Australia
25,"Congo, The Democratic Republic of the"
