[] --> staff.csv.active, staff.csv.address2, staff.csv.password, staff.csv.postal_code
[staff.csv.address] --> staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.address_id] --> staff.csv.address, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.city] --> staff.csv.address, staff.csv.address_id, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.city_id] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.country] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.country_id] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.district] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.email] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.first_name] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.last_name] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.phone] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.staff_id, staff.csv.store_id, staff.csv.username
[staff.csv.staff_id] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.store_id, staff.csv.username
[staff.csv.store_id] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.username
[staff.csv.username] --> staff.csv.address, staff.csv.address_id, staff.csv.city, staff.csv.city_id, staff.csv.country, staff.csv.country_id, staff.csv.district, staff.csv.email, staff.csv.first_name, staff.csv.last_name, staff.csv.phone, staff.csv.staff_id, staff.csv.store_id
