attore_id,nome,cognome
85,MINNIE,ZELLWEGER
76,ANGELINA,ASTAIRE
42,TOM,MIRANDA
117,RENEE,TRACY
197,REESE,WEST
24,CAMERON,STREEP
33,MILLA,PECK
161,HARVEY,HOPE
17,HELEN,VOIGHT
179,ED,GUINESS
159,LAURA,BRODY
155,IAN,TANDY
171,OLYMPIA,PFEIFFER
125,ALBERT,NOLTE
30,SANDRA,PECK
164,HUMPHREY,WILLIS
129,DARYL,CRAWFORD
48,FRANCES,DAY-LEWIS
200,THORA,TEMPLE
39,GOLDIE,BRODY
139,EWAN,GOODING
142,JADA,RYDER
138,LUCILLE,DEE
194,MERYL,ALLEN
188,ROCK,DUKAKIS
106,GROUCHO,DUNST
20,LUCILLE,TRACY
196,BELA,WALKEN
175,WILLIAM,HACKMAN
77,CARY,MCCONAUGHEY
112,RUSSELL,BACALL
82,WOODY,JOLIE
11,ZERO,CAGE
121,LIZA,BERGMAN
4,JENNIFER,DAVIS
37,VAL,BOLGER
137,MORGAN,WILLIAMS
168,WILL,WILSON
57,JUDE,CRUISE
154,MERYL,GIBSON
29,ALEC,WAYNE
146,ALBERT,JOHANSSON
81,SCARLETT,DAMON
169,KENNETH,HOFFMAN
140,WHOOPI,HURT
60,HENRY,BERRY
107,GINA,DEGENERES
127,KEVIN,GARLAND
160,CHRIS,DEPP
167,LAURENCE,BULLOCK
83,BEN,WILLIS
46,PARKER,GOLDBERG
136,ED,MANSFIELD
75,BURT,POSEY
61,CHRISTIAN,NEESON
110,SUSAN,DAVIS
70,MICHELLE,MCCONAUGHEY
88,KENNETH,PESCI
126,FRANCES,TOMEI
190,AUDREY,BAILEY
102,WALTER,TORN
80,RALPH,CRUZ
163,CHRISTOPHER,WEST
71,ADAM,GRANT
153,MINNIE,KILMER
43,KIRK,JOVOVICH
13,UMA,WOOD
101,SUSAN,DAVIS
54,PENELOPE,PINKETT
52,CARMEN,HUNT
109,SYLVESTER,DERN
166,NICK,DEGENERES
18,DAN,TORN
89,CHARLIZE,DENCH
176,JON,CHASE
128,CATE,MCQUEEN
130,GRETA,KEITEL
64,RAY,JOHANSSON
177,GENE,MCKELLEN
35,JUDY,DEAN
143,RIVER,DEAN
135,RITA,REYNOLDS
111,CAMERON,ZELLWEGER
68,RIP,WINSLET
115,HARRISON,BALE
2,NICK,WAHLBERG
199,JULIA,FAWCETT
56,DAN,HARRIS
116,DAN,STREEP
93,ELLEN,PRESLEY
36,BURT,DUKAKIS
122,SALMA,NOLTE
94,KENNETH,TORN
67,JESSICA,BAILEY
162,OPRAH,KILMER
120,PENELOPE,MONROE
34,AUDREY,OLIVIER
96,GENE,WILLIS
192,JOHN,SUVARI
103,MATTHEW,LEIGH
165,AL,GARLAND
8,MATTHEW,JOHANSSON
38,TOM,MCKELLEN
98,CHRIS,BRIDGES
44,NICK,STALLONE
189,CUBA,BIRCH
170,MENA,HOPPER
73,GARY,PENN
41,JODIE,DEGENERES
144,ANGELA,WITHERSPOON
49,ANNE,CRONYN
131,JANE,JACKMAN
97,MEG,HAWKE
173,ALAN,DREYFUSS
15,CUBA,OLIVIER
59,DUSTIN,TAUTOU
58,CHRISTIAN,AKROYD
22,ELVIS,MARX
19,BOB,FAWCETT
183,RUSSELL,CLOSE
53,MENA,TEMPLE
104,PENELOPE,CRONYN
147,FAY,WINSLET
51,GARY,PHOENIX
113,MORGAN,HOPKINS
6,BETTE,NICHOLSON
55,FAY,KILMER
50,NATALIE,HOPKINS
87,SPENCER,PECK
63,CAMERON,WRAY
3,ED,CHASE
72,SEAN,WILLIAMS
62,JAYNE,NEESON
198,MARY,KEITEL
158,VIVIEN,BASINGER
124,SCARLETT,BENING
69,KENNETH,PALTROW
14,VIVIEN,BERGEN
133,RICHARD,PENN
187,RENEE,BALL
86,GREG,CHAPLIN
84,JAMES,PITT
184,HUMPHREY,GARLAND
119,WARREN,JACKMAN
141,CATE,HARRIS
118,CUBA,ALLEN
79,MAE,HOFFMAN
172,GROUCHO,WILLIAMS
91,CHRISTOPHER,BERRY
148,EMILY,DEE
45,REESE,KILMER
25,KEVIN,BLOOM
152,BEN,HARRIS
23,SANDRA,KILMER
100,SPENCER,DEPP
145,KIM,ALLEN
74,MILLA,KEITEL
174,MICHAEL,BENING
180,JEFF,SILVERSTONE
156,FAY,WOOD
185,MICHAEL,BOLGER
108,WARREN,NOLTE
21,KIRSTEN,PALTROW
65,ANGELA,HUDSON
123,JULIANNE,DENCH
157,GRETA,MALDEN
105,SIDNEY,CROWE
31,SISSY,SOBIESKI
186,JULIA,ZELLWEGER
1,PENELOPE,GUINESS
149,RUSSELL,TEMPLE
182,DEBBIE,AKROYD
178,LISA,MONROE
5,JOHNNY,LOLLOBRIGIDA
181,MATTHEW,CARREY
26,RIP,CRAWFORD
78,GROUCHO,SINATRA
150,JAYNE,NOLTE
191,GREGORY,GOODING
151,GEOFFREY,HESTON
99,JIM,MOSTEL
114,MORGAN,MCDORMAND
132,ADAM,HOPPER
27,JULIA,MCQUEEN
32,TIM,HACKMAN
134,GENE,HOPKINS
195,JAYNE,SILVERSTONE
9,JOE,SWANK
7,GRACE,MOSTEL
193,BURT,TEMPLE
92,KIRSTEN,AKROYD
90,SEAN,GUINESS
12,KARL,BERRY
47,JULIA,BARRYMORE
28,WOODY,HOFFMAN
10,CHRISTIAN,GABLE
95,DARYL,WAHLBERG
40,JOHNNY,CAGE
16,FRED,COSTNER
66,MARY,TANDY
