film_id,categoria_id
261,6
737,11
956,10
111,1
1000,5
273,8
299,16
73,14
645,16
9,11
738,9
849,2
269,8
245,2
589,6
657,5
182,5
479,8
213,8
389,15
597,10
786,3
963,2
776,6
875,15
585,7
991,1
456,2
582,2
896,3
601,16
656,16
777,15
74,12
788,6
929,9
276,5
349,2
782,15
296,14
494,11
720,13
446,15
432,4
811,16
304,3
189,10
801,3
256,15
274,6
206,6
942,7
715,8
506,11
171,11
640,9
174,12
914,16
192,9
113,15
890,15
363,12
825,1
882,7
367,14
71,8
332,5
145,8
396,7
368,7
330,2
489,2
563,10
103,16
107,7
221,6
423,3
60,4
596,10
509,3
771,7
33,7
526,16
798,14
878,16
999,3
81,14
512,4
279,15
313,11
359,8
679,8
294,16
421,9
581,12
641,9
706,7
275,11
374,14
923,7
955,3
365,5
698,6
200,10
184,4
234,14
572,14
157,3
985,14
217,10
196,4
622,6
395,1
902,15
61,7
209,7
8,11
631,15
251,13
861,10
785,16
791,6
449,14
497,6
629,6
761,3
3,6
881,11
895,4
67,1
10,15
434,16
255,12
789,9
92,11
862,4
599,15
727,8
231,8
587,6
466,6
26,14
127,5
436,13
767,12
385,5
549,1
91,4
554,4
843,4
292,1
498,8
85,6
867,8
916,2
735,3
246,9
853,3
352,10
688,3
205,1
63,8
583,2
903,16
447,10
342,16
638,5
43,8
151,14
667,15
173,7
36,2
198,9
733,15
816,2
41,16
758,7
594,1
887,2
654,10
759,13
900,9
482,4
982,1
880,2
475,11
146,7
430,2
457,6
265,5
445,4
651,2
974,13
577,15
240,14
690,2
544,6
20,12
354,3
997,12
437,8
828,4
765,5
124,3
298,14
833,3
624,10
930,14
488,15
450,3
547,3
249,4
493,9
136,13
517,15
478,5
100,9
487,4
327,1
51,12
94,8
626,3
874,4
879,12
416,9
714,14
193,2
46,10
876,11
343,3
178,5
576,6
454,12
685,13
919,10
921,12
462,12
181,16
753,8
219,6
16,9
407,6
163,13
748,1
34,11
364,13
595,9
754,5
898,15
93,13
724,8
684,10
216,13
165,14
179,7
287,1
328,3
128,9
483,10
935,13
665,11
894,16
537,4
538,13
319,14
669,9
452,9
933,13
52,9
760,13
659,1
671,15
441,6
175,8
207,9
259,2
283,13
453,15
324,5
762,10
442,8
295,6
409,3
372,15
25,13
98,7
704,5
70,2
505,3
382,10
613,5
636,12
476,8
683,7
104,9
254,15
873,3
131,4
472,16
869,1
306,10
742,10
834,6
661,9
952,6
129,6
439,7
455,9
381,10
415,11
204,7
682,8
755,3
426,12
979,7
533,9
14,4
766,7
155,13
496,16
384,12
247,5
580,13
285,14
336,6
191,3
796,15
119,5
608,3
966,6
973,6
286,16
716,11
334,11
710,8
851,15
463,15
188,5
199,6
949,10
377,8
770,9
598,15
757,6
845,9
886,2
904,11
260,15
27,15
965,11
38,1
870,11
717,1
836,15
484,4
220,12
310,10
97,1
311,9
64,7
525,4
331,10
300,2
414,9
832,8
781,10
911,1
695,8
121,2
440,9
185,9
945,6
747,10
872,16
542,1
556,10
118,2
24,11
42,15
545,9
473,7
899,4
863,14
325,2
527,11
344,3
920,13
602,14
726,9
559,14
986,2
158,12
211,10
230,7
75,16
540,12
841,15
756,5
401,7
548,4
272,7
302,10
297,4
889,3
65,11
932,5
772,7
47,9
66,3
648,16
618,7
708,6
467,9
55,14
413,5
271,1
114,14
37,4
906,5
162,1
105,1
266,4
680,5
947,9
528,8
998,11
713,6
830,11
619,15
995,11
238,3
519,15
443,5
831,14
818,7
996,6
967,14
59,3
