città_id,città,stato_id
207,Hohhot,23
222,Inegöl,97
558,Usolje-Sibirskoje,80
437,Rustenburg,85
110,Chapra,44
4,Acuña,60
387,Oulu,33
10,Akishima,50
214,Huánuco,74
597,Zeleznogorsk,80
442,Saint-Denis,79
532,Tegal,45
76,Bhopal,44
283,Kumbakonam,44
166,Ezhou,23
265,Kermanshah,46
321,Malmö,90
64,Beira,63
506,Sumy,100
295,Laredo,103
470,Sharja,101
383,Oshawa,20
17,Alessandria,49
34,Ashdod,48
136,Datong,23
507,Sungai Petani,59
251,Kabul,1
174,Fuyu,23
188,Guadalajara,60
146,Donostia-San Sebastián,87
312,London,102
522,Tambaram,44
158,Emmen,67
563,Valle de Santiago,60
106,Celaya,60
444,Salala,71
454,San Miguel de Tucumán,6
153,El Alto,14
372,Nyeri,52
182,Gingoog,75
134,Dadu,72
27,Antofagasta,22
267,Kimberley,85
553,Uijongbu,86
591,Yuzhou,23
77,Bhusawal,44
400,Patiala,44
68,Beni-Mellal,62
69,Benin City,69
394,Pak Kret,94
217,Ife,69
404,Peoria,103
429,Ranchi,44
81,Birgunj,66
189,Guarujá,15
260,Kanazawa,50
269,Kingstown,81
516,Tafuna,3
395,Palghat (Palakkad),44
171,Fontana,103
343,Moscow,80
282,Kuching,59
594,Zaoyang,23
430,Richmond Hill,20
468,Shanwei,23
37,Asunción,73
126,Compton,103
359,Nam Dinh,105
74,Bhilwara,44
459,Santiago de Compostela,87
205,Hiroshima,50
523,Tanauan,75
235,Jaroslavl,80
508,Sunnyvale,103
574,Weifang,23
491,Soshanguve,85
252,Kaduna,69
255,Kalisz,76
477,Siegen,38
132,Cumaná,104
61,Baybay,75
407,Pingxiang,23
240,Jinchang,23
216,Idfu,29
208,Hoshiarpur,44
525,Tangail,12
151,Ede,67
263,Karnal,44
534,Tete,63
598,Zhezqazghan,51
354,Nagaon,44
92,Brest,34
513,Tabora,93
339,Mogiljov,13
145,Dongying,23
262,Kansas City,103
416,Pudukkottai,44
70,Bergamo,49
53,Bandar Seri Begawan,16
438,´s-Hertogenbosch,67
18,Allappuzha (Alleppey),44
141,Deba Habe,69
40,Atlixco,60
38,Athenai,39
592,Zalantun,23
272,Kitwe,109
223,Ipoh,59
273,Klerksdorp,85
281,Kütahya,97
197,Halisahar,44
138,Davao,75
331,Matsue,50
307,Linz,9
29,Apeldoorn,67
424,Quilmes,6
202,Hidalgo,60
232,Jakarta,45
486,São Leopoldo,15
552,Ueda,50
423,Qomsheh,46
373,Ocumare del Tuy,104
352,Nabereznyje Tšelny,80
297,Le Mans,34
500,Stockport,102
356,Najafabad,46
443,Salé,62
259,Kamyšin,80
220,Ilorin,69
580,Xintai,23
266,Kilis,97
381,Ondo,69
366,Nha Trang,105
124,Coacalco de Berriozábal,60
200,Hamilton,68
215,Ibirité,15
193,Haining,23
548,Tuguegarao,75
170,Florencia,24
405,Pereira,24
246,José Azueta,60
176,Gandhinagar,44
332,Meixian,23
238,Jelets,80
309,Livorno,49
420,Pyongyang,70
565,Vancouver,20
330,Matamoros,60
345,Mukatševe,100
12,al-Ayn,101
480,Sincelejo,24
452,San Juan Bautista Tuxtepec,60
225,Ivanovo,80
144,Dhule (Dhulia),44
185,Grand Prairie,103
544,Toulouse,34
526,Tanshui,92
206,Hodeida,107
41,Augusta-Richmond County,103
469,Shaoguan,23
203,Higashiosaka,50
89,Brasília,15
419,Purwakarta,45
549,Tychy,76
422,Qinhuangdao,23
97,Bydgoszcz,76
93,Brindisi,49
60,Battambang,18
128,Córdoba,6
535,Tianjin,23
237,Jedda,82
319,Mahajanga,57
518,Taizz,107
117,Cianjur,45
133,Czestochowa,76
479,Simferopol,100
13,al-Hawiya,82
402,Pavlodar,51
79,Bilbays,29
264,Katihar,44
494,Southampton,102
78,Bijapur,44
336,Miraj,44
179,Gatineau,20
164,Etawah,44
