film_id,attore_id,nome,cognome
880,27,JULIA,MCQUEEN
179,25,KEVIN,BLOOM
978,175,WILLIAM,HACKMAN
957,85,MINNIE,ZELLWEGER
874,157,GRETA,MALDEN
283,36,BURT,DUKAKIS
352,174,MICHAEL,BENING
915,67,JESSICA,BAILEY
590,182,DEBBIE,AKROYD
429,123,JULIANNE,DENCH
793,31,SISSY,SOBIESKI
669,111,CAMERON,ZELLWEGER
231,120,PENELOPE,MONROE
606,25,KEVIN,BLOOM
703,61,CHRISTIAN,NEESON
539,124,SCARLETT,BENING
782,98,CHRIS,BRIDGES
900,45,REESE,KILMER
892,104,PENELOPE,CRONYN
538,25,KEVIN,BLOOM
296,68,RIP,WINSLET
605,57,JUDE,CRUISE
944,47,JULIA,BARRYMORE
431,31,SISSY,SOBIESKI
282,49,ANNE,CRONYN
262,30,SANDRA,PECK
375,130,GRETA,KEITEL
373,140,WHOOPI,HURT
231,153,MINNIE,KILMER
398,62,JAYNE,NEESON
576,143,RIVER,DEAN
602,168,WILL,WILSON
795,50,NATALIE,HOPKINS
421,87,SPENCER,PECK
752,141,CATE,HARRIS
615,35,JUDY,DEAN
49,118,CUBA,ALLEN
314,146,ALBERT,JOHANSSON
662,188,ROCK,DUKAKIS
25,47,JULIA,BARRYMORE
144,13,UMA,WOOD
131,179,ED,GUINESS
633,121,LIZA,BERGMAN
72,85,MINNIE,ZELLWEGER
757,114,MORGAN,MCDORMAND
12,75,BURT,POSEY
619,81,SCARLETT,DAMON
43,34,AUDREY,OLIVIER
553,118,CUBA,ALLEN
966,155,IAN,TANDY
870,76,ANGELINA,ASTAIRE
235,60,HENRY,BERRY
283,163,CHRISTOPHER,WEST
996,84,JAMES,PITT
105,23,SANDRA,KILMER
717,57,JUDE,CRUISE
807,168,WILL,WILSON
637,27,JULIA,MCQUEEN
72,98,CHRIS,BRIDGES
303,50,NATALIE,HOPKINS
306,50,NATALIE,HOPKINS
23,22,ELVIS,MARX
626,15,CUBA,OLIVIER
815,39,GOLDIE,BRODY
983,10,CHRISTIAN,GABLE
849,169,KENNETH,HOFFMAN
131,147,FAY,WINSLET
534,195,JAYNE,SILVERSTONE
785,163,CHRISTOPHER,WEST
745,137,MORGAN,WILLIAMS
1000,166,NICK,DEGENERES
686,115,HARRISON,BALE
273,178,LISA,MONROE
440,154,MERYL,GIBSON
457,56,DAN,HARRIS
905,135,RITA,REYNOLDS
461,85,MINNIE,ZELLWEGER
953,28,WOODY,HOFFMAN
812,52,CARMEN,HUNT
622,80,RALPH,CRUZ
715,120,PENELOPE,MONROE
576,123,JULIANNE,DENCH
288,50,NATALIE,HOPKINS
144,18,DAN,TORN
61,111,CAMERON,ZELLWEGER
406,198,MARY,KEITEL
119,128,CATE,MCQUEEN
467,156,FAY,WOOD
475,80,RALPH,CRUZ
805,27,JULIA,MCQUEEN
995,197,REESE,WEST
689,78,GROUCHO,SINATRA
467,45,REESE,KILMER
468,126,FRANCES,TOMEI
664,125,ALBERT,NOLTE
84,191,GREGORY,GOODING
444,153,MINNIE,KILMER
576,47,JULIA,BARRYMORE
890,14,VIVIEN,BERGEN
796,198,MARY,KEITEL
62,125,ALBERT,NOLTE
322,113,MORGAN,HOPKINS
214,138,LUCILLE,DEE
663,90,SEAN,GUINESS
464,198,MARY,KEITEL
816,28,WOODY,HOFFMAN
636,86,GREG,CHAPLIN
755,58,CHRISTIAN,AKROYD
102,188,ROCK,DUKAKIS
778,117,RENEE,TRACY
443,92,KIRSTEN,AKROYD
410,133,RICHARD,PENN
379,115,HARRISON,BALE
641,127,KEVIN,GARLAND
292,54,PENELOPE,PINKETT
923,47,JULIA,BARRYMORE
463,179,ED,GUINESS
508,75,BURT,POSEY
