actor_id,film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,language,first_name,last_name
179,159,CLOSER BANG,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,2006,1,,5,4.99,58,12.99,R,English,ED,GUINESS
179,85,BONNIE HOLOCAUST,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,2006,1,,4,0.99,63,29.99,G,English,ED,GUINESS
179,489,JUGGLER HARDLY,A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California,2006,1,,4,0.99,54,14.99,PG-13,English,ED,GUINESS
179,463,INSTINCT AIRPORT,A Touching Documentary of a Mad Cow And a Explorer who must Confront a Butler in A Manhattan Penthouse,2006,1,,4,2.99,116,21.99,PG,English,ED,GUINESS
179,737,ROCK INSTINCT,A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India,2006,1,,4,0.99,102,28.99,G,English,ED,GUINESS
179,193,CROSSROADS CASUALTIES,A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback,2006,1,,5,2.99,153,20.99,G,English,ED,GUINESS
179,817,SOLDIERS EVOLUTION,A Lacklusture Panorama of a A Shark And a Pioneer who must Confront a Student in The First Manned Space Station,2006,1,,7,4.99,185,27.99,R,English,ED,GUINESS
179,468,INVASION CYCLONE,A Lacklusture Character Study of a Mad Scientist And a Womanizer who must Outrace a Explorer in A Monastery,2006,1,,5,2.99,97,12.99,PG,English,ED,GUINESS
179,415,HIGH ENCINO,A Fateful Saga of a Waitress And a Hunter who must Outrace a Sumo Wrestler in Australia,2006,1,,3,2.99,84,23.99,R,English,ED,GUINESS
179,588,MODEL FISH,A Beautiful Panorama of a Boat And a Crocodile who must Outrace a Dog in Australia,2006,1,,4,4.99,175,11.99,NC-17,English,ED,GUINESS
179,924,UNFORGIVEN ZOOLANDER,A Taut Epistle of a Monkey And a Sumo Wrestler who must Vanquish a A Shark in A Baloon Factory,2006,1,,7,0.99,129,15.99,PG,English,ED,GUINESS
179,960,WARS PLUTO,A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert,2006,1,,5,2.99,128,15.99,G,English,ED,GUINESS
179,566,MAUDE MOD,A Beautiful Documentary of a Forensic Psychologist And a Cat who must Reach a Astronaut in Nigeria,2006,1,,6,0.99,72,20.99,R,English,ED,GUINESS
179,24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,,6,2.99,181,19.99,R,English,ED,GUINESS
179,250,DRAGON SQUAD,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,2006,1,,4,0.99,170,26.99,NC-17,English,ED,GUINESS
179,698,PRINCESS GIANT,A Thrilling Yarn of a Pastry Chef And a Monkey who must Battle a Monkey in A Shark Tank,2006,1,,3,2.99,71,29.99,NC-17,English,ED,GUINESS
179,131,CENTER DINOSAUR,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,2006,1,,5,4.99,152,12.99,PG,English,ED,GUINESS
179,811,SMILE EARRING,A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin,2006,1,,4,2.99,60,29.99,G,English,ED,GUINESS
179,291,EVOLUTION ALTER,A Fanciful Character Study of a Feminist And a Madman who must Find a Explorer in A Baloon Factory,2006,1,,5,0.99,174,10.99,PG-13,English,ED,GUINESS
179,353,GENTLEMEN STAGE,A Awe-Inspiring Reflection of a Monkey And a Student who must Overcome a Dentist in The First Manned Space Station,2006,1,,6,2.99,125,22.99,NC-17,English,ED,GUINESS
179,109,BUTTERFLY CHOCOLAT,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,2006,1,,3,0.99,89,17.99,G,English,ED,GUINESS
179,27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,1,,7,0.99,179,12.99,NC-17,English,ED,GUINESS
179,852,STRANGELOVE DESIRE,A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park,2006,1,,4,0.99,103,27.99,NC-17,English,ED,GUINESS
179,732,RINGS HEARTBREAKERS,A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans,2006,1,,5,0.99,58,17.99,G,English,ED,GUINESS
179,65,BEHAVIOR RUNAWAY,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,2006,1,,3,4.99,100,20.99,PG,English,ED,GUINESS
179,976,WIND PHANTOM,A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,,6,0.99,111,12.99,R,English,ED,GUINESS
179,769,SCHOOL JACKET,A Intrepid Yarn of a Monkey And a Boy who must Fight a Composer in A Manhattan Penthouse,2006,1,,5,4.99,151,21.99,PG-13,English,ED,GUINESS
179,650,PACIFIC AMISTAD,A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse,2006,1,,3,0.99,144,27.99,G,English,ED,GUINESS
179,931,VALENTINE VANISHING,A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California,2006,1,,7,0.99,48,9.99,PG-13,English,ED,GUINESS
157,159,CLOSER BANG,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,2006,1,,5,4.99,58,12.99,R,English,GRETA,MALDEN
157,967,WEEKEND PERSONAL,A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat,2006,1,,5,2.99,134,26.99,R,English,GRETA,MALDEN
157,210,DARKO DORADO,A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans,2006,1,,3,4.99,130,13.99,NC-17,English,GRETA,MALDEN
157,573,MICROCOSMOS PARADISE,A Touching Character Study of a Boat And a Student who must Sink a A Shark in Nigeria,2006,1,,6,2.99,105,22.99,PG-13,English,GRETA,MALDEN
157,874,TADPOLE PARK,A Beautiful Tale of a Frisbee And a Moose who must Vanquish a Dog in An Abandoned Amusement Park,2006,1,,6,2.99,155,13.99,PG,English,GRETA,MALDEN
157,34,ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,1,,6,0.99,62,29.99,NC-17,English,GRETA,MALDEN
157,604,MULAN MOON,A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon,2006,1,,4,0.99,160,10.99,G,English,GRETA,MALDEN
157,10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,,6,4.99,63,24.99,NC-17,English,GRETA,MALDEN
157,326,FLYING HOOK,A Thrilling Display of a Mad Cow And a Dog who must Challenge a Frisbee in Nigeria,2006,1,,6,2.99,69,18.99,NC-17,English,GRETA,MALDEN
157,642,ORDER BETRAYED,A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert,2006,1,,7,2.99,120,13.99,PG-13,English,GRETA,MALDEN
157,217,DAZED PUNK,A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park,2006,1,,6,4.99,120,20.99,G,English,GRETA,MALDEN
157,431,HOOSIERS BIRDCAGE,A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station,2006,1,,3,2.99,176,12.99,G,English,GRETA,MALDEN
