film_id,category_id,category_name,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,language
261,6,Documentary,DUFFEL APOCALYPSE,A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention,2006,1,,5,0.99,171,13.99,G,English
589,6,Documentary,MODERN DORADO,A Awe-Inspiring Story of a Butler And a Sumo Wrestler who must Redeem a Boy in New Orleans,2006,1,,3,0.99,74,20.99,PG,English
776,6,Documentary,SECRET GROUNDHOG,A Astounding Story of a Cat And a Database Administrator who must Build a Technical Writer in New Orleans,2006,1,,6,4.99,90,11.99,PG,English
788,6,Documentary,SHIP WONDERLAND,A Thrilling Saga of a Monkey And a Frisbee who must Escape a Explorer in The Outback,2006,1,,5,2.99,104,15.99,R,English
274,6,Documentary,EGG IGBY,A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station,2006,1,,4,2.99,67,20.99,PG,English
206,6,Documentary,DANCING FEVER,A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank,2006,1,,6,0.99,144,25.99,G,English
221,6,Documentary,DELIVERANCE MULHOLLAND,A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank,2006,1,,4,0.99,100,9.99,R,English
698,6,Documentary,PRINCESS GIANT,A Thrilling Yarn of a Pastry Chef And a Monkey who must Battle a Monkey in A Shark Tank,2006,1,,3,2.99,71,29.99,NC-17,English
622,6,Documentary,NEWSIES STORY,A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico,2006,1,,4,0.99,159,25.99,G,English
791,6,Documentary,SHOW LORD,A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan,2006,1,,3,4.99,167,24.99,PG-13,English
497,6,Documentary,KILL BROTHERHOOD,A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback,2006,1,,4,0.99,54,15.99,G,English
629,6,Documentary,NOTORIOUS REUNION,A Amazing Epistle of a Woman And a Squirrel who must Fight a Hunter in A Baloon,2006,1,,7,0.99,128,9.99,NC-17,English
3,6,Documentary,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,,7,2.99,50,18.99,NC-17,English
587,6,Documentary,MOD SECRETARY,A Boring Documentary of a Mad Cow And a Cat who must Build a Lumberjack in New Orleans,2006,1,,6,4.99,77,20.99,NC-17,English
466,6,Documentary,INTOLERABLE INTENTIONS,A Awe-Inspiring Story of a Monkey And a Pastry Chef who must Succumb a Womanizer in A MySQL Convention,2006,1,,6,4.99,63,20.99,PG-13,English
85,6,Documentary,BONNIE HOLOCAUST,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,2006,1,,4,0.99,63,29.99,G,English
457,6,Documentary,INDEPENDENCE HOTEL,A Thrilling Tale of a Technical Writer And a Boy who must Face a Pioneer in A Monastery,2006,1,,5,0.99,157,21.99,NC-17,English
544,6,Documentary,MADISON TRAP,A Awe-Inspiring Reflection of a Monkey And a Dentist who must Overcome a Pioneer in A U-Boat,2006,1,,4,2.99,147,11.99,R,English
576,6,Documentary,MIGHTY LUCK,A Astounding Epistle of a Mad Scientist And a Pioneer who must Escape a Database Administrator in A MySQL Convention,2006,1,,7,2.99,122,13.99,PG,English
219,6,Documentary,DEEP CRUSADE,A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia,2006,1,,6,4.99,51,20.99,PG-13,English
407,6,Documentary,HAWK CHILL,A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia,2006,1,,5,0.99,47,12.99,PG-13,English
441,6,Documentary,HUNTER ALTER,A Emotional Drama of a Mad Cow And a Boat who must Redeem a Secret Agent in A Shark Tank,2006,1,,5,2.99,125,21.99,PG-13,English
295,6,Documentary,EXPENDABLE STALLION,A Amazing Character Study of a Mad Cow And a Squirrel who must Discover a Hunter in A U-Boat,2006,1,,3,0.99,97,14.99,PG,English
834,6,Documentary,SPOILERS HELLFIGHTERS,A Fanciful Story of a Technical Writer And a Squirrel who must Defeat a Dog in The Gulf of Mexico,2006,1,,4,0.99,151,26.99,G,English
952,6,Documentary,WAGON JAWS,A Intrepid Drama of a Moose And a Boat who must Kill a Explorer in A Manhattan Penthouse,2006,1,,7,2.99,152,17.99,PG,English
129,6,Documentary,CAUSE DATE,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,2006,1,,3,2.99,179,16.99,R,English
336,6,Documentary,FRENCH HOLIDAY,A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin,2006,1,,5,4.99,99,22.99,PG,English
966,6,Documentary,WEDDING APOLLO,A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft,2006,1,,3,0.99,70,14.99,PG,English
973,6,Documentary,WIFE TURN,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,2006,1,,3,4.99,183,27.99,NC-17,English
199,6,Documentary,CUPBOARD SINNERS,A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park,2006,1,,4,2.99,56,29.99,R,English
757,6,Documentary,SAGEBRUSH CLUELESS,A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan,2006,1,,4,2.99,106,28.99,G,English
945,6,Documentary,VIRGINIAN PLUTO,A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin,2006,1,,5,0.99,164,22.99,R,English
708,6,Documentary,QUILLS BULL,A Thoughtful Story of a Pioneer And a Woman who must Reach a Moose in Australia,2006,1,,4,4.99,112,19.99,R,English
