[pagamento_completo.csv.pagamento_id]
[pagamento_completo.csv.noleggio_id]
[pagamento_completo.csv.data_restituzione, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.data_pagamento, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.data_noleggio, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_id, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_cognome, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_email, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_indirizzo_id, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_indirizzo, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_telefono, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_città_id, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_città, pagamento_completo.csv.inventario_id]
[pagamento_completo.csv.cliente_codice_postale, pagamento_completo.csv.inventario_id]
