payment_id,customer_id,pstaff_id,amount,payment_date,rental_id,rental_date,inventory_id,customer_id,return_date,rstaff_id
1,1,1,2.99,2005-05-25 11:30:37,76,2005-05-25 11:30:37,3021,1,2005-06-03 12:00:37,2
2,1,1,0.99,2005-05-28 10:35:23,573,2005-05-28 10:35:23,4020,1,2005-06-03 06:32:23,1
3,1,1,5.99,2005-06-15 00:54:12,1185,2005-06-15 00:54:12,2785,1,2005-06-23 02:42:12,2
4,1,2,0.99,2005-06-15 18:02:53,1422,2005-06-15 18:02:53,1021,1,2005-06-19 15:54:53,2
5,1,2,9.99,2005-06-15 21:08:46,1476,2005-06-15 21:08:46,1407,1,2005-06-25 02:26:46,1
6,1,1,4.99,2005-06-16 15:18:57,1725,2005-06-16 15:18:57,726,1,2005-06-17 21:05:57,1
7,1,1,4.99,2005-06-18 08:41:48,2308,2005-06-18 08:41:48,197,1,2005-06-22 03:36:48,2
8,1,2,0.99,2005-06-18 13:33:59,2363,2005-06-18 13:33:59,3497,1,2005-06-19 17:40:59,1
9,1,1,3.99,2005-06-21 06:24:45,3284,2005-06-21 06:24:45,4566,1,2005-06-28 03:28:45,1
10,1,2,5.99,2005-07-08 03:17:05,4526,2005-07-08 03:17:05,1443,1,2005-07-14 01:19:05,2
11,1,1,5.99,2005-07-08 07:33:56,4611,2005-07-08 07:33:56,3486,1,2005-07-12 13:25:56,2
12,1,1,4.99,2005-07-09 13:24:07,5244,2005-07-09 13:24:07,3726,1,2005-07-14 14:01:07,2
13,1,1,4.99,2005-07-09 16:38:01,5326,2005-07-09 16:38:01,797,1,2005-07-13 18:02:01,1
14,1,1,7.99,2005-07-11 10:13:46,6163,2005-07-11 10:13:46,1330,1,2005-07-19 13:15:46,2
15,1,2,2.99,2005-07-27 11:31:22,7273,2005-07-27 11:31:22,2465,1,2005-07-31 06:50:22,1
16,1,1,4.99,2005-07-28 09:04:45,7841,2005-07-28 09:04:45,1092,1,2005-07-30 12:37:45,2
17,1,2,4.99,2005-07-28 16:18:23,8033,2005-07-28 16:18:23,4268,1,2005-07-30 17:56:23,1
18,1,1,0.99,2005-07-28 17:33:39,8074,2005-07-28 17:33:39,1558,1,2005-07-29 20:17:39,1
19,1,2,0.99,2005-07-28 19:20:07,8116,2005-07-28 19:20:07,4497,1,2005-07-29 22:54:07,1
20,1,2,2.99,2005-07-29 03:58:49,8326,2005-07-29 03:58:49,108,1,2005-08-01 05:16:49,2
21,1,2,2.99,2005-07-31 02:42:18,9571,2005-07-31 02:42:18,2219,1,2005-08-02 23:26:18,2
22,1,2,4.99,2005-08-01 08:51:04,10437,2005-08-01 08:51:04,14,1,2005-08-10 12:12:04,1
23,1,2,3.99,2005-08-02 15:36:52,11299,2005-08-02 15:36:52,3232,1,2005-08-10 16:40:52,2
24,1,1,0.99,2005-08-02 18:01:38,11367,2005-08-02 18:01:38,1440,1,2005-08-04 13:19:38,1
25,1,2,4.99,2005-08-17 12:37:54,11824,2005-08-17 12:37:54,2639,1,2005-08-19 10:11:54,2
26,1,1,0.99,2005-08-18 03:57:29,12250,2005-08-18 03:57:29,921,1,2005-08-22 23:05:29,1
27,1,2,0.99,2005-08-19 09:55:16,13068,2005-08-19 09:55:16,3019,1,2005-08-20 14:44:16,2
28,1,2,2.99,2005-08-19 13:56:54,13176,2005-08-19 13:56:54,2269,1,2005-08-23 08:50:54,2
29,1,1,0.99,2005-08-21 23:33:57,14762,2005-08-21 23:33:57,4249,1,2005-08-23 01:30:57,1
30,1,1,1.99,2005-08-22 01:27:57,14825,2005-08-22 01:27:57,1449,1,2005-08-27 07:01:57,2
31,1,2,2.99,2005-08-22 19:41:37,15298,2005-08-22 19:41:37,1446,1,2005-08-28 22:49:37,1
32,1,1,5.99,2005-08-22 20:03:46,15315,2005-08-22 20:03:46,312,1,2005-08-30 01:51:46,2
33,2,1,4.99,2005-05-27 00:09:24,320,2005-05-27 00:09:24,1090,2,2005-05-28 04:30:24,2
34,2,1,2.99,2005-06-17 20:54:58,2128,2005-06-17 20:54:58,352,2,2005-06-24 00:41:58,2
35,2,1,2.99,2005-07-10 06:31:24,5636,2005-07-10 06:31:24,4116,2,2005-07-13 02:36:24,1
36,2,1,6.99,2005-07-10 12:38:56,5755,2005-07-10 12:38:56,2760,2,2005-07-19 17:02:56,1
37,2,2,4.99,2005-07-27 14:30:42,7346,2005-07-27 14:30:42,741,2,2005-08-02 16:48:42,1
38,2,1,5.99,2005-07-27 15:23:02,7376,2005-07-27 15:23:02,488,2,2005-08-04 10:35:02,2
39,2,2,5.99,2005-07-27 18:40:20,7459,2005-07-27 18:40:20,2053,2,2005-08-02 21:07:20,2
40,2,2,5.99,2005-07-29 00:12:59,8230,2005-07-29 00:12:59,1937,2,2005-08-06 19:52:59,2
41,2,1,2.99,2005-07-29 12:56:59,8598,2005-07-29 12:56:59,626,2,2005-08-01 08:39:59,2
42,2,2,5.99,2005-07-29 17:14:29,8705,2005-07-29 17:14:29,4038,2,2005-08-02 16:01:29,1
43,2,1,4.99,2005-07-30 06:06:10,9031,2005-07-30 06:06:10,2377,2,2005-08-04 10:45:10,2
44,2,2,10.99,2005-07-30 13:47:43,9236,2005-07-30 13:47:43,4030,2,2005-08-08 18:52:43,1
45,2,2,0.99,2005-07-30 14:14:11,9248,2005-07-30 14:14:11,1382,2,2005-08-05 11:19:11,1
46,2,2,6.99,2005-07-30 16:21:13,9296,2005-07-30 16:21:13,4088,2,2005-08-08 11:57:13,1
47,2,2,6.99,2005-07-30 22:39:53,9465,2005-07-30 22:39:53,3084,2,2005-08-06 16:43:53,2
48,2,1,2.99,2005-07-31 21:58:56,10136,2005-07-31 21:58:56,3142,2,2005-08-03 19:44:56,1
49,2,1,0.99,2005-08-01 09:45:26,10466,2005-08-01 09:45:26,138,2,2005-08-06 06:28:26,1
50,2,1,0.99,2005-08-02 02:10:56,10918,2005-08-02 02:10:56,3418,2,2005-08-02 21:23:56,1
51,2,1,5.99,2005-08-02 07:41:41,11087,2005-08-02 07:41:41,654,2,2005-08-10 10:37:41,2
52,2,1,6.99,2005-08-02 10:43:48,11177,2005-08-02 10:43:48,1149,2,2005-08-10 10:55:48,2
53,2,2,2.99,2005-08-02 13:44:53,11256,2005-08-02 13:44:53,2060,2,2005-08-04 16:39:53,1
54,2,1,2.99,2005-08-17 03:52:18,11614,2005-08-17 03:52:18,805,2,2005-08-20 07:04:18,1
