store_id,manager_staff_id,address_id,address,address2,district,city_id,postal_code,phone
1,1,1,47 MySakila Drive,None,Alberta,300,,
2,2,1,47 MySakila Drive,None,Alberta,300,,
1,1,2,28 MySQL Boulevard,None,QLD,576,,
2,2,2,28 MySQL Boulevard,None,QLD,576,,
1,1,3,23 Workhaven Lane,None,Alberta,300,,14033335568
2,2,3,23 Workhaven Lane,None,Alberta,300,,14033335568
1,1,4,1411 Lillydale Drive,None,QLD,576,,6172235589
2,2,4,1411 Lillydale Drive,None,QLD,576,,6172235589
1,1,5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290
2,2,5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290
1,1,6,1121 Loja Avenue,,California,449,17886,838635286649
2,2,6,1121 Loja Avenue,,California,449,17886,838635286649
1,1,7,692 Joliet Street,,Attika,38,83579,448477190408
2,2,7,692 Joliet Street,,Attika,38,83579,448477190408
1,1,8,1566 Inegl Manor,,Mandalay,349,53561,705814003527
2,2,8,1566 Inegl Manor,,Mandalay,349,53561,705814003527
1,1,9,53 Idfu Parkway,,Nantou,361,42399,10655648674
2,2,9,53 Idfu Parkway,,Nantou,361,42399,10655648674
1,1,10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434
2,2,10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434
1,1,11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373
2,2,11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373
1,1,12,478 Joliet Way,,Hamilton,200,77948,657282285970
2,2,12,478 Joliet Way,,Hamilton,200,77948,657282285970
1,1,13,613 Korolev Drive,,Masqat,329,45844,380657522649
2,2,13,613 Korolev Drive,,Masqat,329,45844,380657522649
1,1,14,1531 Sal Drive,,Esfahan,162,53628,648856936185
2,2,14,1531 Sal Drive,,Esfahan,162,53628,648856936185
1,1,15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345
2,2,15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345
1,1,16,808 Bhopal Manor,,Haryana,582,10672,465887807014
2,2,16,808 Bhopal Manor,,Haryana,582,10672,465887807014
1,1,17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538
2,2,17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538
1,1,18,770 Bydgoszcz Avenue,,California,120,16266,517338314235
2,2,18,770 Bydgoszcz Avenue,,California,120,16266,517338314235
1,1,19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354
2,2,19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354
1,1,20,360 Toulouse Parkway,,England,495,54308,949312333307
2,2,20,360 Toulouse Parkway,,England,495,54308,949312333307
1,1,21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682
2,2,21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682
1,1,22,320 Brest Avenue,,Kaduna,252,43331,747791594069
2,2,22,320 Brest Avenue,,Kaduna,252,43331,747791594069
1,1,23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893
2,2,23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893
1,1,24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132
2,2,24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132
1,1,25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063
2,2,25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063
1,1,26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323
2,2,26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323
1,1,27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323
2,2,27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323
1,1,28,96 Tafuna Way,,Crdoba,128,99865,934730187245
2,2,28,96 Tafuna Way,,Crdoba,128,99865,934730187245
1,1,29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706
2,2,29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706
1,1,30,18 Duisburg Boulevard,,,121,58327,998009777982
2,2,30,18 Duisburg Boulevard,,,121,58327,998009777982
1,1,31,217 Botshabelo Place,,Southern Mindanao,138,49521,665356572025
2,2,31,217 Botshabelo Place,,Southern Mindanao,138,49521,665356572025
1,1,32,1425 Shikarpur Manor,,Bihar,346,65599,678220867005
2,2,32,1425 Shikarpur Manor,,Bihar,346,65599,678220867005
1,1,33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151
2,2,33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151
1,1,34,1668 Anpolis Street,,Taipei,316,50199,525255540978
2,2,34,1668 Anpolis Street,,Taipei,316,50199,525255540978
1,1,35,33 Gorontalo Way,,West Bengali,257,30348,745994947458
2,2,35,33 Gorontalo Way,,West Bengali,257,30348,745994947458
1,1,36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774
2,2,36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774
1,1,37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,911872220378
2,2,37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,911872220378
1,1,38,61 Tama Street,,Okayama,284,94065,708403338270
2,2,38,61 Tama Street,,Okayama,284,94065,708403338270
1,1,39,391 Callao Drive,,Midi-Pyrnes,544,34021,440512153169
2,2,39,391 Callao Drive,,Midi-Pyrnes,544,34021,440512153169
1,1,40,334 Munger (Monghyr) Lane,,Markazi,31,38145,481183273622
2,2,40,334 Munger (Monghyr) Lane,,Markazi,31,38145,481183273622
1,1,41,1440 Fukuyama Loop,,Henan,362,47929,912257250465
2,2,41,1440 Fukuyama Loop,,Henan,362,47929,912257250465
1,1,42,269 Cam Ranh Parkway,,Chisinau,115,34689,489783829737
2,2,42,269 Cam Ranh Parkway,,Chisinau,115,34689,489783829737
1,1,43,306 Antofagasta Place,,Esprito Santo,569,3989,378318851631
2,2,43,306 Antofagasta Place,,Esprito Santo,569,3989,378318851631
1,1,44,671 Graz Street,,Oriental,353,94399,680768868518
2,2,44,671 Graz Street,,Oriental,353,94399,680768868518
1,1,45,42 Brindisi Place,,Yerevan,586,16744,42384721397
2,2,45,42 Brindisi Place,,Yerevan,586,16744,42384721397
1,1,46,1632 Bislig Avenue,,Nonthaburi,394,61117,471675840679
2,2,46,1632 Bislig Avenue,,Nonthaburi,394,61117,471675840679
1,1,47,1447 Imus Way,,Tahiti,167,48942,539758313890
2,2,47,1447 Imus Way,,Tahiti,167,48942,539758313890
1,1,48,1998 Halifax Drive,,Lipetsk,308,76022,177727722820
2,2,48,1998 Halifax Drive,,Lipetsk,308,76022,177727722820
1,1,49,1718 Valencia Street,,Antofagasta,27,37359,675292816413
2,2,49,1718 Valencia Street,,Antofagasta,27,37359,675292816413
1,1,50,46 Pjatigorsk Lane,,Moscow (City),343,23616,262076994845
2,2,50,46 Pjatigorsk Lane,,Moscow (City),343,23616,262076994845
1,1,51,686 Garland Manor,,Cear,247,52535,69493378813
2,2,51,686 Garland Manor,,Cear,247,52535,69493378813
1,1,52,909 Garland Manor,,Tatarstan,367,69367,705800322606
