schema1,schema2
actor.actor_id,attore.attore_id
actor.first_name,attore.nome
actor.last_name,attore.cognome
address.address_id,indirizzo.indirizzo_id
address.address,indirizzo.indirizzo
address.address2,indirizzo.indirizzo2
address.district,indirizzo.distretto
address.postal_code,indirizzo.codice_postale
address.phone,indirizzo.telefono
address.city_id,indirizzo.città_id
address.city,indirizzo.città
address.country_id,indirizzo.stato_id
address.country,indirizzo.stato
category.category_id,categoria.categoria_id
category.name,categoria.nome
customer.customer_id,cliente.cliente_id
customer.store_id,cliente.negozio_id
customer.first_name,cliente.nome
customer.last_name,cliente.cognome
customer.email,cliente.email
customer.address_id,cliente.indirizzo_id
customer.active,cliente.attivo
customer.create_date,cliente.data_creazione
film.film_id,film.film_id
film.title,film.titolo
film.description,film.descrizione
film.release_year,film.data_rilascio
film.language_id,film.lingua_id
film.original_language_id,film.lingua_originale_id
film.rental_duration,film.durata_noleggio
film.rental_rate,film.tariffa_noleggio
film.length,film.durata
film.replacement_cost,film.costo_sostituzione
film.rating,film.voto
film_actor.actor_id,film_attore.attore_id
film_actor.film_id,film_attore.film_id
film_category.film_id,film_categoria.film_id
film_category.category_id,film_categoria.categoria_id
inventory.inventory_id,inventario.inventario_id
inventory.film_id,inventario.film_id
inventory.store_id,inventario.negozio_id
language.language_id,lingua.lingua_id
language.name,lingua.nome
payment.payment_id,pagamento.pagamento_id
payment.customer_id,pagamento.cliente_id
payment.pstaff_id,pagamento.ppersonale_id
payment.amount,pagamento.ammontare
payment.payment_date,pagamento.data_pagamento
payment.rental_id,pagamento.noleggio_id
payment.rental_date,pagamento.data_noleggio
payment.inventory_id,pagamento.inventario_id
payment.return_date,pagamento.data_restituzione
payment.rstaff_id,pagamento.npersonale_id
staff.staff_id,personale.personale_id
staff.first_name,personale.nome
staff.last_name,personale.cognome
staff.address_id,personale.indirizzo_id
staff.email,personale.email
staff.store_id,personale.negozio_id
staff.active,personale.attivo
staff.username,personale.nomeutente
staff.password,personale.password
store.store_id,negozio.negozio_id
store.manager_staff_id,negozio.capo_personale_id
store.address_id,negozio.indirizzo_id
