Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2000-12-01,25-023,CLE,@,DET,L (-10),0,17:00,0,2,.000,0,0,,0,0,,0,1,1,2,2,0,2,2,0,-0.5,-3
2,2,2000-12-05,25-027,CLE,,CHH,W (+5),0,10:00,1,4,.250,0,0,,0,0,,1,0,1,1,0,0,0,3,2,-0.2,-6
3,3,2000-12-23,25-045,CLE,@,ORL,L (-19),0,19:00,0,1,.000,0,0,,0,0,,0,4,4,7,1,0,3,1,0,3.0,-1
4,4,2000-12-26,25-048,CLE,@,CHH,L (-5),0,13:00,1,5,.200,0,0,,1,2,.500,0,0,0,3,1,0,0,3,3,1.4,-12
5,5,2000-12-28,25-050,CLE,,MIL,L (-18),0,18:00,0,1,.000,0,0,,0,0,,0,0,0,6,0,1,1,5,0,1.2,+6
6,6,2000-12-29,25-051,CLE,@,ATL,W (+12),0,16:00,0,2,.000,0,0,,4,4,1.000,0,1,1,6,2,0,1,3,4,6.9,-1
7,7,2001-01-03,25-056,ATL,@,PHI,L (-18),0,25:00,3,11,.273,0,2,.000,0,0,,1,3,4,7,3,0,2,2,6,6.2,-12
8,8,2001-01-06,25-059,ATL,,ORL,W (+1),0,19:00,0,2,.000,0,0,,1,2,.500,0,2,2,2,1,0,2,3,1,-1.0,0
9,9,2001-01-09,25-062,ATL,,SEA,L (-9),0,28:00,4,7,.571,0,1,.000,0,2,.000,0,5,5,6,2,0,0,4,8,10.0,-2
10,10,2001-01-11,25-064,ATL,,GSW,W (+11),1,33:00,3,7,.429,0,0,,1,2,.500,1,2,3,7,1,1,1,3,7,8.6,+7
11,11,2001-01-13,25-066,ATL,,LAC,W (+20),1,34:00,6,11,.545,0,0,,2,2,1.000,1,4,5,7,2,0,0,5,14,15.5,+14
12,12,2001-01-15,25-068,ATL,,NJN,L (-6),1,26:00,4,6,.667,0,0,,0,0,,0,4,4,2,2,0,5,6,8,2.6,-8
13,13,2001-01-18,25-071,ATL,@,IND,L (-8),1,43:00,3,13,.231,0,0,,0,0,,1,5,6,8,3,0,2,4,6,5.3,-8
14,14,2001-01-21,25-074,ATL,@,WAS,L (-4),1,40:00,11,24,.458,1,1,1.000,8,9,.889,1,4,5,10,3,0,1,4,31,27.5,+6
15,15,2001-01-23,25-076,ATL,@,BOS,L (-1),1,16:00,2,6,.333,0,0,,0,0,,0,2,2,2,4,0,3,0,4,3.6,-1
16,16,2001-02-02,25-086,ATL,,MIA,L (-11),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,-3
17,17,2001-02-03,25-087,ATL,@,ORL,L (-12),1,33:00,3,9,.333,0,0,,1,1,1.000,1,4,5,2,1,0,1,6,7,2.8,-13
18,18,2001-02-05,25-089,ATL,,DAL,L (-10),1,43:00,4,12,.333,0,1,.000,3,4,.750,2,6,8,7,3,0,4,3,11,9.7,-12
19,19,2001-02-06,25-090,ATL,@,NJN,L (-6),1,22:00,2,6,.333,0,0,,3,4,.750,1,1,2,4,1,0,3,3,7,3.8,-10
20,20,2001-02-08,25-092,ATL,@,CHH,L (-17),1,36:00,4,12,.333,0,0,,1,1,1.000,0,6,6,10,0,1,2,3,9,8.5,-8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2001-02-13,25-097,ATL,@,CHI,L (-4),1,37:00,4,11,.364,0,0,,2,2,1.000,0,3,3,9,5,0,2,3,10,12.9,-9
22,22,2001-02-14,25-098,ATL,,MIL,L (-4),1,45:00,1,10,.100,0,0,,0,0,,0,4,4,11,2,0,1,5,2,3.3,-3
23,23,2001-02-17,25-101,ATL,@,SEA,W (+7),1,7:00,0,1,.000,0,0,,0,0,,0,0,0,6,2,0,1,0,0,4.5,+1
24,24,2001-02-18,25-102,ATL,@,GSW,W (+7),1,39:00,4,11,.364,0,0,,0,0,,0,9,9,5,2,1,2,2,8,8.0,+2
25,25,2001-02-20,25-104,ATL,@,SAC,L (-14),1,34:00,2,8,.250,0,1,.000,3,4,.750,1,8,9,8,0,0,4,2,7,5.7,-10
26,26,2001-02-23,25-107,ATL,@,LAL,L (-7),1,35:00,1,7,.143,0,1,.000,2,2,1.000,1,3,4,8,2,0,2,3,4,5.5,-9
